Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
91;15;50.8725395203;113.151939392;15;119.139527917;2;15.0;33.0;28;48.0;
92;16;52.2164459229;116.306091309;14;119.557773054;2;16.0;33.0;28;48.0;
93;16;51.3557739258;119.460906982;17;119.979030848;2;17.0;33.0;28;48.0;
94;16;50.3828887939;123.564842224;18;120.361860156;2;18.0;33.0;29;48.0;
95;16;50.9074668884;126.993789673;18;120.720788777;2;19.0;33.0;29;48.0;
96;16;49.472076416;129.854614258;19;121.083458245;2;20.0;33.0;29;48.0;
97;18;49.9613304138;131.451324463;18;121.448760211;2;20.75;33.0;30;48.0;
98;18;51.714630127;133.543838501;18;122.815622032;2;20.75;33.0;29;48.0;
99;18;55.2136268616;135.362564087;19;123.38301003;2;20.75;34.0;29;48.0;
100;19;57.1117515564;137.75189209;20;123.987532437;2;20.75;35.0;30;48.0;
