Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
85;14;49.0689315796;138.904296875;30;127.367112637;2;20.1592674255;26.1872596741;17;32.8194847107;
86;14;52.1045722961;137.185958862;31;128.743298054;2;20.2593841553;26.4097423553;17;33.0;
87;15;52.4268951416;142.463851929;31;130.173894167;2;21.2999992371;24.5;18;33.0;
88;15;55.4613456726;142.737426758;32;130.770303011;2;21.4249992371;24.0;18;33.0;
89;15;53.6053314209;149.006286621;32;131.389394879;2;21.4249992371;24.0;19;33.0;
90;15;52.7669372559;155.269958496;34;132.034100056;3;21.4249992371;24.0;18;33.0;
91;15;54.4764480591;155.528045654;34;132.707600236;3;21.4249992371;24.0;18;33.0;
92;15;52.5369873047;161.711395264;35;133.413243175;3;19.4249992371;25.0;18;33.0;
93;15;53.6012458801;164.010025024;36;134.154414892;3;18.4249992371;26.0;18;33.0;
94;15;56.6693191528;161.304351807;36;134.890181184;3;17.4249992371;27.0;13;33.0;
95;15;55.7357826233;163.976867676;36;135.667584896;3;17.2999992371;26.0;11;33.0;
96;16;56.8065986633;166.596237183;35;136.477505088;3;18.2999992371;26.0;11;33.0;
97;16;59.8807983398;163.245895386;36;138.308451056;3;19.2999992371;27.0;11;33.0;
98;16;59.0471191406;166.608734131;38;140.20777297;3;20.2999992371;28.0;11;33.0;
99;16;60.220199585;170.027786255;38;142.168272972;3;20.2999992371;29.0;12;33.0;
100;16;64.3992843628;165.497802734;38;144.180805445;3;20.2999992371;30.0;11;33.0;
