Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;2;11.0880002975;14.720000267;3;30.4400005341;1;6.0;12.0;4;20.0;
2;2;11.0880002975;14.720000267;3;30.5504004955;1;7.0;11.0;5;20.0;
3;2;11.110080719;14.720000267;3;30.6717628241;1;8.0;10.0;5;20.0;
4;2;11.134352684;14.720000267;3;30.8048945665;1;8.0;10.0;5;20.0;
5;2;12.2974691391;14.720000267;3;30.9505984783;1;8.0;10.0;5;20.0;
6;2;13.3411798477;14.720000267;3;31.1096553802;1;9.0;10.0;5;20.0;
7;2;14.3328962326;14.720000267;3;31.8634136915;1;9.5;10.0;5;20.0;
8;2;14.5590238571;15.0026245117;3;32.4244556427;1;9.5;10.0;5;20.3999996185;
9;2;14.7273359299;15.1800003052;3;34.1082241535;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;16.6997871399;15.8904247284;3;35.4342944622;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;18.6997871399;16.4083175659;4;36.482820034;1;9.72283363342;10.4951858521;5;22.0419120789;
12;3;20.6997871399;16.7731342316;3;37.3249287605;1;9.95943069458;11.0209560394;5;22.9143505096;
13;3;21.9870529175;17.0200004578;3;37.7031905651;1;11.7228336334;11.4571752548;5;23.6214065552;
14;3;23.1005325317;17.0200004578;3;38.1111531258;1;12.7228336334;11.8107032776;5;24.1832637787;
15;3;24.2229213715;17.0200004578;3;38.547940731;1;13.7228336334;12.0916318893;5;24.6226100922;
16;3;25.3539581299;17.0200004578;3;39.011900425;1;14.7228336334;12.3113050461;5;24.9617595673;
17;3;25.7035694122;17.0200004578;3;39.5005435944;1;15.7228336334;12.4808797836;4;25.0;
18;3;25.8501625061;17.0200004578;3;40.0105285645;1;16.7228336334;12.5;4;25.0;
19;3;26.0031585693;17.0200004578;3;40.5376944542;1;17.625;12.5;5;25.0;
20;3;26.1613082886;17.0200004578;4;41.077152729;1;17.625;12.5;5;25.0;
21;3;26.3231449127;17.0200004578;4;41.6234359741;2;18.625;12.6999998093;3;26.0;
22;3;26.4870300293;17.0200004578;5;42.1706991196;2;19.625;12.5;4;26.0900000334;
23;3;26.6512088776;17.0200004578;5;42.7129602432;2;19.8702507019;12.5;4;26.1871190071;
24;3;26.8138885498;17.0200004578;5;43.2443561554;2;19.8921012878;12.5;4;26.2917383909;
25;3;24.9733066559;18.0200004578;4;43.7593994141;2;19.9156417847;12.5;4;26.4042263031;
26;3;24.1278190613;19.0200004578;4;44.253203392;3;19.9409503937;12.5;3;26.5249304771;
27;4;24.2759609222;20.0200004578;3;45.7216625214;3;19.9681091309;12.5;3;26.6541694403;
28;4;24.2759609222;19.5200004578;4;46.3639695644;3;19.9971885681;12.5;5;26.7922235727;
29;4;23.636680603;19.0200004578;4;47.0140012503;3;20.0282497406;12.5;5;26.9393253326;
30;4;23.7089614868;20.0200004578;4;47.6767089367;3;20.0613479614;12.5;5;27.0956480503;
31;4;23.3030128479;21.0200004578;4;48.358477354;3;20.0965213776;12.5;5;27.261295557;
32;4;22.5075435638;22.0200004578;4;49.0668599606;3;19.625;13.5;5;27.4362905025;
33;4;21.7200584412;23.0200004578;5;49.8101832867;3;19.625;13.7181453705;5;27.6205644608;
34;4;20.8587837219;22.0200004578;5;50.5970082283;3;20.2146263123;12.5;6;27.8139474392;
35;4;20.0194988251;22.0200004578;5;51.4354338646;3;20.2581386566;12.5;7;28.016159296;
36;4;20.9920883179;23.0200004578;7;52.332256794;3;19.625;13.5;7;28.2268030643;
37;4;21.4876766205;24.0200004578;8;53.2920136452;3;19.625;14.113401413;7;28.445360899;
38;4;22.775604248;24.0200004578;8;54.2739639282;3;19.625;14.2226800919;7;28.6711919308;
39;4;22.1399993896;26.0200004578;8;55.2265787125;3;20.4510192871;12.5;7;28.9035346508;
40;4;24.1399993896;28.0200004578;9;56.2498722076;3;20.5032958984;12.5;8;29.141512394;
41;4;26.1399993896;30.0200004578;9;57.3288698196;4;20.5568408966;12.5;7;39.3841423988;
42;4;27.9866600037;32.0200004578;10;58.4439191818;4;19.6114311218;13.5;7;40.0303492546;
43;4;26.9866600037;33.0200004578;11;59.5717601776;4;20.625;13.5;7;40.6533827782;
44;4;28.9866600037;32.0200004578;11;60.6872444153;4;22.625;14.5;7;41.2507753372;
45;4;28.1399993896;33.0200004578;12;61.7654819489;4;22.625;13.5;7;41.8207054138;
46;4;30.1399993896;32.0200004578;12;62.7840642929;4;23.625;13.5;7;42.3619551659;
47;4;32.1399993896;32.0200004578;13;63.7249326706;5;26.625;16.5;5;47.8738451004;
48;4;33.3520011902;32.0200004578;13;64.5755815506;5;28.9464931488;20.5;6;48.5061640739;
49;4;34.3520011902;32.0200004578;14;65.3294229507;5;30.5092468262;24.5;6;49.1058645248;
50;4;35.3520011902;32.0200004578;14;65.9853773117;5;31.6596126556;28.5;6;49.6730718613;
51;4;35.7956123352;32.0200004578;15;66.5469083786;5;32.4302825928;31.5;7;50.2081956863;
52;4;35.9640731812;32.0200004578;15;67.0207719803;5;32.5996017456;32.5;8;50.711874485;
53;4;36.1062316895;32.0200004578;16;67.4157476425;6;32.7571144104;32.5;7;51.0808501244;
54;4;34.2247238159;33.0200004578;16;67.7415380478;6;32.8565597534;32.5;8;51.4068188667;
55;4;33.3224601746;34.0200004578;17;68.0079126358;6;32.9393501282;32.5;8;51.7186369896;
56;4;32.3224601746;33.0200004578;17;68.0800008774;6;33.0185966492;32.5;8;52.0158805847;
