Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;13.3000001907;4;17.0;1;11.3999996185;16.0;4;32.0;
2;2;7.0;12.6999998093;5;18.0;2;11.5999994278;16.0;5;33.0;
3;2;7.7000002861;11.3000001907;5;18.0449999571;2;11.5999994278;16.0;5;33.0;
4;2;7.70675039291;10.3000001907;5;18.0915547609;2;11.5999994278;16.0;5;32.735999465;
5;2;7.71373319626;9.30000019073;5;18.1396753788;2;12.697599411;15.8719997406;5;32.4983993769;
6;2;8.80642700195;8.5;5;18.1893689632;2;13.6954393387;15.7567996979;5;32.0733604431;
7;2;9.09260749817;8.5;5;18.2406382561;2;14.6220083237;15.5507202148;5;31.7764252424;
8;2;9.1041431427;8.5;5;18.6458880901;2;14.5329275131;15.4080486298;5;31.509183228;
9;2;9.19532585144;8.67000007629;5;19.0015610456;2;14.4527549744;15.2796440125;5;32.1715512872;
10;2;9.27535152435;8.81392192841;5;19.3138639927;2;16.5348186493;15.6024589539;5;32.6462243795;
11;2;9.34562015533;8.93486309052;5;20.3325256109;2;18.5348186493;15.8313598633;4;32.6725053787;
12;2;9.57481765747;9.39324569702;4;21.2316069603;2;20.5348186493;15.8360004425;4;32.6896289587;
13;2;9.77711105347;9.78903102875;4;22.0147647858;2;21.5501174927;15.8360004425;5;32.7068713903;
14;2;11.6244802475;10.1240053177;4;22.6909470558;2;22.5552902222;15.8360004425;5;32.7242275476;
15;2;13.6244802475;11.1569023132;4;23.2723004818;2;23.5604972839;15.8360004425;5;32.7416920662;
16;2;15.6244792938;10.6309299469;4;23.7723295689;2;23.8225078583;15.8360004425;6;32.7592597008;
17;2;16.7086639404;10.8157100677;4;24.2045152187;2;23.5016002655;16.1621780396;6;32.7769248486;
18;2;17.7392959595;10.9637317657;4;24.4187514782;2;23.5016002655;16.1674785614;6;32.7946817875;
19;2;18.2269592285;11.9675006866;4;24.5658416748;2;23.8384056091;15.8360004425;6;32.8125247955;
20;2;18.9500007629;12.0263366699;4;24.7181026936;2;23.5016002655;16.1781578064;6;32.8304479122;
21;2;19.5615730286;11.0;4;24.8752605915;2;23.8491344452;15.8360004425;7;32.8484450579;
22;2;18.9500007629;12.0;4;25.0369865894;2;23.5016002655;16.1889343262;7;32.8665100336;
23;2;18.9500007629;12.5184936523;4;25.2028975487;2;23.5016002655;16.4332542419;7;32.8846366405;
24;2;18.9500007629;12.6014490128;4;25.3725583553;2;23.8653907776;15.8360004425;7;32.9028184414;
25;2;19.7088260651;11.0;5;25.5454843044;2;23.8708457947;15.8360004425;7;32.921049118;
26;3;18.9500007629;12.0;4;25.7211458683;2;23.5016002655;16.4605255127;7;32.939322114;
27;3;18.9500007629;11.0;5;25.8989739418;2;23.5016002655;16.4696617126;7;32.9576308727;
28;4;18.9500007629;12.0;4;26.0783667564;2;23.8872890472;15.8360004425;7;32.9759687185;
29;4;18.9500007629;13.0;4;26.2586970329;2;23.5016002655;16.4879837036;8;32.9943289757;
30;4;17.9082069397;12.0;4;26.4393210411;2;21.8982982635;16.8360004425;8;33.0127049685;
31;4;16.9488487244;13.0;4;26.6195874214;2;20.9038124084;17.8360004425;9;33.0310900211;
32;4;15.989408493;14.0;4;26.7988462448;2;19.9093265533;18.8360004425;10;33.0494773388;
33;4;15.0797405243;15.0;4;26.9764590263;2;18.9148426056;19.8360004425;11;33.0678601265;
34;4;15.1197032928;16.0;4;27.1518068314;2;17.9203586578;20.8360004425;11;33.0862315893;
35;4;15.1591567993;17.0;5;27.3242993355;2;16.925868988;21.8360004425;11;33.1045850515;
36;4;15.1979675293;18.0;5;27.4933829308;2;15.9313755035;22.8360004425;12;33.1229137182;
37;4;15.2360115051;19.0;5;27.6585478783;2;14.9368743896;23.8360004425;12;33.1412110329;
38;4;14.0;21.0;5;27.8193325996;2;14.4407634735;24.8360004425;14;33.1594702005;
39;4;14.0;23.0;5;27.9753293991;2;14.4462413788;25.8360004425;14;33.1776846647;
40;4;14.0;25.0;6;28.1261868477;2;14.4517049789;26.8360004425;15;33.1958479881;
41;4;14.0;27.0;5;28.2716112137;2;15.0;25.8360004425;15;33.2139536142;
42;4;14.0;29.0;5;28.4113669395;2;16.4625854492;25.8360004425;16;33.231995225;
43;4;14.0;30.7702293396;5;29.5452766418;2;17.0;25.8360004425;17;33.2499665022;
44;4;15.0;31.8907489777;5;29.7157187462;3;18.0;25.8360004425;15;48.2678611279;
45;4;16.0;33.005897522;6;29.8814872503;3;20.0;26.8360004425;15;49.0356731415;
46;4;16.244430542;34.11561203;6;30.0425679684;3;22.4356918335;27.8360004425;15;49.7227710485;
47;4;16.2546081543;35.2198753357;6;30.1989886761;3;23.4404773712;28.8360004425;15;50.3283153772;
48;4;16.2650947571;36.3187103271;6;30.3508148193;3;22.4452362061;30.1352710724;15;50.854823947;
49;4;17.275888443;34.4121780396;7;30.4981434345;3;24.0;29.8509883881;15;51.3073035479;
50;4;16.2869911194;35.5003700256;8;30.6410979033;3;26.0;29.8154983521;15;51.6923787594;
51;4;16.2983970642;36.5834007263;8;30.7798249722;3;25.4593467712;30.0040912628;17;52.0110188723;
52;4;17.3101043701;34.6614227295;9;30.9144874811;3;27.0;29.7608184814;17;52.2667638063;
53;4;18.0;35.6614227295;10;30.9862712622;3;28.6648292542;29.7352428436;18;52.3840008974;
