Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
78;3;13.0;33.0;25;22.0;8;29.2448005676;51.1200027466;12;69.563680172;
79;3;12.0;34.0;25;23.0;8;29.2448005676;55.1200027466;12;69.7404227257;
80;3;14.0;33.0;25;23.0199999809;8;29.2448005676;58.6638412476;13;69.9143944979;
81;3;16.0;33.0;25;24.0401959419;8;30.2448005676;57.6638412476;13;70.085537076;
82;3;18.2340431213;34.0;26;24.1005817652;8;29.2448005676;59.6638412476;14;70.2538237572;
83;3;20.2386302948;35.0;26;24.1623347998;8;29.2448005676;61.6638412476;15;70.4192552567;
84;3;21.4365272522;36.0;27;24.2254500389;9;30.2448005676;60.6638412476;14;70.58185637;
85;3;21.4507274628;36.0;27;24.289919138;9;29.2448005676;62.6376419067;14;70.7416728735;
86;3;21.4652328491;36.0;28;24.3557304144;9;29.2448005676;63.6923599243;15;70.8987665176;
87;3;21.4800415039;35.0;22;24.4228687286;9;30.2448005676;65.0243606567;15;71.0532121658;
88;4;21.4951457977;34.0;23;24.4913153648;9;31.2448005676;64.2444534302;15;71.205094099;
89;4;21.5105457306;33.0;23;24.5610479116;9;32.2448005676;63.3136901855;16;71.3230268955;
90;4;21.5262355804;32.0;17;24.6320400238;9;33.2448005676;62.3505630493;16;71.4019508362;
91;4;21.5422096252;31.0;18;24.7042614222;9;34.2448005676;62.3505630493;16;71.4827587605;
92;4;21.5584602356;30.0;18;24.7776778936;9;34.7916793823;61.9862594604;15;71.5653665066;
93;4;21.5749778748;29.0;18;24.8522510529;9;34.7916793823;61.0540008545;17;71.649679184;
94;4;21.5917568207;28.0;19;24.9279385805;9;34.7916793823;60.1231384277;17;71.7355911732;
95;4;21.6087875366;27.0;20;25.004693985;9;34.7916793823;60.1935806274;17;71.8229866028;
96;4;21.6260566711;26.0;20;25.0824667215;9;34.7916793823;60.2652511597;18;71.9117398262;
97;4;21.6435565948;26.0;19;25.8556154966;9;34.7916793823;58.3505630493;17;72.0017154217;
98;4;19.6690139771;27.0;19;26.5022162199;9;34.7916793823;58.3505630493;18;72.0927693844;
99;4;20.6951942444;26.595123291;19;27.0413919687;9;34.7916793823;58.3505630493;18;72.1847498417;
100;3;21.7220783234;26.8049659729;19;27.4921123981;10;34.7916793823;58.3505630493;19;72.2774977684;
