Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;6.0;14.1000003815;4;23.0;1;6.0;13.3000001907;4;17.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;12.3000001907;5;17.0;
3;1;8.0;12.1000003815;6;23.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;9.0;11.5;6;23.0;1;7.55000019073;10.3000001907;5;17.0;
5;1;9.60000038147;11.5;6;23.0;2;7.55000019073;9.9000005722;3;18.0;
6;1;10.6000003815;11.5;6;23.0;2;8.55000019073;9.10000038147;2;18.0249999762;
7;1;11.6000003815;11.5;6;23.0;2;8.82499980927;9.11499977112;2;18.0503686666;
8;1;11.8999996185;11.5;6;23.4599990845;2;8.82499980927;9.13022136688;2;18.0760987997;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;8.82499980927;9.14565944672;2;18.4529435635;
10;2;12.1463851929;12.1106414795;5;25.0;2;8.9015007019;9.33776569366;2;18.7784832716;
11;2;12.5000009537;12.0;5;26.2850008011;2;8.96626472473;9.50430583954;2;19.0589046478;
12;2;14.4718856812;12.6000003815;5;27.3339031935;2;9.02068901062;9.64836978912;2;20.0388250351;
13;2;16.4718856812;13.0788002014;5;28.1753185987;2;9.22696018219;10.1446456909;3;20.8961139917;
14;2;18.4718856812;13.4505519867;5;28.8447594643;2;11.0206890106;10.5798625946;3;21.6343632936;
15;2;19.560092926;13.7328653336;5;29.3781481981;2;13.0206890106;10.9558172226;3;22.2624788284;
16;2;20.5936908722;13.943564415;5;29.6104347706;2;15.0206890106;11.2769641876;3;22.792591095;
17;2;21.6295166016;14.0;6;29.7374911308;2;16.0206890106;11.5493688583;3;23.238217473;
18;2;22.6676330566;14.0;6;29.8723640442;2;17.0206890106;11.7797880173;3;23.6128847599;
19;2;22.9617080688;14.0;6;30.0151810646;2;18.0206890106;11.974984169;3;23.766567111;
20;3;23.0045547485;14.0;6;30.1660137177;2;18.9500007629;12.0599403381;4;23.850186348;
21;3;23.0498046875;14.0;6;30.3248689175;2;18.9500007629;12.1101121902;4;23.9362165928;
22;3;23.0974597931;14.0;6;30.4916813374;2;18.9500007629;12.1617298126;4;24.0245814323;
23;3;23.1475048065;14.0;6;30.6663062572;2;18.9500007629;12.4172067642;4;24.1151900291;
24;3;23.1998920441;14.0;6;30.8485133648;3;18.9500007629;12.480632782;3;24.2079370022;
25;3;22.3999996185;14.8545541763;7;31.0379817486;3;18.9500007629;12.5455560684;4;24.3027031422;
26;3;21.3113937378;15.0;7;31.2342967987;4;18.9500007629;12.6118917465;3;24.3993544579;
27;3;21.3999996185;15.0;7;31.4369482994;4;18.9500007629;12.6795482635;3;24.4977433681;
28;3;20.3999996185;15.0;7;31.6453323364;4;18.9500007629;12.7484207153;3;24.5977094173;
29;3;19.493598938;16.0;7;31.8587543964;4;18.9500007629;12.8183965683;3;24.6990795135;
30;3;19.3999996185;15.0;7;32.0764360428;4;18.9500007629;12.8893556595;3;24.8016693592;
