Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;6.0;14.1000003815;4;23.0;1;6.0;13.3000001907;4;17.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;12.3000001907;5;17.0;
3;1;8.0;12.1000003815;6;23.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;9.0;11.5;6;23.0;1;7.55000019073;10.3000001907;5;17.0;
5;1;9.60000038147;11.5;6;23.0;1;7.55000019073;9.30000019073;5;17.0;
6;1;10.6000003815;11.5;6;23.0;1;8.55000019073;8.5;5;17.0;
7;1;11.6000003815;11.5;6;23.0;1;8.82499980927;8.5;5;17.0;
8;1;11.8999996185;11.5;6;23.4599990845;1;8.82499980927;8.5;5;17.0;
9;1;12.0380001068;11.7299995422;6;23.8212833405;1;8.82499980927;8.5;5;17.3400001526;
10;1;12.1463851929;11.9106416702;6;24.0;2;8.9015007019;9.06999969482;4;18.6278438568;
11;1;12.2000007629;12.0;6;25.2000007629;2;9.1912651062;8.81392192841;4;18.9022262096;
12;1;14.1463851929;12.6000003815;6;26.1576004028;2;9.25300121307;8.93486309052;4;19.8625371456;
13;1;15.1463851929;13.0788002014;6;26.9011039734;2;9.46907043457;9.39324569702;5;20.6990214586;
14;1;16.1463851929;13.4505519867;6;27.4657306671;2;11.2729053497;9.78903102875;5;21.4152549505;
15;1;17.1463851929;13.7328653336;6;27.88712883;2;13.2729053497;10.1240053177;5;22.0201330185;
16;1;18.1463851929;13.943564415;5;28.0;2;15.2729053497;10.4026165009;5;22.5257823467;
17;1;19.1463851929;14.0;5;28.0;2;16.3050708771;10.6309299469;5;22.9457235336;
18;1;20.1463851929;14.0;5;28.0;2;17.0206890106;11.3414316177;5;23.2934938669;
19;1;20.3999996185;14.0;5;28.0;2;18.3280448914;10.9637317657;5;23.4190865755;
20;1;20.3999996185;14.0;6;28.0;2;18.9500007629;11.5676345825;5;23.4734505415;
21;1;20.3999996185;14.0;6;28.0;2;18.9500007629;11.5893802643;6;23.5290961266;
22;1;20.3999996185;14.0;6;28.0;2;18.9500007629;11.6116380692;6;23.5859923363;
23;1;20.3999996185;14.0;6;28.0;2;18.9500007629;11.7929964066;6;23.6441031694;
24;1;20.3999996185;14.0;6;28.0;2;18.9500007629;11.822052002;5;23.7033878565;
25;1;20.3999996185;14.0;6;28.0;2;18.9500007629;11.8516941071;6;23.7638003826;
26;2;20.3999996185;14.0;5;28.0;2;18.9500007629;11.8818998337;6;23.8252899647;
27;2;18.3999996185;15.0;5;28.0;2;19.3606910706;11.0;6;23.8878008127;
28;2;17.3999996185;16.0;5;28.0;2;18.9500007629;11.9439001083;4;23.9512724876;
29;2;16.3999996185;17.0;5;28.0;2;18.9500007629;11.9756364822;5;24.0156395435;
30;2;15.3999996185;18.0;5;28.0;2;18.9500007629;12.0078201294;6;24.0808324814;
31;2;14.3999996185;19.0;5;28.0;2;17.4181880951;12.0;6;24.1467776299;
32;2;13.3999996185;20.0;6;28.0;2;16.4330253601;13.0;6;24.2133970261;
