Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;2;6.0;14.3000001907;3;24.0;1;6.0;13.3000001907;4;17.0;
2;2;7.19999980927;13.1000003815;3;24.1124999523;1;7.0;12.3000001907;5;17.0;
3;2;8.22249984741;12.1000003815;3;24.2364046574;1;7.55000019073;11.3000001907;5;17.0;
4;2;9.24728107452;11.5;3;24.3725773096;1;7.55000019073;10.3000001907;5;17.0;
5;2;9.87451553345;11.5;3;24.5218783617;1;7.55000019073;9.30000019073;4;17.0;
6;2;11.0565643311;11.5;3;24.6851472855;1;8.55000019073;8.5;3;17.0;
7;2;12.1055450439;11.5;3;24.8631806374;1;8.82499980927;8.5;3;17.0;
8;2;12.4589538574;11.5;3;25.5353367329;1;8.82499980927;8.5;3;17.0;
9;2;12.6606016159;11.7299995422;3;26.1285328865;1;8.82499980927;8.5;3;17.3400001526;
10;2;12.8385601044;11.9106416702;3;27.6838638783;1;8.9015007019;8.67000007629;3;17.6278438568;
11;2;13.3051586151;12.5274600983;3;29.0303895473;1;8.96626472473;8.81392192841;3;17.869726181;
12;2;15.0424957275;13.0216779709;3;30.1965687275;1;9.02068901062;8.93486309052;3;18.786491394;
13;2;17.0424957275;13.4066829681;3;31.2181880474;1;9.22696018219;9.39324569702;4;19.5780620575;
14;2;19.0424957275;13.6998376846;4;32.1313700676;1;11.0206890106;9.78903102875;4;20.2480106354;
15;3;20.4343490601;13.9190797806;4;32.8065404892;2;13.0206890106;10.5240049362;3;21.8052330017;
16;3;21.5883483887;14.0;5;33.3565750122;2;15.0206890106;10.8026161194;3;22.3368599415;
17;3;22.7533569336;14.0;5;33.9400897026;2;16.0206890106;11.0609302521;3;22.7862389088;
18;3;23.9284114838;14.0;5;34.5525074005;2;17.2805233002;10.8157100677;3;23.167105794;
19;3;22.3999996185;15.0;5;35.187936306;2;18.0206890106;11.4595890045;3;23.32964468;
20;3;23.3999996185;14.0;6;35.8393115997;2;18.9500007629;11.5318574905;3;23.4249849319;
21;4;24.3999996185;14.0;5;36.4986515045;2;18.9500007629;11.5699939728;3;23.5258028507;
22;4;24.9495944977;14.0;5;37.1574115753;2;18.9500007629;11.7629013062;4;23.6322153807;
23;4;25.1472225189;14.0;6;37.8069095612;2;19.3172492981;11.0;4;23.7443124056;
24;4;25.3420715332;14.0;6;38.4387779236;2;19.3424720764;11.0;4;23.8621526957;
25;4;25.5316333771;14.0;6;39.0453987122;2;18.9500007629;11.9310760498;5;23.9857594967;
26;4;23.7136192322;15.0;6;39.620267868;2;18.9500007629;11.9928798676;4;24.1151165962;
27;4;22.8860797882;16.0;6;40.1582555771;2;18.9500007629;12.0575580597;4;24.2501642704;
28;4;22.0474758148;17.0;6;40.6557407379;2;19.456287384;11.0;4;24.3907959461;
29;4;21.1967220306;18.0;7;41.1106204987;2;18.9500007629;12.0;4;24.5368545055;
30;4;20.3331871033;19.0;7;41.5222129822;2;17.5207939148;12.0;4;24.6881308556;
31;4;19.4566631317;20.0;7;41.8910703659;2;16.5548305511;13.0;4;24.8443615437;
32;4;18.5673217773;21.0;7;42.2187509537;2;15.5899820328;14.0;4;25.005228281;
33;5;18.265625;22.0;6;42.507569313;2;14.6761760712;15.0;4;25.1703586578;
34;5;18.3522701263;23.0;6;42.7603540421;2;14.7133312225;16.0;5;25.3393273354;
35;5;18.428106308;24.0;7;42.9802312851;2;14.7513484955;17.0;4;25.5116591454;
36;5;18.4940700531;25.0;7;43.1704454422;2;14.7901229858;18.0;4;25.6868326664;
37;5;18.5511341095;26.0;7;43.25;2;14.8295373917;19.0;5;25.8642861843;
38;5;18.5750007629;27.0;7;43.25;2;14.8694648743;20.0;6;26.0434236526;
39;5;19.5750007629;25.0;8;43.25;2;14.9097709656;21.0;7;26.2236218452;
40;5;18.5750007629;26.0;8;44.25;2;14.9503154755;22.0;8;26.4042396545;
41;5;19.5750007629;27.0;8;44.2799999714;2;14.9909534454;23.0;8;26.5846266747;
42;5;21.5750007629;25.0;9;44.3105909824;2;15.0315408707;24.0;8;26.7641320229;
43;5;22.5750007629;26.0;10;44.341766119;2;15.0719299316;25.0;8;26.9421138763;
44;5;23.5750007629;27.0;10;44.3735172749;2;15.1119756699;26.0;8;27.1179485321;
45;5;24.5750007629;28.0;10;44.4058350325;2;15.1515388489;27.0;9;27.2910404205;
46;5;25.5750007629;29.0;12;44.4387089014;2;15.1904840469;28.0;9;27.4608278275;
47;6;26.5750007629;30.0;11;44.4721269608;2;15.2286863327;29.0;9;27.626791954;
48;6;27.5750007629;29.0;11;44.5060760975;2;14.0;31.0;11;27.7884612083;
49;6;28.5750007629;29.0;13;44.5405418873;2;15.0;30.0;11;27.9454174042;
50;6;28.9749984741;29.0;13;44.5755085945;2;14.0;32.0;13;28.0972981453;
51;7;28.9749984741;29.0;12;44.6109591722;2;14.0;34.0;13;28.2437982559;
52;7;28.9749984741;29.0;12;44.6468753815;2;15.0;30.0;14;28.3846707344;
53;7;28.9749984741;29.0;12;44.6832377911;2;16.0;30.0;14;28.5197277069;
54;7;28.9749984741;29.7166194916;12;45.7200255394;2;17.0;30.0;15;28.6488361359;
55;7;29.9749984741;30.7350120544;12;46.9097168446;2;18.0;30.0;14;28.7719168663;
56;8;32.4271621704;32.0;8;53.9332040548;1;16.9500007629;24.0;14;22.0;
57;8;34.8363876343;35.0;8;54.3273003101;1;14.9500007629;25.0;15;22.0;
58;8;35.4498138428;38.0;8;54.7433983088;1;13.9500007629;26.0;15;22.0;
59;8;35.4996833801;41.8104858398;6;56.184134841;1;12.9500007629;27.0;16;22.0;
60;8;37.0736274719;44.0;6;56.6921417713;1;12.0;28.0;17;22.0;
61;8;38.1708755493;46.6059188843;5;57.2311189175;1;12.0;29.0;17;22.0;
62;8;38.2784347534;47.6288757324;6;57.803332448;1;12.0;30.0;17;22.0;
63;8;38.396938324;48.6524085999;6;58.4106310606;1;12.0;31.0;18;22.0;
64;8;37.5198822021;50.6765136719;8;61.233432889;2;12.0;32.0;19;22.0;
65;8;38.5665626526;51.973903656;8;63.7079908848;2;12.0;33.0;19;22.0;
66;8;35.8840827942;54.612575531;10;65.8954753876;2;12.0;34.0;20;22.0;
67;9;37.7224845886;54.1026115417;9;67.861426115;2;12.0;35.0;20;22.0;
68;10;39.2819290161;56.6455421448;9;70.4932419062;2;13.0;33.0;20;22.0;
69;10;39.9952011108;56.5675010681;9;71.8322197199;2;12.0;34.0;20;22.0;
70;10;39.3465652466;58.7415161133;9;73.2549651265;3;12.0;35.0;20;22.0;
71;10;36.3465652466;62.0388298035;9;74.5500644445;3;13.0;33.0;20;23.0;
72;10;36.5999984741;63.2284812927;9;75.8316273093;3;15.0;33.0;20;23.0900000334;
73;11;36.3365592957;64.2001037598;9;78.1321303248;3;17.0;33.0;20;23.1871190071;
74;11;38.3589859009;66.2818374634;9;79.4100203514;3;18.2671012878;33.0;20;23.2917383909;
75;11;40.381526947;69.3682479858;9;81.6769367456;3;19.2406425476;33.0;21;23.4042263031;
76;11;42.6899032593;73.4593048096;10;82.9485113025;3;19.2659511566;33.0;21;23.5249304771;
77;11;44.7064971924;77.55493927;10;84.1835533977;3;19.2931098938;32.0;21;23.6541694403;
78;11;44.9939880371;81.6550369263;12;85.373329103;3;19.3221893311;31.0;22;23.7922235727;
79;12;45.2152481079;84.3634490967;11;87.5122542381;3;19.3532505035;30.0;22;23.9393253326;
80;12;44.1514358521;89.0277481079;11;88.7776502967;3;19.3863487244;29.0;22;25.0956480503;
81;13;43.4185943604;94.2507476807;8;105.019541085;3;19.9500007629;29.0;23;25.3012955189;
82;13;46.1742553711;95.0515518188;11;107.293760538;3;20.9500007629;29.0;23;25.5486744642;
83;13;45.1349868774;100.715576172;10;109.462601185;3;20.9500007629;29.0;22;25.8095651865;
84;13;44.7711372375;105.955291748;9;111.523644388;3;20.9500007629;29.0;19;26.0839309692;
85;13;46.5557098389;107.198356628;11;114.481558561;3;20.9500007629;29.0;18;26.3716129065;
86;14;49.0110168457;109.695960999;10;116.33412534;3;20.9500007629;28.0;18;26.6316567659;
