Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
1;1;6.0;14.1000003815;4;23.0;1;6.0;13.3000001907;4;17.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;12.3000001907;5;17.0;
3;1;8.0;12.1000003815;6;23.0;1;7.55000019073;11.3000001907;5;17.0;
4;1;9.0;11.5;6;23.0;1;7.55000019073;10.3000001907;5;17.0;
5;1;9.60000038147;11.5;6;23.0;1;7.55000019073;9.30000019073;5;17.0;
6;1;10.6000003815;11.5;6;23.0;1;8.55000019073;8.5;5;17.0;
7;2;11.6000003815;11.6999998093;5;24.0;1;8.82499980927;8.5;5;17.0;
8;2;12.1999998093;11.5;5;24.4599990845;1;8.82499980927;8.5;5;17.0;
9;2;12.3380002975;11.7299995422;5;24.8212833405;2;8.82499980927;8.89999961853;4;18.3400001526;
10;2;12.4463853836;11.9106416702;5;25.0;2;9.12650108337;8.67000007629;4;18.7053438425;
11;2;12.5000009537;12.0;5;26.2500007153;2;9.2087020874;8.81392192841;4;19.0298973322;
12;2;14.4613847733;12.6000003815;5;27.259575367;2;9.28172779083;8.93486309052;4;20.0695227385;
13;2;16.4613857269;13.0788002014;5;28.0570539236;2;9.51564216614;9.39324569702;5;20.9953879118;
14;2;18.4613857269;13.4505519867;5;28.6776753664;2;11.3395872116;9.78903102875;5;21.8117841482;
15;2;19.509967804;13.7328653336;4;29.157102108;2;13.3395872116;10.1240053177;5;22.5282959938;
16;2;20.5273780823;13.943564415;4;29.3300433159;2;15.0206890106;11.0918416977;5;23.1576933861;
17;2;21.5453987122;14.0;4;29.3921557665;2;16.4472522736;10.6309299469;5;23.7140722275;
18;2;22.564031601;14.0;4;29.4563041925;2;17.0206890106;11.648771286;5;24.211452961;
19;2;22.8368911743;14.0;4;29.5224741697;2;18.5345859528;10.9637317657;5;24.5001921654;
20;2;22.8567428589;14.0;4;29.5906432867;2;18.9500007629;12.0;6;24.7314550877;
21;2;22.3999996185;14.4771928787;5;29.6607804298;2;18.9500007629;12.092581749;6;24.9777925014;
22;3;22.3999996185;14.4982337952;4;29.7328453064;2;18.9500007629;12.1911172867;4;25.2390105724;
23;3;22.9198532104;14.0;4;29.8067884445;2;18.9500007629;12.6195049286;4;25.5146825314;
24;3;22.942035675;14.0;4;29.8825509548;2;18.9500007629;12.7573413849;4;25.8041276932;
25;3;22.3999996185;14.5647649765;4;29.9600640535;2;19.805929184;11.0;4;26.1063990593;
26;3;22.3999996185;14.588019371;4;30.0392494202;2;18.9500007629;12.0;4;26.4202756882;
27;3;21.0117740631;15.0;3;30.120018959;3;18.9500007629;13.0;4;26.7442698479;
28;3;20.0360050201;16.0;3;30.2022752762;3;18.9500007629;13.3721351624;5;27.0766406059;
29;3;19.0606822968;17.0;3;30.2859115601;4;19.9500007629;11.3721351624;4;27.4154229164;
30;3;18.085773468;18.0;2;30.3708124161;4;18.1684703827;12.0;4;27.7584671974;
31;3;17.1112442017;19.0;2;30.4568536282;4;15.9500007629;14.0;4;28.1034874916;
