Turn;Planet_count_KI_1_SP_HUMAN;Research_KI_1_SP_HUMAN;Industry_KI_1_SP_HUMAN;Ships_KI_1_SP_HUMAN;Population_KI_1_SP_HUMAN;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;9.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;9.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;9.0;10.0;6;20.0;1;8.0;10.0;4;20.0;
4;1;9.0;10.0;6;20.0;1;8.0;10.0;4;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;4;20.0;
6;1;11.0;10.0;6;20.0;1;9.0;10.0;3;20.0;
7;1;11.0;10.0;6;20.3999996185;1;9.5;10.0;3;20.0;
8;1;11.1199998856;10.1999998093;6;20.7264003754;1;9.5;10.0;3;20.3999996185;
9;1;11.2179203033;10.3632001877;6;20.9903717041;1;9.59000015259;10.1999998093;3;20.7264003754;
10;1;11.2971115112;10.4951858521;6;22.0419120789;2;9.66343975067;10.5631999969;2;21.9903717041;
11;1;11.6125736237;11.0209560394;6;22.9143505096;2;9.94783401489;10.4951858521;2;23.1819120646;
12;1;11.8743057251;11.4571752548;6;23.6214065552;2;10.2159309387;11.0209560394;3;24.2123545408;
13;2;13.8743057251;11.8107032776;5;25.1832637787;2;12.0148849487;11.4571752548;3;25.0972630978;
14;2;15.8743057251;12.0916318893;5;25.6726100445;2;14.0148849487;11.8107032776;3;25.8587173223;
15;2;16.7017841339;12.3113050461;5;26.0637345314;2;16.0148849487;12.0916318893;3;26.5213102102;
16;2;16.8191204071;12.4808797836;5;26.1559499502;2;17.1500415802;12.3113050461;3;27.1092140675;
17;2;18.7335681915;12.5;4;26.2119446993;2;18.2060108185;12.4808797836;3;27.4234571457;
18;2;19.7503662109;12.5;4;26.269973278;2;19.2681121826;12.5;3;27.7282443047;
19;2;20.3867835999;12.8809919357;4;26.3300433159;2;20.2388553619;12.5;4;28.0630478859;
20;2;21.7857971191;12.5;4;26.3921557665;2;20.3141860962;12.5;4;28.4286823273;
21;2;21.5;12.9176464081;6;26.4563041925;2;20.3964538574;12.5;4;28.8254261017;
22;2;21.9368915558;12.5;6;26.5224741697;2;19.625;13.5;5;29.2529010773;
23;2;21.956741333;12.5;6;26.5906432867;2;19.625;13.7758703232;5;29.7099647522;
24;2;21.5;12.9771928787;6;26.6607804298;2;19.625;13.9129896164;4;30.194621563;
25;2;21.5;12.9982337952;6;26.7328453064;2;20.625;12.5;4;30.7039737701;
26;2;22.0198535919;12.5;6;26.8067884445;2;19.625;13.5;3;31.2342166901;
27;2;21.5;13.4033946991;6;26.8825509548;2;19.625;14.370265007;3;31.7806944847;
28;3;21.5;13.4412755966;5;26.9600640535;2;19.625;14.5342082977;4;32.3380203247;
29;3;21.5;13.4800319672;4;27.0392494202;2;19.625;15.5342082977;4;32.9002580643;
30;3;20.1117744446;13.5;4;27.120018959;2;18.625;14.5342082977;4;33.4611558914;
31;3;19.1360054016;14.5;5;27.2022752762;2;18.5287590027;14.5342082977;3;34.0144176483;
32;3;17.5;16.5;5;27.2859115601;2;17.6532440186;15.5;3;34.5539827347;
33;3;16.5;17.64295578;6;27.3708124161;2;16.774646759;16.5;3;35.0742940903;
34;3;15.5;18.6854057312;6;27.4568536282;2;16.2667160034;17.5;3;35.5705242157;
35;3;14.5;19.7284259796;8;27.5439035892;2;16.3783683777;18.5;3;36.0387430191;
