Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
167;16;90.2995910645;196.808380127;39;189.857883453;3;16.0;55.4136199951;18;36.2248716354;
168;17;92.4486541748;195.757537842;39;196.398121357;2;15.0;41.3899993896;18;30.2859115601;
169;17;93.6447143555;195.711791992;40;197.558109283;2;14.0;42.3899993896;19;30.3708124161;
170;18;92.8824081421;201.670608521;40;199.771905899;2;14.0;43.3899993896;19;30.4568536282;
171;18;96.15574646;203.033538818;41;201.06407547;2;15.0;41.3899993896;19;30.5439035892;
172;18;95.4581451416;210.000183105;44;202.379034996;2;14.0;42.3899993896;19;30.6318233013;
173;18;96.7825775146;216.970169067;46;203.678214312;2;14.0;43.3899993896;20;30.7204678059;
174;18;100.12171936;217.943145752;49;204.836991191;2;15.0;41.3899993896;20;30.8096864223;
175;18;99.46824646;224.918838501;51;205.968461871;2;14.0;42.3899993896;20;30.8993241787;
176;18;100.815177917;227.896942139;51;208.067334414;2;14.0;43.3899993896;20;30.989222765;
177;18;103.156021118;228.877258301;53;209.199907184;2;15.0;41.3899993896;21;31.079221487;
178;19;104.485122681;234.259521484;53;210.280673385;2;14.0;42.3899993896;20;31.1691586971;
179;19;105.797805786;239.24357605;55;211.301728368;2;14.0;43.3899993896;20;31.258872509;
180;20;108.09047699;241.229217529;54;236.258072138;2;15.0;41.3899993896;20;31.348202467;
181;20;109.360664368;247.216308594;56;238.82743144;2;14.0;42.3899993896;21;31.4369900227;
182;20;111.606925964;252.204666138;56;241.016096473;2;14.0;43.3899993896;22;31.5250804424;
183;20;114.828773499;251.194213867;57;242.843149066;2;15.0;41.3899993896;22;31.6123232841;
184;21;114.026496887;256.184783936;57;245.350607157;2;14.0;42.3899993896;22;31.6985738277;
185;21;116.201019287;262.176300049;60;246.68026948;2;14.0;43.3899993896;20;31.7836937904;
186;21;118.353721619;263.168670654;56;251.063152075;2;15.0;41.3899993896;12;31.867552042;
187;22;120.621116638;267.852783203;56;254.525237799;2;14.0;42.3899993896;10;31.9500255585;
188;22;122.512893677;269.36831665;56;257.372052789;2;15.0;38.3899993896;10;32.0310001373;
189;24;124.057289124;276.744415283;52;287.669519305;1;2.0;5.0;10;4.11037063599;
190;24;124.234390259;286.012145996;53;290.493802905;1;2.0;5.0;10;4.18804121017;
191;24;129.05279541;290.100006104;52;292.128844738;1;2.0;5.0;10;4.26392698288;
192;24;129.653533936;300.100006104;52;295.078284502;1;2.0;5.0;5;4.33795166016;
193;24;131.172424316;310.100006104;55;299.189077973;1;2.0;5.0;5;4.41005039215;
194;25;136.547744751;315.162994385;54;302.038487077;1;2.0;5.0;5;4.48016786575;
195;25;137.810317993;326.227233887;54;309.371883631;1;2.0;5.0;5;4.54825878143;
196;25;142.209396362;338.092712402;56;315.642914772;1;2.0;5.0;5;4.61428785324;
197;27;148.418884277;343.73059082;56;321.048772693;1;2.0;5.0;5;4.6782283783;
198;27;150.039093018;355.190612793;57;325.743100762;1;2.0;5.0;5;4.7400636673;
199;27;153.27696228;365.075469971;57;329.379981399;1;2.0;5.0;5;4.79978561401;
200;27;158.030593872;368.579650879;56;332.790872931;1;2.0;5.0;5;4.85739326477;
201;27;158.659881592;378.109313965;59;336.964902639;1;2.0;5.0;5;4.91289424896;
202;27;162.082046509;388.662719727;60;340.088283539;1;2.0;6.0;5;4.96630239487;
203;28;177.78944397;397.737426758;59;348.911717296;0;0;0;0;0;
