Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;9.0;10.0;5;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;10.0;5;20.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;10.0;10.0;5;20.0;
6;2;9.27600002289;11.4650716782;4;24.086605072;1;11.0;10.0;4;20.0;
7;2;10.4194869995;11.543302536;4;24.6083432436;1;11.0;10.0;4;20.3999996185;
8;2;10.5368766785;11.7641716003;4;25.2862184048;1;11.1199998856;10.1999998093;4;20.7264003754;
9;2;10.6893997192;12.0549411774;4;25.8457199335;1;11.2179203033;10.3632001877;4;20.9903717041;
10;2;10.8152866364;12.2827939987;4;26.3097169399;2;11.597111702;10.4951858521;1;23.0419120789;
11;2;10.9196863174;12.4589796066;5;26.5115636587;2;11.9125738144;11.0209560394;1;23.944350481;
12;2;13.8404026031;12.5;5;26.6398718357;2;12.1833057404;11.4571752548;1;24.6819975376;
13;2;15.8404026031;12.5;5;26.7769671679;2;14.9215736389;11.8107032776;2;25.2750298977;
14;2;16.9270744324;12.5;5;26.9230877161;2;16.9215736389;12.0916318893;2;25.746127367;
15;2;17.9599514008;12.5;5;27.0784137249;2;17.94962883;12.3113050461;2;26.1175945997;
16;2;18.9948997498;12.5;5;27.2430570126;2;18.9593238831;12.4808797836;2;26.1887089014;
17;2;20.0319442749;12.5;5;27.4170496464;2;19.9691867828;12.5;1;26.2221269608;
18;2;20.1688365936;12.5;5;27.6003332138;2;20.9792118073;12.5;1;26.2560760975;
19;2;20.2100753784;12.5;5;27.7927491665;2;21.8768234253;12.5;1;26.2905418873;
20;2;20.2533683777;12.5;7;27.9940295219;2;21.8871631622;12.5;1;26.3255085945;
21;2;20.2986564636;12.5;7;28.2037904263;2;21.8976516724;12.5;3;26.3609591722;
22;2;20.3458518982;12.5;8;28.4215266705;2;21.9082870483;12.5;3;26.3968753815;
23;2;20.3948440552;12.5;8;28.6466109753;2;21.9190635681;12.5;3;26.4332377911;
24;2;20.4454879761;12.5;8;28.8782944679;2;21.9299716949;12.5;4;26.4700255394;
25;3;19.625;13.5;7;29.1157121658;2;21.9410076141;12.5;4;26.5072168112;
26;3;17.625;13.5;7;29.3578925133;2;21.9521656036;12.5;4;26.5447884798;
27;3;17.6055259705;14.5;7;29.6037693024;2;21.9634361267;12.5;4;26.5827163458;
28;3;16.6608486176;15.5;7;29.8521990776;2;21.9748153687;12.5;4;26.6209751368;
29;3;15.7167453766;16.5;7;30.1019806862;2;21.9862918854;12.5;4;26.6595385075;
30;3;15.625;15.5;7;30.3518767357;2;21.9978618622;12.5;4;26.6983793974;
31;4;16.625;15.5;6;43.3506383896;2;22.009513855;12.5;4;26.7374696732;
32;4;15.625;17.3003196716;6;44.2345304489;2;22.0212402344;12.5;4;26.7767804861;
33;4;16.0;18.4235153198;6;45.0613861084;2;21.5;13.3883905411;4;26.8162822723;
34;4;17.0;19.544927597;6;45.8274183273;2;22.044883728;12.5;5;26.8559447527;
35;4;18.0;20.6639900208;5;46.5310955048;2;22.0567836761;12.5;5;26.8957372904;
36;4;19.0;21.7801704407;6;47.1728224754;2;22.0687217712;12.5;5;26.9356285334;
37;4;20.0;22.8929977417;5;48.7545413971;2;21.5;13.4678144455;6;26.9755871296;
38;4;22.0;24.5020484924;6;49.2993159294;2;22.0926761627;12.5;6;27.015581131;
