Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;6;21.0;1;9.0;10.0;6;20.0;
4;1;8.14999961853;10.5;6;21.8400001526;2;9.19999980927;10.0;5;21.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;2;10.3000001907;10.0;5;21.0599999428;
6;2;9.27600002289;11.4650716782;4;24.086605072;2;11.3179998398;10.0;5;21.1229639053;
7;2;10.4194869995;11.543302536;4;24.5583431721;2;11.336889267;10.0;5;21.6001901627;
8;2;10.5256261826;11.7641716003;4;25.1807733774;2;11.4800567627;10.1999998093;4;22.0082015991;
9;2;10.6656742096;12.0549411774;4;25.6785554886;2;11.6024608612;10.3632001877;4;22.3582868576;
10;2;10.777674675;12.2827939987;3;26.0741881132;2;11.7074861526;10.4951858521;4;23.5279067755;
11;2;10.866692543;12.4589796066;3;26.2006716728;2;12.0583724976;11.0209560394;4;24.5268628597;
12;2;12.866692543;12.5;3;26.246289134;2;14.0583724976;11.4571752548;4;25.3691681623;
13;2;14.8666915894;12.5;3;26.29307127;2;16.0583724976;11.8107032776;4;26.0752547979;
14;2;15.8974819183;12.5;3;26.3410044909;2;16.8225765228;12.0916318893;4;26.6680037975;
15;2;16.9082660675;12.5;3;26.3900717497;2;17.0004024506;12.3113050461;4;27.1698563099;
16;2;17.9193077087;12.5;3;26.4402523041;2;17.1509571075;12.4808797836;4;27.3801496029;
17;2;18.9305973053;12.5;3;26.4915215969;2;19.1008281708;12.5;4;27.5615134239;
18;2;19.6065406799;12.9474563599;4;26.5438512564;2;20.1552371979;12.5;4;27.7520513535;
19;2;19.972366333;12.5;4;26.597209096;2;21.2123985291;12.5;5;27.9515185356;
20;2;19.9843711853;12.5;4;26.6515587568;2;22.2722396851;12.5;6;28.1595556736;
21;2;19.625;12.995467186;4;26.7068601847;2;21.5;13.4478664398;6;28.3756833076;
22;2;20.0090446472;12.5;5;26.7630695105;2;21.5;13.5127048492;6;28.5992991924;
23;3;19.625;13.0289211273;4;26.8201388121;2;21.5;13.5797901154;6;28.8296794891;
24;3;19.625;13.0460414886;5;26.8780167103;2;22.5;12.5;6;29.0659828186;
25;3;19.625;13.0634050369;5;26.9366481304;2;21.5;13.5;6;29.3072590828;
26;4;19.625;13.080994606;4;26.9959744215;2;22.5;12.5;7;29.5524601936;
27;4;20.0740947723;12.5;4;27.0559339523;2;21.5;13.5;7;29.8004574776;
28;4;20.0875854492;12.5;4;27.1164619923;2;22.5;12.5;7;30.0500593185;
29;4;19.625;13.5;4;27.1774909496;2;23.0150184631;12.5;7;30.3000340462;
30;4;18.1149349213;13.5;4;27.2389507294;2;21.5;13.5;7;30.5491337776;
31;4;17.1287631989;14.5;4;27.3007693291;2;21.5;14.5;7;30.7961182594;
32;4;16.1426734924;15.5;4;27.3628723621;2;21.5;15.3980588913;7;31.0397801399;
33;4;15.1566467285;16.5;4;27.4251842499;2;21.5;15.5198898315;7;31.278968811;
34;4;14.5456666946;17.5;4;27.4876282215;2;22.5;13.5198898315;7;31.5126113892;
35;4;14.5597162247;18.5;4;27.550126791;2;23.4537830353;12.5198898315;7;31.7397313118;
36;4;14.5737781525;19.5;5;27.612601757;2;21.5;13.5198898315;8;31.95946455;
37;4;14.5878353119;20.5;5;27.6749749184;2;21.5;14.5198898315;8;32.171069622;
38;4;14.6018695831;21.5;5;27.7371687889;2;22.5;12.5198898315;8;32.373934269;
