Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;9.0;10.0;5;20.0;
4;2;8.14999961853;10.6999998093;4;22.8400001526;1;9.0;10.0;5;20.0;
5;2;8.42599964142;10.9200000763;4;23.6901437044;1;10.0;10.0;5;20.0;
6;2;9.53699970245;11.2650718689;4;24.4303489923;1;11.0;10.0;5;20.0;
7;2;10.4968290329;11.543302536;4;25.0824670792;1;11.0;10.0;4;20.3999996185;
8;2;10.6435546875;11.7641716003;3;25.91959548;2;11.4200000763;10.1999998093;2;21.7264003754;
9;2;10.8319091797;12.0549411774;3;26.6682989597;2;11.5179204941;10.3632001877;2;21.9903717041;
10;2;11.0003671646;12.2827939987;3;27.3549442291;2;11.597111702;10.4951858521;2;23.0619120598;
11;2;11.1548624039;12.4589796066;4;27.8162534237;2;11.9185733795;11.0209560394;2;23.9545464516;
12;2;14.0755786896;12.5;4;28.2438662052;2;13.9185733795;11.4571752548;2;24.6819883585;
13;2;16.0755786896;12.5;4;28.7225353718;2;15.9185733795;11.8107032776;3;25.2644146681;
14;2;17.3648281097;12.5;4;29.2540192604;2;16.9369182587;12.0916318893;3;25.7245066166;
15;2;18.4844112396;12.5;4;29.8387761116;2;17.9431419373;12.3113050461;3;26.0845712423;
16;2;19.6159801483;12.5;4;30.4756183624;2;18.6125736237;12.4808797836;3;26.1438889503;
17;2;20.7592697144;12.5;4;31.1614055634;2;19.6125736237;12.5;3;26.1651208401;
18;2;21.0113162994;12.5;5;31.8908295631;2;20.6125736237;12.5;3;26.1864993572;
19;2;21.1754360199;12.5;5;32.6563434601;2;21.5;12.5;4;26.2080165148;
20;2;21.3476772308;12.5;5;33.4482889175;2;21.5;12.5;4;26.2296639681;
21;2;21.5258655548;12.5;5;34.2552452087;2;21.5;12.5;4;26.2514331341;
22;3;21.7074298859;12.5;4;35.0645933151;2;21.5;12.5;5;26.2733153105;
23;3;21.8895339966;12.5;5;35.8632593155;2;21.5;12.5;5;26.2953014374;
24;4;22.0692329407;12.5;4;36.6385421753;2;21.5;12.5;5;26.3173824549;
25;4;20.0692329407;13.5;4;37.3789234161;2;21.5;12.5;6;26.3395489454;
26;4;21.0692329407;12.5;4;38.0747518539;2;21.5;12.5;6;26.3617914915;
27;4;22.0692329407;12.5;4;38.7187156677;2;21.5;12.5;6;26.3841004372;
28;4;20.0692329407;13.5;4;40.3060531616;2;21.5;12.5;5;26.4064661264;
29;4;20.625;15.0;4;40.8745107651;2;21.5;12.5;5;26.428878665;
30;4;21.625;16.0200004578;4;41.3852791786;2;19.5;13.5;5;26.4513280392;
31;4;21.625;17.0405921936;4;41.8402330875;2;18.5;14.5;5;26.4738043547;
32;4;20.8777999878;15.5;4;42.2426499128;2;17.5;15.5;5;26.4962974787;
33;4;20.8875999451;15.5;5;42.5967501402;2;16.5;16.5;5;26.5187973976;
34;4;20.8976650238;15.5;5;42.9072878361;2;15.5;17.5;5;26.5412938595;
35;4;20.6541404724;16.5;6;43.1792018414;2;14.5;18.5;5;26.5637768507;
36;4;19.664730072;15.5;6;43.3530313969;2;14.0;19.5;5;26.5862361193;
37;4;19.675579071;15.5;6;43.4023760557;2;14.0;20.5;5;26.6086617708;
38;4;19.625;16.2011871338;6;43.4528282881;2;14.0;21.5;6;26.6310436726;
39;4;20.9518871307;16.5;6;43.5043625832;2;14.0;22.5;6;26.6533719301;
