Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;9.0;10.0;5;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;10.0;5;20.0;
5;2;8.27600002289;11.1199998856;4;23.5301437378;1;10.0;10.0;5;20.0;
6;2;9.50100040436;11.2650718689;4;24.2066050768;2;11.3000001907;10.0;4;21.0;
7;2;10.4464864731;11.543302536;4;24.78139925;2;11.3000001907;10.0;4;21.4499995708;
8;2;10.5758142471;11.7641716003;4;25.5226647854;2;11.4349994659;10.1999998093;4;21.8283753395;
9;2;10.7425994873;12.0549411774;4;26.1562004089;2;11.5485124588;10.3632001877;4;22.1463216543;
10;2;10.8851451874;12.2827939987;4;26.7059569359;2;11.6438961029;10.4951858521;4;23.2769758701;
11;2;11.0088405609;12.4589796066;5;27.0063481331;2;11.983092308;11.0209560394;4;24.2329655886;
12;2;13.9295558929;12.5;5;27.2469825745;2;13.9830932617;11.4571752548;4;25.0281233788;
13;2;15.9295558929;12.5;5;27.5110707283;2;15.6125736237;12.3733901978;5;25.6827294827;
14;2;17.0922470093;12.5;5;27.7995657921;2;17.062412262;12.0916318893;5;26.2195490599;
15;2;18.1571598053;12.5;5;28.1131293774;2;18.0916557312;12.3113050461;5;26.6609514952;
16;2;19.2277107239;12.5;5;28.4520516396;2;19.1223316193;12.4808797836;5;26.8062547445;
17;2;20.3039665222;12.5;5;28.8161723614;2;20.1544494629;12.5;5;26.9181295633;
18;2;20.4836387634;12.5;6;29.2048048973;2;21.1880130768;12.5;5;27.0347876549;
19;2;20.5710811615;12.5;6;29.6166739464;2;22.1104354858;12.5;6;27.1561670303;
20;2;20.6637516022;12.5;6;30.0498714447;2;22.1468505859;12.5;6;27.2821698189;
21;2;20.761220932;12.5;6;30.5018415451;2;22.1846504211;12.5;6;27.4126603603;
22;2;20.8629150391;12.5;6;30.9693965912;2;22.2237987518;12.5;6;27.5474638939;
23;2;20.9681148529;12.5;6;31.4487752914;2;22.2642383575;12.5;7;27.686365366;
24;2;21.0759735107;12.5;7;31.9357366562;3;22.3059101105;12.5;5;27.8291089535;
25;2;19.625;13.5;7;32.4256954193;3;22.3487319946;12.5;5;27.9753990173;
26;2;19.625;14.5;7;32.9138832092;3;21.5;13.5;5;28.1249010563;
27;2;18.625;13.5;7;33.3955316544;3;21.5;14.5;5;28.2772431374;
28;2;18.5139942169;14.5;7;33.8660564423;3;21.5;14.7940702438;5;28.4320194721;
29;2;17.6198635101;15.5;7;34.3212347031;3;21.5;14.9024133682;5;28.5887935162;
30;2;16.625;14.5;7;34.7573537827;3;21.5;15.0121555328;6;28.747102499;
31;2;17.625;14.5;7;35.1713237762;3;21.5;15.1229715347;7;28.9064629078;
32;2;18.625;15.5;7;35.5607509613;3;21.5;15.2345237732;7;29.0663752556;
33;2;17.625;14.5;7;35.9239616394;3;21.5;15.3464622498;7;29.226331234;
34;2;17.625;14.5;8;36.2599868774;3;21.5;15.4584321976;7;29.3858189583;
35;2;16.625;13.5;8;36.5685119629;3;21.5;15.5700731277;8;29.5443305969;
36;2;15.625;13.5;8;36.8497991562;3;21.5;15.6810312271;8;29.7013678551;
37;2;16.0;14.5;8;37.104593277;3;21.5;15.7909574509;8;29.8564486504;
38;2;16.7235336304;15.5;8;37.3340244293;3;21.5;15.8995141983;9;30.0091137886;
39;2;16.7751560211;16.5;8;37.5395059586;3;21.5;16.0063800812;10;30.1589307785;
