Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;9.0;10.0;6;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;10.0;6;20.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;10.0;10.0;5;20.0;
6;1;9.27600002289;11.2650718689;5;23.086605072;1;11.0;10.0;5;20.0;
7;2;10.194486618;12.1433029175;4;24.5283432007;1;11.0;10.0;5;20.3999996185;
8;2;10.2938766479;11.7641716003;4;25.219882369;1;11.1199998856;10.1999998093;5;20.7264003754;
9;2;10.4247236252;12.0549411774;4;26.7608625889;1;11.2179203033;10.3632001877;5;20.9903717041;
10;2;10.7442464828;12.7649917603;4;28.0346127748;1;11.2971115112;10.4951858521;5;22.0419120789;
11;2;11.0010147095;13.3355894089;5;29.0674717426;1;11.6125736237;11.0209560394;5;22.9143505096;
12;2;13.7442464828;13.779507637;4;29.8984425068;1;11.8743057251;11.4571752548;5;23.6214065552;
13;2;15.7442464828;14.1158628464;4;30.5698832273;2;13.8743057251;11.8107032776;4;25.1832637787;
14;2;16.7442474365;14.3654699326;4;31.0257995129;2;15.8743057251;12.0916318893;4;25.6526100636;
15;2;17.7442474365;14.5;4;31.2278568745;2;16.6957836151;12.3113050461;4;26.0223505497;
16;2;18.7442474365;14.5;4;31.4455661774;2;16.8067054749;12.4808797836;4;26.091766119;
17;2;19.7442474365;14.5;5;31.67922616;2;18.7143135071;12.5;4;26.1235172749;
18;2;20.5249996185;14.5;5;31.9289507866;2;19.7238388062;12.5;4;26.1558350325;
19;2;20.5249996185;14.5;5;32.1946372986;2;20.7335338593;12.5;5;26.1887089014;
20;2;20.5249996185;14.5;5;32.4759366512;2;21.743396759;12.5;5;26.2221269608;
21;2;20.5249996185;14.5;6;32.7722277641;2;21.8666381836;12.5;5;26.2560760975;
22;3;21.3737506866;14.5;5;33.0825982094;2;21.8768234253;12.5;5;26.2905418873;
23;4;20.5249996185;15.5;4;33.0058341026;2;21.8871631622;12.5;5;26.3255085945;
24;4;20.4349994659;16.2999992371;4;32.9804196358;2;21.8976516724;12.5;5;26.3609591722;
25;4;20.3540000916;17.1199989319;4;33.0005550385;2;21.9082870483;12.5;6;26.3968753815;
26;4;20.2810993195;17.5171890259;4;33.0605754852;2;21.9190635681;12.5;6;26.4332377911;
27;4;20.2154903412;18.371389389;4;33.1549568176;2;21.5;13.2166185379;7;26.4700255394;
28;4;20.1564407349;18.8946762085;4;33.2783317566;2;21.5;13.2350130081;7;26.5072168112;
29;4;20.1032981873;19.1001930237;4;33.4255232811;2;21.9521656036;12.5;7;26.5447884798;
30;4;20.0554676056;19.3176956177;4;33.5915799141;2;21.9634361267;12.5;7;26.5827163458;
31;4;20.0124206543;19.543674469;5;33.7718281746;2;21.5;13.2913579941;7;26.6209751368;
32;4;19.9736785889;19.774772644;5;33.9619235992;2;21.9862918854;12.5;7;26.6595385075;
33;4;19.9388103485;20.0078468323;5;34.1578912735;2;21.9978618622;12.5;7;26.6983793974;
34;4;19.9074287415;20.2400054932;5;34.3561658859;2;22.009513855;12.5;7;26.7374696732;
35;4;19.8791866302;20.468662262;5;34.5536231995;2;22.0212402344;12.5;7;26.7767804861;
36;4;19.853767395;20.6915626526;5;35.7475910187;2;21.5;13.3883905411;7;26.8162822723;
37;4;20.8308906555;21.606803894;5;35.9358520508;2;22.044883728;12.5;7;26.8559447527;
