Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;9.0;10.0;4;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;10.0;4;20.0;
5;2;9.27600002289;11.1199998856;4;23.5301437378;1;10.0;10.0;4;20.0;
6;2;11.2760000229;11.2650718689;4;24.1166050434;1;11.0;10.0;4;20.0;
7;2;13.194486618;11.543302536;4;24.5889341831;1;11.0;10.0;4;20.3999996185;
8;2;13.5325098038;11.7641716003;4;25.212254405;1;11.1199998856;10.1999998093;4;20.7264003754;
9;2;13.6727571487;12.0549411774;4;25.7109264135;1;11.2179203033;10.3632001877;3;20.9903717041;
10;2;13.7849578857;12.2827939987;4;26.1074465513;2;11.597111702;10.4951858521;2;23.0419120789;
11;2;15.7849578857;12.4589796066;5;26.2348128557;2;11.9125738144;11.0209560394;2;23.9543504715;
12;2;17.7849578857;12.5;5;26.2813059092;2;12.1863059998;11.4571752548;2;24.7025904655;
13;2;18.8155517578;12.5;5;26.328953743;2;14.9245738983;11.8107032776;3;25.3068172932;
14;2;19.8262710571;12.5;5;26.3777402639;2;16.9245738983;12.0916318893;3;25.789717555;
15;2;20.8372497559;12.5;5;26.4276455641;2;17.9627056122;12.3113050461;3;26.1736010313;
16;2;21.8484764099;12.5;5;26.4786461592;2;18.9761257172;12.4808797836;3;26.2577478886;
17;2;22.8599510193;12.5;5;26.5307145119;2;19.9898986816;12.5;3;26.3048160076;
18;2;22.9694099426;12.5;5;26.5838193893;2;21.0040187836;12.5;3;26.3530313969;
19;2;22.9813594818;12.5;5;26.6379255056;2;21.9059104919;12.5;3;26.4023760557;
20;2;22.625;12.9913778305;7;26.6929937601;2;21.9207134247;12.5;3;26.4528282881;
21;2;23.0059242249;12.5;7;26.7489811182;2;21.9358482361;12.5;5;26.5043625832;
22;2;23.0185203552;12.5;8;26.8058408499;2;21.9513092041;12.5;5;26.5569496155;
23;2;22.625;13.0417518616;8;26.8635222912;2;21.9670848846;12.5;5;26.6105561256;
24;2;22.625;13.431760788;8;26.9219712019;2;21.9831676483;12.5;5;26.6651450396;
25;2;21.0574436188;13.5;8;26.9811300039;2;21.9995441437;12.5;5;26.72067523;
26;2;20.0707550049;14.5;7;27.0409376621;2;22.0162029266;12.5;7;26.7771017551;
27;3;19.0842113495;15.5;6;27.1013302803;2;22.0331306458;12.5;7;26.8343759775;
28;3;17.625;16.5;6;27.1622409821;2;21.5;13.4171876907;7;26.8924454451;
29;3;17.4865036011;17.5;6;27.2236001492;2;22.0677337646;12.5;7;26.9512542486;
30;3;17.5003089905;18.5;6;27.285336256;2;20.0853767395;13.5;8;27.0107431412;
31;3;17.5142002106;19.5;6;27.3473753929;2;19.1032218933;14.5;8;27.0708494186;
32;3;17.5281600952;20.5;6;27.409642458;2;18.1212539673;15.5;8;27.1315076351;
33;3;17.5421695709;21.5;7;27.4720609188;2;17.1394519806;16.5;8;27.1926498413;
34;3;17.5562133789;22.5;7;27.534553051;2;16.1577949524;17.5;8;27.2542052269;
35;3;17.570274353;23.5;7;27.5970411301;2;15.1762619019;18.5;8;27.3161010742;
36;3;17.5843353271;24.5;7;27.6594469547;2;14.6948299408;19.5;8;27.3782629967;
37;3;18.5983753204;22.5;7;27.7216928005;2;14.7134790421;20.5;8;27.4406147003;
38;3;17.6123809814;23.5;9;27.7837014198;2;14.7321844101;21.5;8;27.5030794144;
