Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;9.0;10.0;4;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;10.0;4;20.0;
5;1;8.27600002289;10.9200000763;3;22.5301437378;1;10.0;10.0;4;20.0;
6;2;9.27600002289;11.4650716782;2;24.086605072;1;11.0;10.0;3;20.0;
7;2;10.4194869995;11.543302536;2;24.5683431625;2;11.3000001907;10.0;2;21.3999996185;
8;2;10.5278768539;11.7641716003;2;25.2014663219;2;11.4200000763;10.1999998093;2;21.7264003754;
9;2;10.6703300476;12.0549411774;2;25.7107514143;2;11.5179204941;10.3632001877;2;21.9903717041;
10;2;10.7849187851;12.2827939987;2;26.1187183857;2;11.597111702;10.4951858521;2;23.0719120502;
11;2;10.8767118454;12.4589796066;3;26.2583864927;2;11.9215736389;11.0209560394;2;23.9749414921;
12;2;13.7974281311;12.5;3;26.3180543184;2;13.9215736389;11.4571752548;2;24.7131726742;
13;2;15.7974281311;12.5;3;26.3797649145;2;15.9215736389;11.8107032776;3;25.3067810535;
14;2;16.8377037048;12.5;3;26.4435132742;2;16.94962883;12.0916318893;3;25.7784451246;
15;2;17.8520469666;12.5;3;26.5092867613;2;17.9593238831;12.3113050461;3;26.1504684687;
16;2;18.8668460846;12.5;3;26.5770645142;2;18.9691867828;12.4808797836;3;26.2221269608;
17;2;19.8820953369;12.5;3;26.6468170881;2;19.9792118073;12.5;3;26.2560760975;
18;2;19.9955329895;12.5;3;26.7185060978;2;20.989397049;12.5;3;26.2905418873;
19;2;20.0116634369;12.5;3;26.7920838594;2;21.8871631622;12.5;4;26.3255085945;
20;2;20.028219223;12.5;3;26.8674932718;2;21.8976516724;12.5;5;26.3609591722;
21;2;20.0451850891;12.5;3;26.9446675777;2;21.9082870483;12.5;5;26.3968753815;
22;2;20.0625495911;12.5;3;27.0235302448;2;21.9190635681;12.5;5;26.4332377911;
23;2;20.0802936554;12.5;4;27.1039953232;2;21.9299716949;12.5;4;26.4700255394;
24;3;20.0983982086;12.5;3;27.1859669685;2;21.9410076141;12.5;4;26.5072168112;
25;3;19.625;13.155790329;3;27.2693405151;2;21.9521656036;12.5;4;26.5447884798;
26;3;19.625;13.1808023453;3;27.3540019989;2;21.9634361267;12.5;4;26.5827163458;
27;3;20.1546497345;12.5;3;27.4398288727;2;21.9748153687;12.5;4;26.6209751368;
28;3;18.1739616394;13.5;3;27.5266909599;2;21.9862918854;12.5;4;26.6595385075;
29;3;17.1935062408;14.5;3;27.6144506931;2;21.9978618622;12.5;4;26.6983793974;
30;3;16.2132511139;15.5;3;27.7029643059;2;20.009513855;13.5;4;26.7374696732;
31;3;15.2331666946;16.5;3;27.7920820713;2;19.0212402344;14.5;4;26.7767804861;
32;3;14.6282186508;17.5;3;27.8816497326;2;18.033033371;15.5;4;26.8162822723;
33;3;14.6483707428;18.5;3;27.9715096951;2;17.044883728;16.5;4;26.8559447527;
34;3;14.668589592;19.5;3;28.061501503;2;16.0567836761;17.5;5;26.8957372904;
35;3;14.6888380051;20.5;4;28.151463747;2;15.0687217712;18.5;5;26.9356285334;
36;3;14.7090797424;21.5;4;28.2412343025;2;14.5806884766;19.5;5;26.9755871296;
37;3;14.7292776108;22.5;4;28.3306524754;2;14.5926761627;20.5;6;27.015581131;
38;3;14.7493972778;23.5;6;28.4195592403;2;14.6046743393;21.5;6;27.0555787086;
