Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;9.0;10.0;5;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;10.0;5;20.0;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;10.0;10.0;5;20.0;
6;1;9.27600002289;11.2650718689;5;23.086605072;1;11.0;10.0;5;20.0;
7;1;10.194486618;11.543302536;5;23.5283432007;1;11.0;10.0;5;20.3999996185;
8;1;10.2938766479;11.7641716003;5;24.1098823547;1;11.1199998856;10.1999998093;5;20.7264003754;
9;1;10.4247236252;12.0549411774;5;24.5655879974;1;11.2179203033;10.3632001877;3;20.9903717041;
10;1;10.5272569656;12.2827939987;5;24.9179592133;1;11.2971115112;10.4951858521;3;22.0419120789;
11;1;10.6065406799;12.4589796066;6;25.0;1;11.6125736237;11.0209560394;3;22.9143505096;
12;1;12.5272569656;12.5;6;25.0;2;12.1743059158;11.4571752548;2;24.6214065552;
13;1;13.5272569656;12.5;6;25.0;2;14.9125738144;11.8107032776;3;25.3132637739;
14;1;14.5272569656;12.5;6;25.0;2;16.9125728607;12.0916318893;3;25.8980411291;
15;1;15.5272569656;12.5;6;25.0;2;17.9952030182;12.3113050461;3;26.3994836807;
16;1;16.527256012;12.5;6;25.0;2;19.0438919067;12.4808797836;3;26.6183350086;
17;1;17.527256012;12.5;6;25.0;2;20.0980739594;12.5;3;26.8187118769;
18;1;17.625;12.5;6;25.0;2;21.1581878662;12.5;3;27.0402543545;
19;1;17.625;12.5;7;25.0;2;22.1120758057;12.5;4;27.2842636108;
20;1;17.625;12.5;8;25.0;2;22.1852798462;12.5;5;27.5518820286;
21;1;17.625;12.5;8;25.0;2;22.2655639648;12.5;5;27.8440244198;
22;1;17.625;12.5;8;25.0;2;22.3532066345;12.5;5;28.1613030434;
23;1;17.625;12.5;8;25.0;2;22.4483909607;12.5;5;28.5039470196;
24;1;17.625;12.5;9;25.0;2;22.5511837006;12.5;5;28.871723175;
25;1;17.625;12.5;10;25.0;2;22.6615161896;12.5;5;29.263862133;
26;2;17.625;12.5;9;25.0;3;22.7791595459;12.5;4;29.6789975166;
27;2;17.625;12.5;9;25.0;3;22.9036998749;12.5;4;30.1151270866;
28;2;17.625;12.5;9;25.0;3;23.034538269;12.5;4;30.5695996284;
29;2;17.625;12.5;9;25.0;3;23.170879364;12.5;5;31.0391392708;
30;3;17.625;12.5;8;34.6054973602;3;23.3117408752;12.5;5;31.5199065208;
31;3;18.625;13.5;9;35.0276107788;3;21.5;13.5;5;32.007601738;
32;3;19.625;14.5;9;35.4259462357;3;22.5;12.5;5;32.4976010323;
33;3;19.625;15.5;9;35.7985754013;3;21.5;13.5;5;32.9851250648;
34;3;19.625;16.5;9;36.1442832947;3;20.8955383301;14.5;5;33.465420723;
35;3;19.625;17.5;10;36.4625320435;3;20.0396270752;15.5;5;33.9339466095;
36;4;20.625;18.7312660217;10;37.7533903122;3;19.0396270752;14.5;6;35.3865451813;
37;4;21.625;18.8766956329;10;38.0374426842;3;19.0396270752;14.5;6;35.8495895863;
38;4;21.625;18.5087203979;11;38.2958912849;3;20.0396270752;15.5;6;36.2906801701;
39;4;21.625;19.1479454041;11;38.5300537348;3;19.569026947;16.5;6;36.7075202465;
40;4;21.625;18.7347354889;11;38.7414711714;3;19.1847267151;17.5;7;37.0985348225;
