Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
130;6;16.0;64.0;36;46.0;7;29.3999996185;68.3819961548;31;68.0340931416;
131;6;16.0;65.0;36;46.0;7;28.3999996185;69.3819961548;31;69.087831974;
132;6;16.0;66.0;36;46.0;7;28.3999996185;70.9489974976;32;70.1695282459;
133;6;16.0;67.0;38;46.0;7;29.3999996185;69.501083374;33;71.2724924088;
134;6;16.0;68.0;38;46.0;7;28.3999996185;71.0317840576;33;72.3898420334;
135;6;16.0;69.0;38;46.0;7;28.3999996185;72.5355529785;33;74.514518261;
136;6;16.0;70.0;39;46.0;7;30.3999996185;72.0079498291;34;75.6992464066;
137;6;16.0;71.0;39;46.0;7;30.3999996185;74.44581604;34;76.8794355392;
138;6;17.0;69.0;39;46.0;7;30.3999996185;76.8472366333;35;78.0472806692;
139;6;16.0;70.0;40;46.0;7;31.3999996185;76.2115097046;36;79.1946792603;
140;6;16.0;71.0;40;46.0;7;31.3999996185;76.2115097046;36;80.313367486;
141;6;17.0;69.0;40;46.0;7;30.3999996185;78.2115097046;36;81.3951653242;
142;6;16.0;70.0;40;46.0;8;31.3999996185;77.2115097046;34;82.432320118;
143;6;16.0;71.0;42;46.0;8;30.3999996185;79.2115097046;34;83.4178954363;
144;6;17.0;69.0;42;46.0;8;31.3999996185;78.2115097046;35;84.3461506367;
145;6;16.0;70.0;42;46.0;8;31.3999996185;77.2115097046;36;85.1553744078;
146;6;16.0;71.0;43;46.0;8;30.3999996185;79.2115097046;36;85.816057086;
147;6;17.0;69.0;43;46.0;8;31.3999996185;78.2115097046;36;86.4320645332;
148;6;16.0;70.0;43;46.0;8;31.3999996185;77.2115097046;37;87.0016582012;
149;6;16.0;71.0;44;46.0;8;30.3999996185;79.2115097046;37;88.5247600079;
150;6;17.0;69.0;44;46.0;8;30.3999996185;80.2115097046;38;89.1526707411;
151;6;16.0;70.0;45;46.0;8;30.3999996185;81.2115097046;39;89.7585220337;
152;6;16.0;71.0;45;46.0;8;28.3999996185;85.2115097046;39;90.3477305174;
153;6;17.0;69.0;39;46.0;8;28.3999996185;86.2115097046;35;90.9262337685;
154;6;16.0;70.0;37;46.0;8;27.3999996185;87.2115097046;30;91.5001865625;
155;6;16.0;71.0;40;46.0;9;25.3999996185;90.2115097046;30;92.0426969528;
