Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;9.0;10.0;5;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;10.0;4;20.0;
5;2;8.27600002289;11.1199998856;4;23.5301437378;1;10.0;10.0;4;20.0;
6;2;9.50100040436;11.2650718689;4;24.1266050339;1;11.0;10.0;4;20.0;
7;2;10.428486824;11.543302536;4;24.6095271111;1;11.0;10.0;4;20.3999996185;
8;2;10.5371427536;11.7641716003;4;25.2442476749;1;11.1199998856;10.1999998093;4;20.7264003754;
9;2;10.6799554825;12.0549411774;4;25.7551473379;1;11.2179203033;10.3632001877;4;20.9903717041;
10;2;10.7949075699;12.2827939987;4;26.1647416353;1;11.2971115112;10.4951858521;4;22.0419120789;
11;2;10.8870668411;12.4589796066;5;26.3060446978;1;11.6125736237;11.0209560394;4;22.9143505096;
12;2;13.8077831268;12.5;5;26.3673498631;1;11.8743057251;11.4571752548;4;23.6214065552;
13;2;15.8077831268;12.5;4;26.4306943417;1;13.6125736237;11.8107032776;5;24.1832637787;
14;2;16.8491630554;12.5;4;26.4960671663;1;14.6125736237;12.0916318893;5;24.6226100922;
15;2;17.8638725281;12.5;3;26.5634490252;1;15.6125736237;12.3113050461;5;24.9617595673;
16;2;18.879032135;12.5;3;26.6328122616;1;16.6125736237;12.4808797836;5;25.0;
17;2;19.8946380615;12.5;3;26.7041202784;2;18.6125736237;12.5;3;26.0;
18;2;20.0084266663;12.5;3;26.7773271799;2;20.6125736237;12.5;3;26.0299999714;
19;2;20.0248985291;12.5;3;26.8523778915;2;21.8090000153;12.5;3;26.0605909824;
20;2;20.0417842865;12.5;5;26.9292075634;2;21.8181762695;12.5;3;26.091766119;
21;2;20.0590724945;12.5;5;27.0077416897;2;21.8275299072;12.5;5;26.1235172749;
22;2;20.0767421722;12.5;6;27.0878958702;2;21.8370552063;12.5;5;26.1558350325;
23;2;20.0947761536;12.5;6;27.1695766449;2;21.8467502594;12.5;5;26.1887089014;
24;2;20.113155365;12.5;7;27.2526805401;2;21.8566131592;12.5;5;26.2221269608;
25;3;20.1318531036;12.5;6;27.3370957375;2;21.8666381836;12.5;6;26.2560760975;
26;3;19.625;12.5;7;27.4227013588;2;21.8768234253;12.5;7;26.2905418873;
27;3;20.1701087952;12.5;7;27.5093686581;2;21.8871631622;12.5;7;26.3255085945;
28;3;20.1896076202;12.5;7;27.5969614983;2;21.8976516724;12.5;7;26.3609591722;
29;3;19.625;13.5;7;27.6853370667;2;21.9082870483;12.5;7;26.3968753815;
30;3;20.2292003632;12.5;7;27.7743468285;3;19.9190635681;13.5;7;30.6832377911;
31;3;19.625;13.5;7;27.863837719;3;19.9299716949;14.5;7;30.8475255966;
32;3;19.625;13.9319190979;7;27.9536523819;3;19.9410076141;15.5;7;31.0104607344;
33;3;19.625;13.9768257141;7;28.0436308384;3;19.9521656036;16.5;5;31.1717253923;
34;3;19.625;14.0218153;7;29.1336119175;3;19.5;17.5;5;31.3310207129;
35;3;20.625;14.5668058395;7;29.3534334898;3;18.6367378235;18.5;5;31.4880677462;
36;3;20.3502731323;13.5;7;29.5883651972;3;18.1901912689;19.5;5;31.6426093578;
37;3;20.3704109192;14.5;7;29.8396790028;3;18.2423820496;20.5;6;31.7944129705;
38;3;20.3904399872;15.5;7;30.1086742878;3;18.293214798;21.5;6;31.9432702065;
