Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;9.0;10.0;6;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;10.0;6;20.0;
5;1;8.27600002289;10.9200000763;4;22.5301437378;1;10.0;10.0;6;20.0;
6;1;9.27600002289;11.2650718689;4;23.086605072;1;11.0;10.0;5;20.0;
7;1;10.194486618;11.543302536;4;23.5283432007;1;11.0;10.0;5;20.3999996185;
8;1;10.2938766479;11.7641716003;3;24.1098823547;2;11.4200000763;10.1999998093;4;21.7264003754;
9;1;10.4247236252;12.0549411774;3;24.5655879974;2;11.5179204941;10.3632001877;4;21.9903717041;
10;1;10.5272569656;12.2827939987;3;24.9179592133;2;11.597111702;10.4951858521;4;23.0819120407;
11;1;10.6065406799;12.4589796066;4;25.0;2;11.9245738983;11.0209560394;4;23.99553442;
12;1;12.5272569656;12.5;4;25.0;2;13.9245738983;11.4571752548;4;24.7449600697;
13;1;13.5272569656;12.5;4;25.0;2;15.9245738983;11.8107032776;4;25.3503712416;
14;1;14.5272569656;12.5;4;25.0;2;16.6051120758;12.0916318893;4;25.8344515562;
15;2;16.527256012;12.6999998093;3;26.0;2;16.7503356934;12.3113050461;4;26.2195074558;
16;2;18.527256012;12.5;3;26.0299999714;2;16.865852356;12.4808797836;4;26.3048160076;
17;2;19.7590065002;12.5;3;26.0605909824;2;16.5;12.5;4;26.3530313969;
18;2;19.8636322021;12.5;3;26.091766119;2;16.5;12.5;4;26.4023760557;
19;2;19.8706474304;12.5;4;26.1235172749;2;16.5;12.5;4;26.4528282881;
20;2;19.8777923584;12.5;5;26.1558350325;2;16.5;12.5;4;26.5043625832;
21;2;19.8850631714;12.5;5;26.1887089014;2;16.5;12.5;4;26.5569496155;
22;2;19.625;12.8566131592;5;26.2221269608;2;16.5;12.5;4;26.6105561256;
23;2;19.8999786377;12.5;5;26.2560760975;2;16.5;12.5;4;26.6651450396;
24;2;19.625;12.8768224716;6;26.2905418873;2;16.5;12.5;4;26.72067523;
25;2;17.625;13.8871622086;7;26.3255085945;2;16.5;12.5;4;26.7771017551;
26;2;16.625;14.897652626;7;26.3609591722;2;16.5;12.5;4;26.8343759775;
27;3;15.625;15.908288002;7;26.3968753815;2;16.5;12.5;13;26.8924454451;
28;3;14.625;16.5;7;26.4332377911;2;16.5;12.5;13;26.9512542486;
29;3;14.3224782944;17.5;7;26.4700255394;2;18.5;12.5;13;27.0107431412;
30;3;14.3307552338;18.5;7;26.5072168112;2;19.5;12.5;14;27.0708494186;
31;4;14.3391237259;19.5;4;46.5447884798;2;20.5;12.5;14;27.1315076351;
32;4;15.0;20.5;4;47.7827171087;2;21.5;12.5;15;27.1926498413;
33;4;16.0;22.2913589478;4;48.8385750055;2;21.5;12.5;15;27.2542052269;
34;4;17.0;23.3104877472;4;49.7174971104;2;21.5;12.5;15;27.3161010742;
35;4;18.0;24.3297691345;5;50.4347132444;2;21.5;12.5;15;27.3782629967;
36;4;19.0;25.3491897583;5;51.0111150742;2;21.5;12.5;15;27.4406147003;
37;4;21.0;23.3687343597;5;51.4694741964;2;21.5;12.5;15;27.5030794144;
38;4;21.0;24.3883895874;6;51.8162822723;2;21.5;12.5;15;27.5655794144;
39;4;22.0;25.4081420898;6;51.8559447527;2;21.5;12.5;15;27.628036499;
40;4;24.0;23.4279727936;6;51.8957372904;2;21.5;12.5;15;27.690372467;
