Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;6;21.0;1;9.0;10.0;5;20.0;
4;1;8.14999961853;10.5;6;21.8400001526;1;9.0;10.0;5;20.0;
5;1;8.27600002289;10.9200000763;6;22.5301437378;1;10.0;10.0;5;20.0;
6;2;9.27600002289;11.4650716782;5;24.086605072;1;11.0;10.0;5;20.0;
7;2;10.4194869995;11.543302536;5;24.6083432436;1;11.0;10.0;5;20.3999996185;
8;2;10.5368766785;11.7641716003;5;25.2862184048;1;11.1199998856;10.1999998093;5;20.7264003754;
9;2;10.6893997192;12.0549411774;5;25.8457199335;1;11.2179203033;10.3632001877;5;20.9903717041;
10;2;10.8152866364;12.2827939987;5;26.3097169399;1;11.2971115112;10.4951858521;5;22.0419120789;
11;2;10.9196863174;12.4589796066;5;26.5115636587;1;11.6125736237;11.0209560394;4;22.9143505096;
12;2;12.9196863174;12.5;5;26.6398718357;2;12.1743059158;11.4571752548;3;24.6214065552;
13;2;14.9196863174;12.5;5;26.7769671679;2;14.9125738144;11.8107032776;4;25.2732638121;
14;2;16.0063591003;12.5;5;26.9230877161;2;16.9125728607;12.0916318893;4;25.8097290993;
15;2;17.0392360687;12.5;5;27.0784137249;2;17.9687099457;12.3113050461;4;26.2534979582;
16;2;18.0741844177;12.5;5;27.2430570126;2;18.6125736237;12.4808797836;4;26.4042263031;
17;2;19.1112289429;12.5;5;27.4170496464;2;19.6125736237;12.5;4;26.5249304771;
18;2;20.1503772736;12.5;5;27.6003332138;2;20.6125736237;12.5;4;26.6541694403;
19;2;20.2100753784;12.5;5;27.7927491665;2;21.5;12.5;4;26.7922235727;
20;2;20.2533683777;12.5;7;27.9940295219;2;21.5;12.5;4;26.9393253326;
21;2;20.2986564636;12.5;7;28.2037904263;2;21.5;12.5;6;27.0956480503;
22;2;20.3458518982;12.5;8;28.4215266705;2;21.5;12.5;6;27.261295557;
23;2;20.3948440552;12.5;7;28.6466109753;2;21.5;12.5;6;27.4362905025;
24;2;20.4454879761;12.5;7;28.8782944679;3;21.5;12.5;5;27.6205644608;
25;2;20.4976158142;12.5;7;29.1157121658;3;21.5;12.5;5;27.8139474392;
26;2;20.5510349274;12.5;7;29.3578925133;3;21.5;12.5;7;28.016159296;
27;2;20.6055259705;12.5;7;29.6037693024;3;21.5;12.5;7;28.2268030643;
28;3;20.6608486176;12.5;6;29.8521990776;3;21.5;12.5;7;28.445360899;
29;3;20.7167453766;12.5;6;30.1019806862;3;21.5;12.5;7;28.6711919308;
30;3;19.625;13.5;6;30.3518767357;3;19.5;13.5;7;28.9035346508;
31;3;19.625;14.5;6;30.6006383896;3;18.5;14.5;7;29.141512394;
32;3;18.625;13.5;6;30.8470306396;3;17.5;15.5;7;30.3841423988;
33;3;18.625;13.5;6;31.0898561478;3;17.5;16.5;8;30.6703495979;
34;3;17.625;13.5;6;31.3279781342;3;17.5;17.5;8;30.9601669312;
35;3;17.0487957001;14.5;5;31.5603427887;3;16.5;18.5;8;31.2523901463;
36;3;16.1010780334;15.5;5;31.7859959602;3;16.0;19.5;8;31.5457781553;
37;3;15.526848793;16.5;6;32.0040979385;3;16.0;20.5;8;31.8390783072;
38;3;15.5759220123;17.5;5;32.2139339447;3;16.0;21.5;8;32.1310503483;
39;3;15.623134613;18.5;5;32.4149188995;3;16.0;22.5;9;32.4204919338;
40;3;15.0;17.5;6;32.6066007614;3;16.0;23.5;10;32.7062599659;
