Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;5;20.0;1;8.0;10.0;4;20.0;
5;1;8.0;10.0;5;20.0;1;8.0;10.0;4;20.0;
6;1;9.0;10.0;5;20.0;1;9.0;10.0;3;20.0;
7;1;9.5;10.0;5;20.0;1;9.5;10.0;3;20.0;
8;1;9.5;10.0;5;20.3999996185;1;9.5;10.0;3;20.3999996185;
9;1;9.59000015259;10.1999998093;5;20.7264003754;2;9.59000015259;10.3999996185;2;21.7264003754;
10;1;9.66343975067;10.3632001877;5;20.9903717041;2;9.88844013214;10.3632001877;2;22.0903717279;
11;1;9.72283363342;10.4951858521;5;22.0419120789;2;9.97033405304;10.4951858521;2;23.2838120461;
12;2;9.95943069458;11.3209562302;4;23.9143505096;2;10.238858223;11.0209560394;3;24.3146933317;
13;2;11.9478340149;11.4571752548;4;24.661406517;2;12.0379104614;11.4571752548;3;25.1981878281;
14;2;13.9478340149;11.8107032776;3;25.2644476891;2;14.0379104614;11.8107032776;3;25.9559320211;
15;2;15.9478340149;12.0916318893;3;25.7461636066;2;16.0379104614;12.0916318893;3;26.6120283604;
16;2;16.9756336212;12.3113050461;3;26.1288670301;2;17.1704521179;12.3113050461;3;27.1901185513;
17;2;17.9854335785;12.4808797836;3;26.211841464;2;18.2242145538;12.4808797836;3;27.4906733036;
18;2;18.9954986572;12.5;3;26.2577478886;2;19.2832355499;12.5;3;27.7773330212;
19;2;19.9079933167;12.5;2;26.3048160076;2;20.2499008179;12.5;4;28.0890238285;
20;2;19.9185829163;12.5;2;26.3530313969;2;20.3200302124;12.5;5;28.4260663986;
21;2;19.9294319153;12.5;2;26.4023760557;2;20.3958644867;12.5;5;28.788336277;
22;2;19.9405345917;12.5;6;26.4528282881;2;20.4773750305;12.5;5;29.1751885414;
23;3;19.9518871307;12.5;3;41.0666899681;2;20.5644168854;12.5;6;29.585392952;
24;3;20.9634819031;12.5;3;41.9111289978;2;20.6567134857;12.5;6;30.0170898438;
25;3;21.9753131866;13.5;3;42.6780629158;2;20.7538452148;12.5;7;30.4677705765;
26;3;21.9873752594;14.5;3;43.3645049334;3;20.8552474976;12.5;6;30.9342932701;
27;3;20.9996566772;13.5;4;43.9712207317;3;20.9602165222;12.5;6;31.4129357338;
