Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;2;6.0;12.1999998093;3;21.0;
2;2;7.0;13.3000001907;5;21.0;2;7.15000009537;11.0;3;21.0599999428;
3;2;8.14999961853;12.0;5;21.1200000048;2;8.15900039673;10.0;3;21.1229639053;
4;2;8.16800022125;11.0;5;21.2530560493;2;8.16844463348;10.0;3;21.1889609098;
5;2;8.18795871735;10.0;5;21.4002518654;2;8.17834377289;10.0;3;21.2580518723;
6;2;9.31505680084;10.0;5;21.5626775026;2;9.2830619812;10.0;3;21.3302885294;
7;2;9.85160255432;10.0;5;21.7414059639;2;9.7993144989;10.0;3;21.4057120085;
8;2;9.89181613922;10.0;5;22.3548774719;2;9.81628513336;10.0;3;21.8984082937;
9;2;10.0298480988;10.1999998093;5;22.9167456627;2;9.92714214325;10.1999998093;3;22.3222295046;
10;2;10.1562671661;10.3632001877;5;23.4393892288;2;10.0225009918;10.3632001877;3;22.688400507;
11;2;10.2738628387;10.4951858521;5;24.8717758656;2;10.1048898697;10.4951858521;3;23.8809107542;
12;2;10.5961503983;11.0209560394;5;26.1735084057;2;10.3732051849;11.0209560394;3;24.9034298658;
13;2;12.4561443329;11.4571752548;4;27.3609917164;2;12.1703767776;11.4571752548;3;25.7698295116;
14;2;14.4561443329;11.8107032776;4;28.4561290741;2;14.1703767776;11.8107032776;3;26.500371933;
15;2;16.4561443329;12.0916318893;4;29.4820175171;2;16.170375824;12.0916318893;3;27.1177392006;
16;2;17.8162002563;12.3113050461;4;30.4597220421;2;17.284236908;12.3113050461;3;27.6441450119;
17;2;18.9598751068;12.4808797836;4;31.1853199005;2;18.3263702393;12.4808797836;3;27.878672123;
18;2;20.1145305634;12.5;5;31.9160957336;2;19.3705348969;12.5;5;28.0836718082;
19;2;21.1811218262;12.5;5;32.6826691628;3;20.3188266754;12.5;4;28.2969486713;
20;2;21.3535995483;12.5;5;33.475315094;3;20.3668136597;12.5;4;28.5179448128;
21;2;19.625;13.5;5;34.2825622559;3;19.625;13.5;4;28.7459800243;
22;3;19.625;14.5;4;35.0917634964;3;19.625;13.623793602;5;28.9802544117;
23;3;20.625;12.5;5;35.8898439407;3;19.625;13.6940765381;6;29.2198557854;
24;4;21.625;12.5;4;36.6641292572;3;20.5744667053;12.5;6;29.4637694359;
25;4;19.625;13.5;4;37.4031534195;3;20.6293487549;12.5;7;29.7108941078;
26;4;18.625;13.5;4;38.0973386765;3;20.6849517822;12.5;7;29.9600582123;
27;4;18.625;14.5;4;38.7394571304;3;19.625;13.5;7;30.2100424767;
28;4;17.625;13.5;4;39.3248329163;3;20.625;12.5;7;30.4596014023;
29;4;18.625;14.5;4;40.8512945175;3;19.625;13.5;7;30.7074890137;
30;4;20.625;16.2000007629;4;41.3689181805;3;19.625;14.5;7;30.952483654;
31;4;21.625;17.2350006104;4;41.8316063881;3;19.625;15.4762420654;7;31.1934113503;
32;4;20.8729438782;15.5;4;42.2427018881;3;19.625;15.5967054367;7;31.429169178;
33;4;20.625;16.3091659546;7;42.6064759493;3;19.625;15.7145843506;8;31.6587438583;
34;5;21.625;17.348361969;4;52.9277129173;3;19.625;15.829372406;8;31.8812294006;
35;5;22.625;19.3889808655;4;53.6113734245;3;18.625;14.829372406;9;32.0958390236;
36;5;22.9242591858;18.5;5;54.1665555239;3;18.2215633392;14.829372406;9;32.3019137383;
37;6;22.9382343292;19.5;4;54.578242898;3;17.2679309845;15.5;10;32.4989256859;
38;6;23.625;22.5;4;54.9645088911;3;16.625;14.5;10;32.6864795685;
39;6;23.9675559998;23.5;4;55.3253616095;4;17.625;14.5;10;32.8643078804;
40;6;23.625;26.3673591614;4;55.6613230705;4;16.625;13.5;11;33.0322656631;
41;6;23.625;27.6628170013;4;55.9733333588;5;16.4322605133;14.5;6;43.1903190613;
42;6;23.625;28.833234787;4;57.2626495361;5;15.0;16.5;7;43.7385377884;
43;6;25.0315284729;29.4279308319;4;57.6207481623;5;16.0;18.5;7;44.2514791489;
44;6;27.0485744476;31.4279308319;5;58.9663587809;5;17.0;20.5;7;44.7281169891;
45;7;29.333114624;35.4279327393;4;59.341535449;5;18.0;22.5;7;45.1681680679;
46;7;30.9156417847;39.4279327393;4;59.6054291725;5;19.0;23.863067627;7;45.572010994;
47;7;32.2429542542;43.4279289246;5;59.8507592678;5;19.5204162598;24.9186458588;7;45.9405870438;
48;7;32.2886199951;47.7279281616;6;60.1071884632;5;20.6001625061;24.9186458588;7;47.2404880524;
49;7;32.5991172791;49.0;6;60.3748774529;5;21.6721458435;27.5;8;47.545861125;
50;7;32.2560958862;50.0;7;60.6539268494;5;23.7367591858;30.5;8;47.8353161812;
51;7;32.7221336365;49.0;7;60.9443676472;5;24.086561203;33.5;8;48.1109141111;
52;8;32.2151031494;50.0;7;62.2461502552;5;23.8707523346;36.5;9;48.3747739792;
53;8;33.2632217407;50.0;8;62.6091343164;6;23.9161643982;38.5;7;48.5249304771;
54;8;34.9258041382;51.0;9;62.9850541353;6;23.9249992371;39.5;8;48.6541694403;
55;8;35.246635437;52.0;11;63.3735841513;6;24.2971878052;40.5;9;48.7922235727;
56;9;35.07396698;53.0;10;63.7742763758;6;23.9249992371;42.3961105347;9;48.9393253326;
57;9;34.4728889465;54.0;10;64.1865539551;6;23.9249992371;43.4696617126;9;49.0956480503;
58;9;34.5052032471;55.8889808655;10;65.6097079515;6;24.3965206146;43.5;10;49.261295557;
59;9;35.9382667542;56.9310302734;11;66.1328954697;7;23.9249992371;45.5;9;50.4362905025;
60;10;37.3964195251;56.9745101929;10;66.6722620726;7;25.9249992371;44.7181472778;9;50.6905645132;
61;10;37.4814910889;57.0;11;67.2270909548;7;26.5146255493;45.5;9;51.3480988741;
