Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;2;8.0;10.3000001907;5;21.0;2;8.0;10.1999998093;4;21.0;
6;2;9.22500038147;10.0;5;21.0900000334;2;9.22500038147;10.0;4;21.1499999762;
7;2;9.74524974823;10.0;5;21.1871190071;2;9.75874996185;10.0;4;21.320775032;
8;2;9.76710128784;10.0;5;21.7036092281;2;9.79717445374;10.0;4;21.9278619289;
9;2;9.88331222534;10.1999998093;5;22.1564130783;2;9.93376922607;10.1999998093;4;22.4906556606;
10;2;9.98519229889;10.3632001877;5;22.557236433;2;10.0603971481;10.3632001877;4;23.023424387;
11;2;10.075378418;10.4951858521;4;23.8035871983;2;10.180270195;10.4951858521;4;24.4809033871;
12;2;10.3558073044;11.0209560394;4;24.8916251659;2;10.5082035065;11.0209560394;5;25.8304331303;
13;2;12.1677207947;11.4571752548;4;25.8364036083;2;12.3789520264;11.4571752548;5;27.0939919949;
14;2;14.1677207947;11.8107032776;4;26.6592981815;2;14.3789520264;11.8107032776;5;28.2992296219;
15;2;16.1677207947;12.0916318893;4;27.3839819431;2;16.3789520264;12.0916318893;5;29.474676609;
16;2;17.3441429138;12.3113050461;4;28.0334718227;2;17.8145484924;12.3113050461;5;30.6458554268;
17;2;18.4139690399;12.4808797836;4;28.407397747;2;19.0017547607;12.4808797836;5;31.6115074158;
18;2;19.4894981384;12.5;5;28.7683298588;2;20.2104225159;12.5;5;32.6289186478;
