Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;5;20.0;1;8.0;10.0;5;20.0;
5;1;8.0;10.0;5;20.0;2;8.0;10.1999998093;4;21.0;
6;1;9.0;10.0;5;20.0;2;9.22500038147;10.0;3;21.0299999714;
7;1;9.5;10.0;5;20.0;2;9.73174953461;10.0;3;21.0605909824;
8;1;9.5;10.0;5;20.3999996185;2;9.73863315582;10.0;3;21.5023716688;
9;1;9.59000015259;10.1999998093;5;20.7264003754;2;9.83803367615;10.1999998093;3;21.8717387915;
10;1;9.66343975067;10.3632001877;5;20.9903717041;2;9.92114067078;10.3632001877;3;22.1798590422;
11;2;9.72283363342;10.7951860428;4;23.0419120789;2;9.99046802521;10.4951858521;3;23.2886198759;
12;2;10.184431076;11.0209560394;4;24.004350543;2;10.2399396896;11.0209560394;4;24.2203179598;
13;2;11.9680833817;11.4571752548;4;24.8085255623;2;12.0166759491;11.4571752548;4;24.988676548;
14;2;13.9680833817;11.8107032776;4;25.4750021696;2;14.0166759491;11.8107032776;4;25.6138757467;
15;2;15.9680833817;12.0916318893;4;26.0268363953;2;16.0166759491;12.0916318893;4;26.1185922623;
16;2;17.0387840271;12.3113050461;4;26.4866900444;2;17.0594291687;12.3113050461;4;26.5251210928;
17;2;18.0659427643;12.4808797836;4;26.6541694403;2;18.074590683;12.4808797836;4;26.6327222586;
18;2;19.0950222015;12.5;4;26.7922235727;2;19.0901966095;12.5;4;26.7040277719;
