Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;8.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;1;9.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
7;1;9.5;10.0;6;20.0;1;9.5;10.0;5;20.0;
8;2;9.5;10.5;5;21.3999996185;1;9.5;10.0;5;20.3999996185;
9;2;9.59000015259;10.1999998093;5;21.7564003468;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;9.66343975067;10.3632001877;5;22.8800184727;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;9.90937137604;10.9097137451;5;24.7173594236;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;10.3109855652;11.8021907806;4;26.281396389;2;9.95943069458;11.2209558487;5;23.9143505096;
13;2;11.909371376;12.5570135117;4;27.5648751259;2;11.9478340149;11.4571752548;5;24.7514065504;
14;2;13.909371376;13.170545578;4;28.5871223211;2;13.9478340149;11.8107032776;5;25.4586948156;
15;2;15.909371376;13.6524438858;4;29.3835122585;2;15.9478340149;12.0916318893;4;26.0603342056;
16;2;16.9093704224;14.0203924179;4;29.9954260588;2;17.0463218689;12.3113050461;4;26.5800945759;
17;2;17.9093704224;14.2950820923;4;30.4630684853;2;18.0869598389;12.4808797836;4;26.8187118769;
18;2;18.9093704224;14.4966192245;5;30.5364158154;2;19.1320438385;12.5;4;27.0402543545;
