Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;4;20.0;
4;1;8.0;11.0;6;20.0;1;8.0;10.0;4;20.0;
5;1;8.0;10.0;6;20.0;2;8.0;10.3999996185;3;21.0;
6;1;9.0;10.0;6;20.0;2;9.22500038147;10.0;3;21.0800000429;
7;1;9.5;10.0;6;20.0;2;9.74300003052;10.0;3;21.165536046;
8;1;9.5;10.0;6;20.3999996185;2;9.76224517822;10.0;3;21.6685044765;
9;1;9.59000015259;10.1999998093;5;20.7264003754;2;9.87541389465;10.1999998093;3;22.1056647301;
10;2;9.66343975067;10.6632003784;4;21.9903717041;2;9.9737739563;10.3632001877;3;22.4885387421;
11;2;9.94783401489;10.4951858521;4;23.1319121122;2;10.0599212646;10.4951858521;3;23.7273774147;
12;2;10.2046804428;11.0209560394;4;24.1014695168;2;10.3386602402;11.0209560394;4;24.8073730469;
13;2;11.9899349213;11.4571752548;3;24.9131449461;2;12.1487636566;11.4571752548;4;25.7436168194;
14;2;13.9899349213;11.8107032776;3;25.5874900818;2;14.1487636566;11.8107032776;4;26.5575456619;
15;2;15.9899349213;12.0916318893;3;26.1475405693;2;16.1487636566;12.0916318893;4;27.272919178;
16;2;17.0659427643;12.3113050461;3;26.6159290075;2;17.319152832;12.3113050461;4;27.9128706455;
17;2;18.0950222015;12.4808797836;3;26.7922235727;2;18.3868331909;12.4808797836;4;28.2771761417;
18;2;19.126083374;12.5;4;26.9393253326;2;19.4601974487;12.5;4;28.6285820007;
