Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
97;7;21.8505249023;68.1999969482;23;45.8964617252;8;23.2999992371;57.5999984741;21;95.8749042749;
98;7;22.868938446;67.1999969482;23;45.9573898315;8;23.2999992371;59.5999984741;22;95.9334968328;
99;7;23.887216568;66.1999969482;23;46.0177977085;8;23.2999992371;61.5999984741;22;95.9927875996;
100;7;24.9053382874;65.1999969482;24;46.0776164532;8;23.2999992371;63.5999984741;22;97.0527150631;
101;7;25.9232845306;64.1999969482;24;46.1367800236;8;24.2999992371;66.5999984741;23;97.1332144737;
102;7;26.941034317;63.2000007629;25;46.1952252388;8;26.0;68.5999984741;24;97.2144143581;
103;7;27.2585678101;62.2000007629;25;46.2528917789;8;27.0;70.5999984741;25;97.29623878;
104;7;25.2758674622;63.2000007629;26;46.3097233772;9;27.3999996185;72.5999984741;24;97.3786090612;
105;7;24.2929153442;64.1999969482;26;47.3656668663;9;27.3999996185;74.5999984741;26;97.4614443779;
106;7;24.3097000122;66.1999969482;24;47.4806730747;10;28.6479263306;73.5999984741;25;97.5446623564;
107;7;24.3262004852;68.1999969482;24;47.5976605415;10;29.3999996185;74.5999984741;26;97.6281785965;
108;6;21.6792964935;65.1999969482;24;40.7166572809;12;30.3999996185;75.5999984741;21;104.711908102;
109;6;21.4149971008;67.1999969482;24;40.8376865387;12;32.4000015259;77.5999984741;21;104.795764685;
110;6;21.4513053894;71.0;27;40.9607671499;12;34.4000015259;79.5999984741;22;105.879662395;
111;6;21.4882297516;72.0;29;41.0859109163;12;33.4000015259;84.5999984741;22;106.023515105;
112;6;21.5257720947;73.0;30;41.213121891;12;35.4000015259;86.5999984741;22;106.170201302;
113;6;21.5639362335;74.0;30;41.3423947096;12;36.6526679993;89.5999984741;23;106.319705486;
114;6;21.6027183533;75.0;31;41.4737136364;12;37.4000015259;91.5999984741;25;106.472005129;
115;7;21.6421127319;76.0;32;41.6070507765;13;37.9830627441;94.5999984741;25;106.627070189;
116;8;21.6821155548;77.0;31;41.7423647642;13;37.9993133545;96.5999984741;27;106.784861803;
117;8;21.7227096558;78.0;31;41.8795998096;14;37.7000007629;99.1197967529;27;106.94533217;
118;8;21.763879776;79.0;32;42.0186843872;14;37.7000007629;101.149597168;27;107.108422399;
119;8;21.1985454559;81.0;33;42.1242339611;14;37.7000007629;103.179046631;28;107.274062276;
120;8;21.2000007629;83.0;33;42.2278065681;14;37.7000007629;105.208129883;29;107.442168713;
121;8;21.2000007629;85.0;33;42.3341217041;15;37.7000007629;107.236816406;28;108.612644553;
122;8;22.2000007629;84.0;35;42.4430289268;15;41.0612640381;110.906318665;29;108.965379238;
123;8;21.2000007629;86.0;35;42.5543570518;15;43.8785362244;112.992683411;29;109.350522161;
124;8;21.2000007629;88.0;36;42.667914629;15;44.3350524902;115.080123901;30;109.772202373;
125;8;22.2000007629;87.0;36;42.7834908962;15;44.3772201538;119.069343567;30;110.234823108;
126;8;21.2000007629;89.0;37;42.9008569717;15;44.4234848022;122.106895447;31;110.742955089;
127;8;21.2000007629;91.0;38;43.0197672844;15;44.4742965698;125.143913269;32;111.301174521;
128;8;22.2000007629;90.0;38;43.1399610043;15;44.5301170349;128.180358887;33;111.913834929;
129;8;21.2000007629;92.0;39;44.1295621395;15;44.5913848877;131.216217041;34;112.584763765;
130;8;21.2600002289;94.4199981689;40;45.1436107159;15;44.6584777832;134.251495361;35;113.316885829;
131;8;22.3204803467;93.4877471924;40;46.1768639088;15;44.7316894531;137.286132812;35;114.111781716;
132;8;21.3812007904;95.1529922485;41;47.2236194611;15;44.8111801147;140.320159912;36;114.96921289;
133;8;21.4419174194;96.8260116577;42;49.2778334618;15;45.8969230652;143.469802856;38;115.886655569;
