Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;12.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;11.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;10.0;4;21.0;1;11.8999996185;8.625;5;17.25;
4;1;8.14999961853;10.5;4;21.8400001526;1;11.8999996185;8.625;6;17.25;
5;1;8.27600002289;10.9200000763;3;22.5301437378;1;12.8999996185;8.625;6;17.25;
6;1;9.27600002289;11.2650718689;3;23.086605072;1;13.8999996185;8.625;6;17.25;
7;1;10.194486618;11.543302536;3;23.5283432007;2;15.5;8.625;5;18.5949993134;
8;1;10.2938766479;11.7641716003;3;24.1098823547;2;16.156999588;8.79749965668;5;18.8861961365;
9;1;10.4247236252;12.0549411774;3;24.5655879974;2;16.3317184448;8.94309806824;5;19.6867136955;
10;1;10.5272569656;12.2827939987;3;24.9179592133;2;16.8120269775;9.3333568573;5;20.3757920265;
11;1;10.6065406799;12.4589796066;4;25.0;2;18.8120269775;9.6677980423;5;20.9596945047;
12;1;12.5272569656;12.5;4;25.0;2;20.8120269775;9.94955635071;5;21.4480694532;
13;1;13.5272569656;12.5;4;25.0;2;21.8487186432;10.1834592819;5;21.8523409367;
14;2;15.5272569656;12.6999998093;3;26.0;2;22.1114063263;10.3752222061;5;22.1844209433;
15;2;17.527256012;12.5;3;26.0299999714;2;22.3106536865;10.5308046341;5;22.3938889503;
16;2;18.7590065002;12.5;3;26.0605909824;2;22.4363327026;10.625;5;22.4151208401;
17;2;19.7658882141;12.5;4;26.091766119;2;22.4490718842;10.625;5;22.4364993572;
18;2;19.8706474304;12.5;4;26.1235172749;2;22.4618988037;10.625;5;22.4580165148;
19;2;19.8777923584;12.5;4;26.1558350325;2;22.4748096466;10.625;5;22.4796639681;
20;2;19.8850631714;12.5;4;26.1887089014;2;22.4877986908;10.625;5;22.5014331341;
21;2;19.8924598694;12.5;5;26.2221269608;2;24.5008602142;10.625;6;22.5233153105;
22;3;19.8999786377;12.5;4;26.2560760975;2;25.5139884949;10.625;6;22.5453014374;
23;3;19.907617569;12.5;5;26.2905418873;2;26.5271816254;10.625;6;22.5673824549;
24;3;19.9153709412;12.5;5;26.3255085945;2;27.540430069;10.625;6;22.5895489454;
25;3;19.9232387543;12.5;5;26.3609591722;2;27.553730011;10.625;6;22.6117914915;
26;3;19.625;12.908288002;5;26.3968753815;2;27.567073822;10.625;5;22.6341004372;
27;3;19.9392967224;12.5;5;26.4332377911;2;27.5804595947;10.625;5;22.6564661264;
28;3;19.947479248;12.5;5;26.4700255394;2;27.5938796997;10.625;5;22.678878665;
29;3;19.625;13.2350130081;5;26.5072168112;2;27.6073265076;10.625;5;22.7013280392;
30;3;19.625;13.2536087036;5;26.5447884798;2;27.6207962036;10.625;5;22.7238043547;
31;3;19.625;13.2723941803;5;26.5827163458;2;27.6342830658;10.625;5;22.7462974787;
32;3;19.9811115265;12.5;5;26.6209751368;2;27.6477775574;10.625;5;22.7687973976;
33;3;19.625;13.3104877472;5;26.6595385075;2;27.661277771;10.625;6;22.7912938595;
34;3;19.625;13.3297691345;5;26.6983793974;2;27.6747760773;10.625;7;22.8137768507;
35;3;18.0071353912;13.5;4;26.7374696732;3;27.6882667542;10.625;6;22.8362361193;
36;3;18.625;13.3687343597;5;26.7767804861;3;27.7017421722;10.625;7;22.8586617708;
37;3;19.625;13.3883905411;5;26.8162822723;3;27.7151966095;12.625;7;22.8810436726;
38;3;18.033662796;13.5;5;26.8559447527;3;27.7286262512;14.625;7;22.9033719301;
39;3;18.625;13.4279727936;5;26.8957372904;3;27.742023468;16.625;8;22.9256366491;
40;3;19.625;13.4478683472;5;26.9356285334;3;27.7553825378;18.625;8;22.9478281736;
41;3;19.625;13.4678144455;6;26.9755871296;3;27.7686958313;20.625;8;22.9699368477;
42;3;18.0695075989;13.5;6;28.015581131;3;27.781961441;20.625;8;22.9919531345;
43;3;18.0785064697;14.5;6;28.1155786514;3;27.7951717377;20.625;8;23.0138677359;
44;3;18.0875053406;15.5;7;28.2185118198;4;27.8083209991;20.625;8;23.0356714725;
45;3;19.3491649628;18.5;7;28.3244174719;4;26.75;21.5178356171;8;23.0573554039;
46;3;20.3729953766;21.5;7;28.4333250523;4;26.75;21.528678894;8;23.0789107084;
47;3;21.3974990845;23.5;6;28.5452545881;4;26.75;21.5394554138;8;23.1003289223;
48;3;22.4226818085;25.5;8;28.6602159739;4;26.75;21.550163269;8;23.1216015816;
49;3;22.4485473633;27.5;8;28.7782077789;4;26.75;21.5608005524;8;23.1427206993;
50;3;22.4750957489;27.5;9;28.8992158175;4;26.75;21.5713615417;8;24.1636784077;
51;3;22.5023231506;27.5;11;29.023211956;4;27.75;22.5818386078;8;24.2044670582;
52;3;22.5302238464;27.5;11;29.1501532793;4;28.75;23.5922336578;8;24.2452753782;
53;3;22.5587844849;27.5;11;29.279979825;5;28.75;24.6025390625;7;34.2860902548;
54;3;22.5879955292;27.5;12;29.4126152992;5;30.75;25.625;7;35.7268978357;
55;3;22.6178379059;27.5;11;29.5479650497;5;32.9474487305;28.625;7;36.1762962341;
56;3;22.6482925415;27.5;9;29.6859152317;5;34.9500007629;31.1759490967;7;36.5967253447;
57;3;22.6793308258;27.5;9;29.826333046;5;36.9500007629;33.1864051819;7;36.9918736219;
58;3;22.7109260559;27.5;10;29.9690659046;5;38.9500007629;35.1969451904;8;38.332757473;
59;3;22.7430400848;27.5;9;30.1139416695;5;41.4431266785;36.6059989929;8;39.5000193119;
60;3;22.775636673;27.5;9;30.260768652;5;42.848651886;37.613861084;8;40.5109888315;
61;3;22.2339420319;27.5;9;30.4093360901;5;43.8298072815;37.9373054504;10;41.3857421875;
62;3;22.2418193817;27.5;10;30.5594153404;5;40.8330955505;40.2093544006;12;42.1446969509;
63;3;21.625;28.5;10;30.7107608318;5;40.02684021;41.5010719299;12;42.6005058289;
64;3;21.625;28.9049530029;10;30.8631117344;6;39.0528869629;42.606918335;11;42.9914015532;
65;3;21.625;28.921672821;10;31.0161931515;6;38.0528869629;42.7329330444;12;43.3630753756;
66;3;21.625;28.9381160736;10;31.1697189808;6;37.4000015259;44.7556877136;15;43.7178410292;
67;3;21.625;27.5;8;31.3233938217;6;36.4000015259;43.8793029785;15;43.9534341097;
68;3;21.625;27.5;7;31.4769155979;6;36.4000015259;43.9767189026;15;44.1420223713;
69;3;21.625;27.5;8;31.6279573441;6;37.4000015259;45.0710105896;16;44.3272043467;
70;3;21.625;27.5;8;31.7502937317;6;37.4000015259;45.7636032104;16;45.5186549425;
71;3;21.625;27.5;8;31.8721673489;6;38.4000015259;46.8593254089;16;45.7560408115;
72;3;21.625;27.5;8;33.2081689835;6;39.4000015259;47.9580230713;17;46.0001403093;
73;3;21.8500003815;28.0;9;34.3317592144;6;39.4000015259;49.0594787598;17;46.2504767179;
74;3;22.0255012512;28.3899993896;9;35.276042223;6;39.4000015259;50.1634597778;19;46.5065006018;
75;3;22.1592674255;28.6872596741;9;36.0753829479;7;39.4000015259;51.269695282;18;46.7675930262;
76;3;22.2593841553;28.9097423553;9;36.6131780148;7;38.4000015259;49.4956474304;18;47.033072114;
77;3;22.2999992371;30.0;10;36.9715657234;7;38.4000015259;51.5068893433;19;47.3022001982;
78;3;23.0535755157;29.0;10;37.3292043209;7;37.4000015259;52.518119812;19;47.5741928816;
79;3;22.2999992371;30.0;10;37.6842191219;7;37.4000015259;53.7105789185;18;47.8482304811;
80;3;23.0782356262;29.0;11;38.034763813;7;38.4000015259;55.8229293823;16;48.1234688759;
81;3;23.0902309418;29.0;11;38.3790616989;7;37.4000015259;55.66173172;17;48.3990534544;
82;3;20.2999992371;31.0;12;38.7154486179;7;37.4000015259;55.7995300293;17;48.6741317511;
83;3;19.2999992371;31.0;12;39.0424072742;7;38.4000015259;56.9370651245;17;48.9478664398;
84;3;18.2999992371;32.0;12;39.3585972786;7;37.4000015259;56.0739326477;18;49.2194484472;
85;3;17.2999992371;34.0;13;39.6628761292;7;37.4000015259;56.2097244263;19;49.4881073236;
86;4;16.2999992371;35.8811416626;12;39.954313755;7;38.4000015259;57.3440551758;19;49.7531232834;
87;4;16.0;35.0;12;40.2321982384;7;36.4000015259;61.8271865845;19;50.0138355494;
88;4;16.0;36.0;11;40.4960312843;7;35.4000015259;64.0096893311;19;50.2696483135;
89;4;16.0;37.0;10;40.7455224991;7;34.4000015259;66.1887512207;21;50.5200365782;
90;4;16.0;38.0;10;40.9805715084;7;34.4000015259;65.3640213013;21;50.764550209;
91;4;16.0;39.0;10;41.1776952744;7;32.4000015259;67.5351867676;22;51.0028123856;
92;4;16.0;40.0;11;41.3449411392;7;31.4000015259;69.701965332;22;51.2345218658;
93;3;16.0;41.0;11;41.4996051788;9;31.4000015259;68.8641662598;20;51.4594490528;
94;3;16.0;42.0;11;41.6421365738;9;29.4000015259;71.0216064453;21;51.6774324179;
95;3;17.0;40.0;12;41.7730636597;9;28.4000015259;73.1742019653;21;51.8883740902;
96;3;16.0;41.0;11;41.8929729462;9;28.4000015259;72.3218612671;22;52.0922343731;
97;3;16.0;42.0;11;42.0;9;26.4000015259;74.4645614624;22;52.273235321;
98;3;17.0;40.0;12;42.0;9;25.4000015259;76.5912628174;22;53.2861590385;
99;3;16.0;41.0;12;42.0;9;26.0;76.3003158569;23;55.3149089813;
100;3;16.0;42.0;5;42.0;9;26.0;80.0204315186;20;56.4987286329;
