Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;12.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;2;7.0;11.1999998093;4;21.0;1;11.8999996185;8.625;5;17.25;
3;2;8.14999961853;10.0;4;22.2000000477;1;11.8999996185;8.625;5;17.25;
4;2;8.32999992371;10.5;4;23.2776001692;1;11.8999996185;8.625;6;17.25;
5;2;8.49164009094;10.9200000763;4;24.2489727736;1;12.8999996185;8.625;6;17.25;
6;2;9.6627368927;11.2650718689;4;25.1368443966;1;13.8999996185;8.625;6;17.25;
7;2;10.655790329;11.543302536;4;25.9670979977;2;15.5;8.625;5;18.5949993134;
8;2;10.8425960541;11.7641716003;4;27.025687933;2;16.156999588;8.79749965668;5;18.8861961365;
9;2;11.0807800293;12.0549411774;4;28.037851572;2;16.3317184448;8.94309806824;5;19.696713686;
10;2;11.3085165024;12.2827939987;4;29.033554554;2;16.8180274963;9.3333568573;5;20.396187067;
11;2;13.3085165024;12.4589796066;5;29.8516449928;2;18.8180274963;9.6677980423;5;20.9908788204;
12;2;15.3085165024;12.5;5;30.6836223602;2;20.8180274963;9.94955635071;5;21.4904358387;
13;2;16.8060722351;12.5;5;31.6109838486;2;21.8741378784;10.1834592819;5;21.9062794447;
14;2;18.0147285461;12.5;5;32.6283493042;2;22.1437683105;10.3752222061;5;22.2503181696;
15;2;19.2436351776;12.5;5;33.7246694565;2;22.3501930237;10.5308046341;5;22.4721269608;
16;2;20.4903068542;12.5;5;34.8828983307;2;22.4832763672;10.625;5;22.5060760975;
17;2;21.7509078979;12.5;5;36.0804195404;2;22.5036449432;10.625;5;22.5405418873;
