Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;12.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;11.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;10.0;5;21.0;1;11.8999996185;8.625;5;17.25;
4;2;8.14999961853;10.6999998093;4;22.8400001526;1;11.8999996185;8.625;5;17.25;
5;2;8.42599964142;10.9200000763;3;23.6501437426;1;12.8999996185;8.625;5;17.25;
6;2;9.52799987793;11.2650718689;3;24.3396611214;1;13.8999996185;8.625;5;17.25;
7;2;10.4764242172;11.543302536;3;24.9285950661;1;14.8999996185;8.625;5;17.5949993134;
8;2;10.6089334488;11.7641716003;3;25.6865624189;1;15.5569992065;8.79749965668;5;17.8861961365;
9;2;10.7794761658;12.0549411774;3;26.3381440639;2;16.3317184448;8.94309806824;4;19.6667137146;
10;2;10.9260816574;12.2827939987;3;26.907253623;2;16.8000278473;9.3333568573;4;20.365596056;
11;2;11.0541315079;12.4589796066;4;27.2282226086;2;18.8000278473;9.6677980423;4;20.9597036839;
12;2;13.9748477936;12.5;4;27.4905240536;2;20.8000278473;9.94955635071;4;21.4586846828;
13;2;15.9748477936;12.5;4;27.7771704197;2;21.8550872803;10.1834592819;4;21.8739616871;
14;2;17.1521205902;12.5;4;28.0888476372;2;22.8741378784;10.3752222061;4;22.2174443007;
15;2;18.2222480774;12.5;4;28.4258766174;2;23.8935279846;10.5308046341;5;22.4387089014;
16;2;19.298078537;12.5;4;28.7881331444;2;24.9132537842;10.625;5;22.4721269608;
17;2;20.3795852661;12.5;4;29.1749720573;2;25.933303833;10.625;5;22.5060760975;
18;2;20.5643692017;12.5;5;29.5851640701;2;26.9536724091;10.625;5;22.5405418873;
19;2;20.6566619873;12.5;6;30.0168495178;2;27.5243244171;10.625;5;22.5755085945;
20;2;20.7537918091;12.5;7;30.4675207138;2;27.5453052521;10.625;5;22.6109591722;
21;2;20.8551921844;12.5;7;30.934035778;2;27.566576004;10.625;5;22.6468753815;
22;3;20.9601573944;12.5;6;31.4126729965;2;27.5881252289;10.625;6;22.6832377911;
23;3;21.0678520203;12.5;6;31.8992233276;2;27.6099433899;10.625;6;22.7200255394;
24;3;21.1773262024;12.5;6;32.3891215324;2;27.6320152283;10.625;6;22.7572168112;
25;3;19.2875518799;13.5;6;32.8776073456;2;27.6543292999;10.625;6;22.7947884798;
26;3;16.625;15.5;6;33.3599052429;2;27.6768722534;10.625;6;22.8327163458;
27;3;16.625;15.5;6;33.8314113617;2;27.6996307373;10.625;6;22.8709751368;
28;3;16.6120681763;16.5;6;34.2878704071;2;27.7225856781;10.625;6;22.9095385075;
29;3;16.0897712708;17.5;6;34.7255268097;2;27.7457237244;10.625;6;22.9483793974;
30;3;16.188243866;18.5;6;35.1412420273;2;27.76902771;10.625;6;22.9874696732;
31;3;16.2817802429;19.5;6;35.5325679779;2;27.7924823761;10.625;7;23.0267804861;
32;3;16.3698272705;20.5;7;35.8977775574;2;27.8160686493;10.625;7;23.0662822723;
33;3;16.4519996643;21.5;7;36.2358512878;2;27.8397693634;10.625;7;23.1059447527;
34;3;16.5280666351;22.5;7;36.5464267731;2;27.8635673523;10.625;7;23.1457372904;
35;3;16.597946167;23.5;7;36.8297271729;2;27.8874416351;12.625;7;23.1856285334;
36;4;17.6616897583;25.0;6;38.0864648819;2;27.9113769531;14.625;7;23.2255871296;
37;4;17.6616897583;24.0;6;38.3577432632;3;27.9353523254;16.625;6;23.265581131;
38;4;17.6616897583;24.0200004578;7;39.6061434746;3;26.75;18.625;6;23.3055787086;
39;4;17.0;26.5405921936;7;39.8632616997;3;27.75;20.625;6;23.3455479145;
40;4;19.0;25.5767765045;7;40.1013985872;3;28.0073280334;20.625;6;23.385456562;
41;4;18.0;27.6138496399;8;40.303607583;3;28.0312728882;20.625;7;23.42527318;
42;5;18.0;29.6518039703;7;40.3812651634;4;29.0551643372;21.625;5;24.4649660587;
43;5;19.0;28.6906318665;8;40.4606510401;4;28.75;22.625;5;24.5445039272;
44;5;18.0;30.7303256989;9;40.5417402983;4;30.3740005493;23.625;5;24.6250400543;
45;5;18.0;32.2708702087;10;40.6245030165;4;30.7750244141;24.625;5;24.7065460682;
46;5;20.2749786377;30.7708702087;10;40.7089043856;4;30.8239269257;25.625;5;24.7889910936;
47;5;22.6095046997;31.7708702087;10;40.7949044704;4;30.8733940125;25.625;4;24.8723422289;
48;5;24.5538520813;32.7708702087;10;40.88245821;4;30.9234046936;25.625;3;25.9565634727;
49;5;25.573551178;33.7708702087;11;40.9715152979;4;31.9739379883;26.625;4;26.0816171169;
50;5;26.2873744965;34.0943527222;10;41.062020421;4;33.0249710083;27.625;4;26.2086467743;
51;5;27.2389526367;32.5;10;41.1539130211;4;33.0764770508;28.625;5;26.3376108408;
52;5;26.5499992371;34.0769577026;11;41.2471272945;5;33.1284332275;29.625;4;26.4684622288;
53;5;26.949848175;33.2350120544;12;41.3415927887;5;33.1808128357;30.625;4;26.6011482477;
54;5;26.8891220093;33.4171867371;12;41.4372339249;5;33.2335853577;31.2309207916;4;26.7356102467;
55;6;26.9757995605;33.2723922729;12;41.5339705944;5;33.2867164612;31.2538738251;6;26.8717837334;
56;7;27.9061107635;34.4756278992;11;42.6317182779;5;33.3401794434;31.2774085999;6;27.9174556732;
57;7;28.5499992371;36.3158607483;12;42.8603879213;5;33.922996521;31.7130012512;7;28.8249205351;
58;8;29.3893356323;35.5;10;43.1053180695;5;34.4209632874;32.077293396;8;29.611320138;
59;8;28.5499992371;36.5;9;43.3678436279;5;34.8443527222;32.3789291382;9;30.2957556248;
60;8;29.043346405;38.3687362671;8;43.6493207216;5;35.2046279907;32.6275291443;9;30.8970323801;
61;8;28.5499992371;40.3883895874;8;43.9510952234;5;35.5130691528;32.8325881958;9;31.2257084846;
62;8;28.9586620331;39.9311485291;9;45.2744621038;5;35.6560325623;32.8994979858;9;31.5175933838;
63;8;29.5499992371;42.0452804565;8;45.7506155968;5;35.7750244141;32.9462776184;9;31.8157558441;
64;9;31.0991382599;42.0468521118;7;71.2660210133;5;35.8959236145;32.9946098328;10;32.1198072433;
65;9;30.5499992371;47.2541313171;7;73.3029155731;5;30.4000015259;36.0444488525;11;32.429308176;
66;9;31.9945068359;50.7736091614;7;75.1045048237;5;31.4000015259;36.2146530151;11;32.7437696457;
67;9;31.5499992371;56.0269317627;7;76.696613431;5;29.4000015259;37.3718833923;12;33.0626533031;
68;9;31.8027992249;60.3257408142;8;78.1179808378;5;30.4000015259;36.5313262939;13;33.3853754997;
69;9;32.1875991821;64.0624084473;9;81.8639653921;6;32.4000015259;37.6926879883;15;34.7113091946;
70;9;33.7758598328;62.9736175537;12;85.08895123;6;31.4000015259;38.541557312;15;35.0147892237;
71;10;33.0127487183;64.0403747559;11;87.8873643875;6;32.4000015259;39.6483459473;15;35.3226160407;
72;10;34.0127487183;64.6556472778;11;90.3571890593;7;33.4000015259;41.1850585938;14;35.6338129044;
73;10;36.0;65.1861724854;12;92.2284542322;7;31.4000015259;43.3507843018;16;35.9474062324;
74;10;36.3463134766;63.9678649902;13;93.7901961803;8;32.4000015259;42.5166893005;15;36.2624308467;
75;11;37.0;64.4936599731;12;95.3783448935;8;33.4000015259;41.0729370117;15;36.5779348612;
76;11;35.5999984741;67.0294113159;13;96.8751466274;8;31.4000015259;43.1772193909;17;36.8929857612;
77;12;36.5999984741;70.5696105957;13;99.3591070175;8;32.4000015259;43.0117073059;17;37.2066761851;
78;13;37.5999984741;74.1084136963;12;100.902783155;8;33.4000015259;43.1745300293;17;37.5181307793;
79;13;38.5999984741;78.4559020996;12;102.45349431;8;31.4000015259;44.3356361389;16;37.8265106678;
80;13;39.5999984741;81.8832855225;14;103.997022629;8;32.4000015259;41.5797386169;17;39.1310213804;
81;14;40.5999984741;86.2933807373;13;105.519362092;8;34.4000015259;40.650177002;16;39.4509160519;
82;14;40.9749984741;89.6819915771;12;107.007267833;8;34.4000015259;40.4895706177;15;39.7656974792;
83;14;40.9749984741;93.0457992554;13;108.448765993;8;34.4000015259;41.4895706177;18;40.0595071316;
84;14;41.5415077209;97.382484436;13;109.833571434;8;35.4000015259;43.4895706177;17;40.3177318573;
85;14;40.5669021606;99.6906967163;13;111.153390646;8;34.4000015259;43.4895706177;17;40.570689261;
86;16;39.9749984741;103.97000885;11;113.503988147;7;32.4000015259;38.4895706177;17;39.6950938702;
87;16;43.2440414429;104.970016479;11;114.69854784;7;33.4000015259;39.4895706177;17;39.915076673;
88;16;43.5999984741;110.970016479;11;116.816372871;7;32.4000015259;38.4895706177;18;40.1283958554;
89;16;46.2976455688;115.970016479;14;117.917514086;7;32.4000015259;39.4895706177;18;40.3347665071;
90;16;49.3248519897;118.970016479;15;118.94660759;7;33.4000015259;41.4895706177;19;40.5339618325;
91;16;51.6688804626;127.970016479;17;119.90669024;7;32.4000015259;41.4895706177;19;40.725812614;
92;16;52.5906715393;135.702789307;18;121.723235488;7;30.4000015259;44.4895706177;20;40.9102022052;
93;16;55.1899299622;141.068099976;19;122.458949685;7;29.4000015259;44.4895706177;20;41.0870650411;
94;16;56.7418937683;143.336837769;20;123.160277009;8;28.4000015259;45.4895706177;19;41.2563822269;
95;16;56.9160232544;145.495178223;21;123.829754233;8;27.4000015259;46.4895706177;20;41.4181779027;
96;16;56.7737503052;147.796356201;23;124.470064878;8;27.4000015259;45.4895706177;20;41.5725150704;
97;17;57.0470085144;149.991271973;22;125.025286436;8;25.4000015259;47.4895706177;20;41.700161159;
98;17;57.0919151306;152.050460815;22;125.473486423;8;24.4000015259;49.4895706177;20;41.7735197544;
99;17;57.1473464966;153.263031006;26;125.920464158;8;24.4000015259;48.4895706177;21;41.8436875343;
100;17;57.1920471191;154.375762939;26;126.33332932;8;22.4000015259;50.4895706177;21;44.1586509347;
