Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;12.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;2;7.0;11.1999998093;4;21.0;1;11.8999996185;8.625;5;17.25;
3;2;8.14999961853;10.0;4;22.1200000048;1;11.8999996185;8.625;5;17.25;
4;2;8.31799983978;10.5;4;23.0930562019;1;11.8999996185;8.625;6;17.25;
5;2;8.46395874023;10.9200000763;4;23.9303956032;1;12.8999996185;8.625;6;17.25;
6;2;9.59105682373;11.2650718689;4;24.6492825747;1;13.8999996185;8.625;6;17.25;
7;2;10.5460891724;11.543302536;4;25.2697491646;1;14.8999996185;8.625;6;17.5949993134;
8;2;10.6856927872;11.7641716003;4;26.0647602081;2;16.156999588;8.79749965668;5;18.8861961365;
9;2;10.8645715714;12.0549411774;4;26.7559332848;2;16.3317184448;8.94309806824;5;19.696713686;
10;2;11.0200843811;12.2827939987;4;27.366976738;2;16.8180274963;9.3333568573;5;20.396187067;
11;2;11.1575698853;12.4589796066;5;27.7319030762;2;18.8180274963;9.6677980423;5;20.9908788204;
12;2;14.078286171;12.5;5;28.0397365093;2;20.8180274963;9.94955635071;5;21.4904358387;
13;2;16.0782852173;12.5;5;28.3728995323;2;21.8741378784;10.1834592819;5;21.9062794447;
14;2;17.2861595154;12.5;5;28.7313408852;2;22.1437683105;10.3752222061;5;22.2503181696;
15;2;18.3668079376;12.5;5;29.1144995689;2;22.3501930237;10.5308046341;5;22.4721269608;
16;2;19.4530181885;12.5;4;29.521238327;2;22.4832763672;10.625;5;22.5060760975;
17;2;20.5445346832;12.5;4;29.949795723;2;22.5036449432;10.625;5;22.5405418873;
