Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;12.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;11.0;5;20.0;1;11.8999996185;8.625;4;17.25;
3;1;8.0;10.0;6;21.0;1;11.8999996185;8.625;4;17.25;
4;1;8.14999961853;10.5;6;21.8400001526;1;11.8999996185;8.625;4;17.25;
5;1;8.27600002289;10.9200000763;6;22.5301437378;1;12.8999996185;8.625;4;17.25;
6;1;9.27600002289;11.2650718689;6;23.086605072;1;13.8999996185;8.625;4;17.25;
7;2;10.194486618;11.7433023453;5;24.5283432007;1;14.8999996185;8.625;4;17.5949993134;
8;2;10.5188770294;11.7641716003;5;25.1498823166;1;15.5569992065;8.79749965668;4;17.8861961365;
9;2;10.6587238312;12.0549411774;5;25.6467719078;1;15.7317180634;8.94309806824;4;18.6667137146;
10;2;10.7705230713;12.2827939987;5;26.0415127277;1;16.2000274658;9.3333568573;4;19.3355960846;
11;2;10.8593406677;12.4589796066;5;26.1671074629;1;17.2000274658;9.6677980423;3;19.8991127014;
12;2;12.8593406677;12.5;5;26.211841464;1;18.2000274658;9.94955635071;3;20.3669185638;
13;2;14.8593406677;12.5;5;26.2577478886;1;19.2000274658;10.1834592819;3;20.7504444122;
14;2;15.8895339966;12.5;5;26.3048160076;1;20.2000274658;10.3752222061;3;21.0616092682;
15;2;16.9001235962;12.5;5;26.3530313969;1;21.2000274658;10.5308046341;4;21.25;
16;2;17.9109725952;12.5;5;26.4023760557;1;22.2000274658;10.625;4;21.25;
17;2;18.9220752716;12.5;5;26.4528282881;1;23.2000274658;10.625;4;21.25;
18;2;19.9334278107;12.5;6;26.5043625832;1;24.2000274658;10.625;5;21.25;
19;2;19.9634819031;12.5;5;26.5569496155;1;24.75;10.625;6;21.25;
20;2;19.9753131866;12.5;5;26.6105561256;1;24.75;10.625;7;21.25;
21;2;19.9873752594;12.5;5;26.6651450396;1;24.75;10.625;7;21.25;
22;2;19.9996566772;12.5;5;26.72067523;1;24.75;10.625;7;21.25;
23;2;20.0121517181;12.5;5;26.7771017551;1;24.75;10.625;7;21.25;
24;2;20.024848938;12.5;6;26.8343759775;1;24.75;10.625;7;21.25;
25;2;20.0377349854;12.5;7;26.8924454451;1;24.75;10.625;7;21.25;
26;2;20.0508003235;12.5;7;26.9512542486;1;24.75;10.625;7;21.25;
27;2;19.625;13.4756269455;7;27.0107431412;1;24.75;10.625;7;21.25;
28;2;19.625;13.5053710938;7;27.0708494186;1;24.75;10.625;7;21.25;
29;2;20.0909404755;12.5;7;27.1315076351;1;24.75;10.625;7;21.25;
30;2;20.1045894623;12.5;7;27.1926498413;1;24.75;10.625;7;21.25;
31;2;20.118347168;12.5;7;27.2542052269;1;24.75;10.625;7;21.25;
32;2;20.1321964264;12.5;7;27.3161010742;1;24.75;10.625;7;21.25;
33;2;19.625;13.5;7;27.3782629967;1;24.75;10.625;8;21.25;
34;2;19.625;13.6891317368;7;27.4406147003;1;24.75;10.625;8;21.25;
35;2;20.1741390228;12.5;7;27.5030794144;1;24.75;10.625;8;21.25;
36;2;19.625;13.5;7;27.5655794144;1;24.75;10.625;8;21.25;
37;2;19.625;13.7827892303;7;27.628036499;1;24.75;10.625;8;21.25;
38;2;19.625;13.8140182495;7;27.690372467;1;24.75;11.625;8;21.25;
39;2;20.2303333282;12.5;8;27.7525100708;1;24.75;12.625;9;21.25;
40;2;19.625;13.5;8;27.8143725395;1;24.75;13.625;10;21.25;
41;2;19.625;13.9071865082;8;27.8758842945;1;24.75;14.625;10;21.25;
42;2;20.2720737457;12.5;9;27.936971426;1;24.75;15.625;11;21.25;
43;2;20.2858181;12.5;9;27.9975619316;1;24.75;15.625;10;21.25;
44;2;20.299451828;14.5;9;28.0575861931;1;24.75;15.625;10;21.25;
45;2;20.3129577637;16.5;9;28.1169772148;2;25.75;16.625;7;22.25;
46;2;20.3263206482;18.5;9;28.1756706238;2;26.75;17.625;8;22.3550000191;
47;2;20.3395252228;20.5;9;28.2336053848;2;27.4130001068;18.625;8;22.4698647261;
48;2;20.3525619507;22.5;9;28.2907235622;2;27.481918335;19.625;9;22.5952684879;
49;2;20.3654136658;22.5;9;28.346971035;2;27.5571613312;20.625;9;22.7318768501;
50;2;20.378068924;22.5;11;28.4022974968;2;27.639125824;20.625;10;22.880333066;
51;2;20.3905162811;22.5;12;28.4566559792;3;27.7281990051;20.625;9;43.0412415266;
52;2;20.4027481079;22.5;13;28.5100040436;3;28.8247451782;21.625;10;44.4151495695;
53;2;19.625;23.5;14;28.5623030663;3;29.9290885925;22.625;10;45.6201226711;
