Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;12.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;11.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;10.0;5;21.0;1;11.8999996185;8.625;5;17.25;
4;1;8.14999961853;10.5;5;21.8400001526;1;11.8999996185;8.625;5;17.25;
5;1;8.27600002289;10.9200000763;5;22.5301437378;1;12.8999996185;8.625;5;17.25;
6;1;9.27600002289;11.2650718689;5;23.086605072;1;13.8999996185;8.625;5;17.25;
7;1;10.194486618;11.543302536;5;23.5283432007;2;15.5;8.625;4;18.5949993134;
8;1;10.2938766479;11.7641716003;5;24.1098823547;2;15.5569992065;8.79749965668;4;18.9161961079;
9;2;10.4247236252;12.4549407959;4;25.5655879974;2;15.7317180634;8.94309806824;4;20.2844914198;
10;2;10.7522573471;12.2827939987;4;26.0479592085;2;16.5219802856;9.60165023804;4;21.4988384247;
11;2;10.8607902527;12.4589796066;4;26.2754310369;2;18.5219802856;10.1822328568;4;22.5489459038;
12;2;13.7815074921;12.5;4;26.4377241135;2;20.5219802856;10.6796894073;4;23.4371819496;
13;2;15.7815074921;12.5;4;26.6183350086;2;21.5219802856;11.0951957703;4;24.1753842831;
14;2;16.8913822174;12.5;4;26.8187118769;2;22.5219802856;11.4346656799;5;24.7811328173;
15;2;17.936466217;12.5;4;27.0402543545;2;23.5219802856;11.7068872452;5;25.2744073868;
16;2;18.9863128662;12.5;4;27.2842636108;2;24.5219802856;11.9218521118;5;25.6750942469;
17;2;20.0412158966;12.5;4;27.5518820286;2;25.5219802856;12.0895090103;5;25.8134583235;
18;2;19.625;13.5;5;27.8440244198;2;26.5219802856;12.125;5;25.8828217983;
19;2;19.625;13.9220123291;5;28.1613030434;2;27.5219802856;12.125;5;25.9541300535;
20;2;19.625;14.0806512833;5;28.5039470196;2;28.5219802856;12.125;6;26.0273373127;
21;2;19.625;14.2519731522;5;28.871723175;2;28.5499992371;12.125;6;26.1023882627;
22;3;19.625;14.4358615875;4;29.263862133;2;28.5499992371;12.125;6;26.179218173;
23;3;19.625;14.6319313049;4;29.6789975166;2;28.5499992371;12.125;6;26.2577524185;
24;3;19.625;14.8394985199;6;30.1151270866;3;28.5499992371;12.125;5;26.3379068375;
25;4;19.625;15.0575637817;5;30.5695996284;3;28.5499992371;12.125;5;26.4195876122;
26;4;19.625;15.2847995758;5;31.0391392708;3;28.5499992371;12.125;5;26.5026917458;
27;4;19.625;16.2847995758;5;31.5199065208;3;28.5499992371;12.125;5;26.5871069431;
28;4;19.625;17.0639343262;5;32.007601738;3;28.5499992371;12.125;5;26.6727125645;
29;4;19.625;17.4053211212;6;32.4976010323;3;28.5499992371;12.125;5;26.7593798637;
30;4;19.625;17.7483215332;6;33.9851250648;3;28.5499992371;12.125;5;26.8469727039;
31;4;20.625;18.7895889282;7;34.5554207563;3;28.5499992371;12.125;5;26.9353485107;
32;4;21.625;19.1887950897;7;35.1210656166;3;28.5499992371;12.125;5;27.024358511;
33;4;21.625;19.5847473145;6;35.6782835722;3;28.5499992371;12.125;5;27.1138494015;
34;4;21.625;19.9747982025;6;36.223815918;3;28.5499992371;14.125;6;27.2036640644;
35;4;21.625;20.3566703796;6;36.7550196648;3;29.5499992371;16.125;6;27.2936425209;
36;4;21.625;20.7285137177;6;37.2699235678;3;30.3761844635;18.125;6;27.0836241245;
37;4;21.625;21.0889472961;7;38.7672411203;3;30.2501735687;20.125;6;26.9034450054;
38;4;22.625;21.9370689392;7;39.336335063;3;30.1420669556;21.8400001526;6;26.7499456406;
39;4;23.625;22.3174362183;7;39.8942735195;3;30.0499649048;21.7185001373;6;26.6202659607;
40;4;23.625;22.6885681152;7;40.4418803453;3;29.9721603394;21.6091499329;7;27.5118193626;
41;4;23.625;23.0509681702;8;40.9803550243;3;28.8540611267;22.5107345581;7;27.4622678757;
42;5;23.625;23.4054031372;7;41.511153698;3;29.7065925598;23.4221611023;8;28.1708720922;
43;5;24.9681091309;24.4054031372;9;42.0358725786;3;30.7037620544;24.6969413757;8;28.7672892809;
44;5;25.9971885681;26.4054031372;9;42.5561398268;3;31.0102596283;25.9140510559;9;29.2714562416;
45;5;27.57513237;28.9075164795;10;43.0735180378;4;31.2621383667;27.0834560394;8;29.5230492353;
46;5;26.965511322;31.9075164795;10;43.5410089493;4;30.5499992371;27.125;8;29.6946930885;
47;6;27.021522522;34.2054023743;7;61.1824874878;4;31.4173088074;27.125;9;29.8694556952;
48;6;28.8848114014;33.5;7;62.4523243904;4;31.4741573334;27.125;10;30.0473060608;
49;6;29.9764595032;34.5;8;64.623980999;4;31.5338554382;27.125;10;30.2281998396;
50;7;31.0714664459;36.5;8;65.71905303;4;31.5964317322;27.125;10;30.4120758772;
51;7;32.1695709229;38.5;9;66.7237570286;4;31.661895752;27.125;10;30.5988540649;
52;7;32.5045051575;40.5;10;67.6468290091;4;31.7302417755;27.125;10;30.7884325981;
53;7;32.6124343872;42.5;10;68.4982191324;4;31.8014450073;27.125;11;31.9806854725;
54;7;32.722454071;44.5;12;69.2879152298;4;32.8754577637;28.125;11;32.215460062;
55;7;32.8341445923;45.5;14;69.903583169;4;33.9522171021;29.125;11;33.5170270205;
56;7;32.9470558167;46.5;14;70.408703804;4;34.6158065796;30.5796871185;13;34.6360552311;
57;7;33.060710907;47.5;15;70.9149391651;4;35.1695213318;31.9370288849;13;35.602216959;
58;7;33.1746101379;48.5;16;71.4200775623;4;35.6313056946;33.2120628357;14;36.4459329844;
59;7;33.2882652283;49.5;16;71.9219156504;4;36.0195426941;34.0733947754;14;37.0432312489;
60;7;33.4011802673;50.5;16;72.4182969332;4;36.2599716187;34.1903114319;15;37.4907585382;
61;7;33.5128669739;51.5;17;72.9071466923;4;36.4106941223;34.2291030884;15;37.9469844103;
62;8;33.6228561401;52.5;16;73.3865059614;4;36.5668907166;34.2695083618;16;38.4107578993;
63;8;33.7307128906;53.5;17;73.8545627594;4;36.7279624939;34.3115310669;16;38.8807790279;
64;9;33.8360290527;54.5;17;76.6296464205;4;36.89320755;34.3551673889;16;39.3556083441;
65;9;34.281124115;56.0;17;78.9843724966;4;37.0618400574;34.4004020691;17;39.8336880207;
66;10;34.6644477844;57.3899993896;14;95.9695070982;4;37.2329826355;34.4472160339;19;40.313364625;
67;10;35.9935340881;59.6872596741;15;98.6902012825;4;38.4057121277;34.4955749512;19;40.7929191589;
68;10;35.3803863525;62.9097442627;15;100.906278729;4;39.5790519714;34.5454444885;19;40.8016462326;
69;10;36.5426940918;66.0;16;102.503291011;4;40.4706268311;34.4467658997;19;40.8347227573;
70;11;35.2867660522;70.7144393921;15;128.896021128;4;41.1214599609;34.3644828796;19;40.8889491558;
71;11;37.6714630127;76.0;15;131.851507425;5;41.0891456604;34.2970199585;18;40.9614541531;
72;11;40.4551506042;81.0;16;134.343113542;5;41.0663146973;34.2429466248;19;41.0496652126;
73;11;41.9591903687;86.0;16;136.445192218;5;41.0515365601;32.8857345581;19;41.1204836369;
74;11;42.7720069885;91.5999984741;17;138.209810019;5;35.0515365601;35.8857345581;18;41.1701362133;
75;11;44.2908248901;96.5999984741;18;139.698363543;5;33.1732444763;34.7174453735;18;41.2328314781;
76;12;45.4568328857;99.5999984741;18;140.87255609;5;30.4628829956;36.7174453735;18;41.3067851067;
77;13;46.5916061401;102.599998474;18;141.495677829;5;32.4628829956;33.5811309814;18;41.3903772831;
78;13;47.1214065552;105.599998474;19;142.019948006;5;32.4628829956;34.5230178833;19;42.4821381569;
79;13;48.1566810608;108.415519714;22;142.56823957;5;31.4628829956;38.5230178833;19;42.6300874949;
80;13;47.1892089844;107.426681519;22;143.142104745;5;34.4628829956;35.4236450195;19;43.9092994928;
81;13;47.2191009521;108.437820435;23;143.742416263;5;34.4628829956;35.8153266907;19;45.0130057335;
82;13;48.2464942932;110.448913574;24;144.36917448;5;32.4628829956;38.8153266907;20;45.9714027643;
83;13;50.271522522;109.459968567;26;144.93538785;5;31.4628829956;41.8153266907;20;46.7660714388;
84;13;50.2749977112;111.470977783;25;145.518534541;5;30.4628829956;44.5831947327;20;47.2592459917;
85;13;50.2749977112;113.481933594;24;146.129923105;6;29.4628829956;47.5831947327;19;47.7502068281;
86;13;51.2749977112;112.492835999;25;146.764192104;6;29.4628829956;47.5831947327;19;48.2386344671;
87;13;50.2749977112;114.503677368;26;147.414865375;6;27.4628829956;50.5831947327;19;48.7243278027;
88;13;50.2749977112;116.514450073;26;148.074569225;6;27.4628829956;50.5831947327;20;49.2071745396;
89;13;51.2749977112;115.525161743;26;148.735338688;6;27.4628829956;51.5831947327;20;49.6871218681;
90;13;50.2749977112;117.535797119;27;149.388997555;6;27.4628829956;53.5831947327;20;50.1641423702;
91;14;50.2749977112;119.546356201;27;150.027567148;6;27.4628829956;54.747215271;21;50.6381981373;
92;14;51.2749977112;122.939575195;27;150.643670797;7;27.4628829956;55.9015769958;20;51.1092083454;
93;14;52.2749977112;123.954124451;28;151.23088491;7;27.1180095673;57.0636711121;20;51.5770201683;
94;14;53.2749977112;124.968551636;30;151.784004927;7;26.1929283142;58.2331542969;21;52.0413787365;
95;14;53.6499977112;125.98285675;30;152.299196959;7;25.7988014221;59.4095573425;22;52.4823505878;
96;14;53.6499977112;126.997024536;30;152.758253098;7;25.8500003815;60.5922927856;22;52.8427734375;
97;14;53.6499977112;128.0;33;153.171843529;7;25.8500003815;61.7806510925;23;53.206741333;
98;14;53.6499977112;129.0;35;153.544363976;8;25.8500003815;62.9738082886;23;55.4567217827;
99;14;53.6499977112;130.0;36;154.936964512;8;26.3472499847;64.4077148438;23;57.7463402748;
100;14;54.6499977112;131.641998291;36;155.452141404;8;26.8341636658;65.8789672852;23;60.0522055626;
