Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;2;11.5999994278;16.0;3;33.0;1;6.0;12.0;4;20.0;
2;2;11.5999994278;16.0;3;33.1799999475;1;7.0;11.0;4;20.0;
3;2;11.6359996796;16.0;3;33.3902759552;1;8.0;10.0;4;20.0;
4;2;11.6780548096;16.0;3;33.3590792418;1;9.0;10.0;4;20.0;
5;2;12.8845233917;15.8719997406;3;33.3862023354;1;9.0;10.0;4;20.0;
6;2;13.9617805481;15.7567996979;3;33.2462337017;1;10.0;10.0;4;20.0;
7;2;14.9738702774;15.5507202148;3;33.2851662636;1;11.0;10.0;4;20.0;
8;2;14.9855499268;15.4080486298;3;33.393654108;1;11.0;10.0;4;20.3999996185;
9;2;15.0180959702;15.2796440125;3;34.5210592747;1;11.1199998856;10.1999998093;4;20.7264003754;
10;2;17.2396717072;15.6024589539;3;35.526550293;1;11.2179203033;10.3632001877;4;20.9903717041;
11;2;19.2396717072;15.8313598633;3;36.1528143883;2;11.2971115112;10.6951856613;3;23.0419120789;
12;2;21.2396717072;15.8360004425;4;36.840672493;2;11.9125738144;11.0209560394;3;24.0443505049;
13;2;22.7954311371;15.8360004425;5;37.5985717773;2;13.9125738144;11.4571752548;3;24.8968375921;
14;3;24.0228004456;15.8360004425;4;38.4226870537;2;15.9125738144;11.8107032776;3;25.6209878922;
15;3;25.27003479;15.8360004425;5;39.3057656288;2;17.0438919067;12.0916318893;3;26.2409451008;
16;3;25.7917289734;15.8360004425;6;40.2369499207;2;18.0980739594;12.3113050461;4;26.7804714441;
17;3;26.0710849762;15.8360004425;6;41.2019672394;3;19.1581878662;12.4808797836;3;27.0402543545;
18;3;26.3605899811;15.8360004425;7;42.1837472916;3;20.2246494293;12.5;4;27.2842636108;
19;3;26.6551246643;15.8360004425;8;43.1634683609;3;21.2978534698;12.5;4;27.5518820286;
20;3;26.9490394592;15.8360004425;8;44.1219177246;3;22.2655639648;12.5;4;27.8440244198;
21;3;24.9490394592;16.8360004425;9;45.0409812927;3;22.3532066345;12.5;4;28.1613030434;
22;3;25.9490394592;15.8360004425;9;45.9050216675;3;22.4483909607;12.5;5;28.5039470196;
23;3;26.9490394592;15.8360004425;9;46.7019252777;4;22.5511837006;12.5;4;28.871723175;
24;3;27.9490394592;15.8360004425;10;47.4236736298;4;22.6615161896;12.5;4;29.263862133;
25;3;28.2271022797;15.8360004425;10;48.0663928986;4;22.7791595459;12.5;4;29.6789975166;
26;3;28.4199180603;15.8360004425;10;48.6299686432;4;22.9036998749;12.5;4;30.1151270866;
27;3;28.5889911652;15.8360004425;11;49.1173458099;4;23.034538269;12.5;4;30.5695996284;
28;3;28.7352027893;15.8360004425;12;49.533706665;4;21.5;13.5;4;31.0391392708;
29;3;28.8601112366;15.8360004425;12;49.885635376;4;22.5;12.5;4;31.5199065208;
30;3;26.9656906128;16.8360004425;12;50.180398941;4;21.4559726715;13.5;5;32.007601738;
31;4;25.9656906128;16.8360004425;7;65.2662239075;4;20.6022796631;14.5;5;32.4976010323;
32;4;26.0155315399;17.8360004425;7;66.1105108261;4;19.7492790222;15.5;5;32.9851250648;
33;4;26.0155315399;18.8360004425;7;66.7961807251;4;18.8955383301;16.5;5;33.465420723;
