Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;2;11.5999994278;16.0;3;33.0;1;6.0;12.0;4;20.0;
2;2;11.5999994278;16.0;3;33.0199999809;1;7.0;11.0;5;20.0;
3;2;11.6040000916;16.0;3;33.0401959419;1;8.0;10.0;5;20.0;
4;2;11.6080389023;16.0;3;33.0605818033;1;9.0;10.0;5;20.0;
5;2;12.7181739807;16.0;3;33.0811508894;1;9.0;10.0;5;20.0;
6;2;13.7243452072;16.0;3;32.8441661596;1;10.0;10.0;4;20.0;
7;2;14.7300491333;15.8719997406;3;32.7249081135;1;11.0;10.0;3;20.0;
8;2;14.8174724579;15.8028001785;3;32.6196085215;1;11.0;10.0;3;20.3999996185;
9;2;14.7858819962;15.7405204773;3;33.7803295851;1;11.1199998856;10.1999998093;3;20.7264003754;
10;2;16.8353462219;16.3007202148;3;34.6166095734;1;11.2179203033;10.3632001877;3;20.9903717041;
11;2;18.8353462219;16.698223114;3;35.2077144384;1;11.2971115112;10.4951858521;3;22.0419120789;
12;2;20.8353462219;16.9726676941;4;34.8282660246;1;11.6125736237;11.0209560394;4;22.9143505096;
13;2;21.871591568;16.7642803192;5;34.4911154509;1;13.2971115112;11.4571752548;4;23.6214065552;
14;3;22.8829746246;16.5767326355;5;34.1920750141;2;15.2971115112;12.0107030869;3;25.1832637787;
15;3;23.8945388794;16.4079399109;5;33.9273711443;2;17.2971115112;12.0916318893;3;25.6526100636;
16;3;24.1782131195;16.2560253143;6;33.6936099529;2;18.6061115265;12.3113050461;3;26.0223505497;
17;3;24.1080818176;16.1193027496;6;33.4877277613;2;19.6152877808;12.4808797836;2;26.091766119;
18;3;24.0463180542;15.9962520599;7;33.306966424;2;20.6246414185;12.5;2;26.1235172749;
19;3;23.9920883179;15.8855066299;7;33.1488389969;2;21.6341667175;12.5;2;26.1558350325;
20;3;23.94465065;15.7858362198;8;33.0111011267;2;21.8467502594;12.5;3;26.1887089014;
21;3;23.9033298492;15.6961326599;8;32.8917301893;2;21.8566131592;12.5;5;26.2221269608;
22;3;23.8675193787;15.6153993607;8;32.7889022827;2;21.8666381836;12.5;5;26.2560760975;
23;3;23.8366699219;15.5427398682;8;32.7009677887;2;21.8768234253;12.5;6;26.2905418873;
24;3;23.8102912903;15.4773454666;8;32.6264436245;2;21.8871631622;12.5;6;26.3255085945;
25;3;21.8232460022;16.4773445129;8;32.5639848709;2;21.8976516724;12.5;6;26.3609591722;
26;3;22.2864074707;16.2819919586;9;32.5123790503;3;21.9082870483;12.5;5;26.3968753815;
27;3;23.1907100677;16.2561893463;9;32.4705309868;3;21.9190635681;12.5;5;26.4332377911;
28;3;21.7669029236;16.3178501129;9;32.4374494553;3;21.5;13.2166185379;5;26.4700255394;
29;4;22.1907100677;16.2187252045;9;32.412238121;3;21.5;13.2350130081;5;26.5072168112;
30;4;23.1209468842;15.2015781403;9;32.3940858841;3;19.9521656036;13.5;6;26.5447884798;
31;4;21.7369918823;16.2015781403;9;32.3822593689;3;18.9634361267;14.5;6;26.5827163458;
32;4;20.750333786;17.2015781403;9;32.3760914803;3;17.9748153687;15.5;6;26.6209751368;
33;4;19.7636852264;18.2015781403;9;32.3749821186;3;16.9862918854;16.5;6;26.6595385075;
34;4;18.7770328522;19.2015781403;9;32.3783841133;3;15.9978618622;17.5;7;26.6983793974;
