Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.3999996185;16.0;4;32.0;1;6.0;12.0;4;20.0;
2;1;11.3999996185;16.0;6;31.5391998291;1;7.0;11.0;5;20.0;
3;1;11.3078403473;15.7695999146;5;31.1244792938;1;8.0;10.0;5;20.0;
4;1;11.2248954773;15.5622396469;5;30.7512321472;1;9.0;10.0;5;20.0;
5;1;12.2248954773;15.3756160736;5;30.1203975677;1;9.0;10.0;5;20.0;
6;1;13.2248954773;15.0601987839;5;29.552646637;1;10.0;10.0;5;20.0;
7;2;14.1657943726;14.7763233185;4;30.1180534363;1;11.0;10.0;5;20.0;
8;2;14.0354166031;14.5590267181;4;29.872050643;1;11.0;10.0;5;20.3999996185;
9;2;13.9616155624;14.3634605408;4;30.0163377523;1;11.1199998856;10.1999998093;5;20.7264003754;
10;2;16.1361865997;14.340218544;4;30.1945058107;2;11.2179203033;10.5631999969;4;21.9903717041;
11;2;18.1361865997;14.3193006516;4;30.4096651077;2;11.597111702;10.4951858521;4;23.1319121122;
12;2;20.1361865997;14.3004741669;4;30.6650972366;2;11.939573288;11.0209560394;4;24.1014695168;
13;2;21.3648262024;14.283531189;4;30.9641253948;2;13.939573288;11.4571752548;5;24.9131449461;
14;2;22.463684082;14.2682819366;4;31.3099608421;2;15.939573288;11.8107032776;5;25.5874900818;
15;2;23.392988205;14.2545576096;4;31.7054855824;2;17.0338420868;12.0916318893;5;26.1475405693;
16;2;23.5116443634;14.2422056198;6;32.1529939175;2;18.0700531006;12.3113050461;5;26.6159290075;
17;2;23.645898819;14.2310886383;6;32.6538934708;2;19.1088237762;12.4808797836;5;26.7922235727;
18;2;23.7961673737;14.2210836411;7;33.2083740234;2;20.1502399445;12.5;5;26.9393253326;
19;2;23.96251297;14.2120790482;7;33.6593532562;2;21.1943702698;12.5;5;27.0956480503;
20;2;24.0978050232;14.1433544159;7;34.164835453;2;22.1286945343;12.5;6;27.261295557;
21;2;24.2494506836;14.0815019608;7;34.7186098099;2;21.5;13.1783885956;6;27.4362905025;
22;2;24.4155826569;14.0258350372;7;35.3128805161;3;22.2308864594;12.5;4;27.6205644608;
23;2;24.5938644409;13.9757347107;7;35.9383878708;3;21.5;13.2861690521;4;27.8139474392;
24;2;22.5668106079;14.9306440353;7;36.584687233;3;21.5;13.3441839218;5;28.016159296;
25;3;21.5006332397;15.8900623322;5;49.9905729294;4;22.4048480988;12.5;4;28.2268030643;
26;3;20.5006332397;17.8900623322;5;51.282119751;4;22.4680404663;12.5;4;28.445360899;
27;4;20.5006332397;19.8900623322;4;52.4481801987;4;22.5336074829;12.5;5;28.6711919308;
28;4;20.5006332397;21.8900623322;4;53.5342798233;4;21.5;13.5;5;28.9035346508;
29;4;21.5006332397;20.8900623322;4;54.5330715179;4;22.5;12.5;5;29.141512394;
30;4;20.5006332397;22.8900623322;5;55.4406766891;4;20.7424545288;13.5;5;29.3841423988;
31;4;20.5006332397;24.8900623322;5;56.2563457489;4;19.8152427673;14.5;5;29.6303496361;
32;4;21.0;26.8900623322;6;56.9819812775;4;19.5;13.5;4;29.8789830208;
33;4;23.0;25.8900623322;6;57.6215667725;4;18.5;13.5;5;31.1288366318;
34;4;23.0;27.8900623322;7;58.1806087494;4;19.0386505127;14.5;5;31.4286706448;
35;4;23.4551544189;29.8900623322;8;58.6525945663;4;19.1136016846;15.5;5;31.7292118073;
36;4;24.5375003815;28.8900623322;8;58.9050607681;4;18.1881713867;17.0509872437;5;32.0292524099;
37;5;24.5375003815;30.8900623322;9;60.1239748001;4;18.1087760925;17.5;5;32.3276206255;
38;6;26.5375003815;30.3500614166;9;60.3548295498;4;17.8347034454;19.10597229;5;32.6232018471;
39;6;27.8189201355;32.350063324;9;60.5428578854;4;17.9059677124;20.1349868774;5;32.9149594307;
40;6;28.830701828;34.350063324;10;60.5728108883;4;18.3744888306;20.5;5;33.2019520998;
41;6;27.8428497314;35.350063324;11;60.6056221724;4;18.0429382324;22.1960773468;5;33.4833470583;
42;6;27.5375003815;35.6750602722;11;60.6411414146;4;18.545003891;22.5;6;33.7584279776;
43;8;28.8682422638;36.2150611877;6;95.6792279482;4;18.6275291443;23.5;8;34.026602149;
44;8;31.5375003815;35.2150611877;7;97.6697511673;4;18.2307872772;25.2953224182;9;34.2874002457;
45;8;34.8950881958;37.8942375183;7;99.3995589018;4;19.7862205505;25.2953224182;8;34.540473938;
46;8;36.9090538025;40.6680374146;9;100.872861743;4;18.8078384399;26.2953224182;8;34.7855892181;
47;8;38.9233703613;42.5800018311;9;102.107331753;4;19.5420360565;27.2953224182;8;35.022619009;
48;8;40.2589225769;44.5085678101;10;103.128792167;4;20.0;28.2953224182;8;35.2515317202;
49;8;40.8566436768;47.1595535278;12;103.966568828;4;21.0;29.2953224182;8;35.4723796844;
50;8;42.2859382629;48.4067840576;12;104.634541154;4;22.6117744446;27.5;8;35.6852855682;
51;8;43.8536529541;48.1341781616;12;104.9446944;4;23.0;28.5;9;35.8904304504;
52;8;44.314868927;49.3710708618;13;105.117914081;4;24.1606826782;27.5;11;36.0880422592;
53;8;44.8299827576;51.3689460754;13;105.175371766;4;23.5;28.5;11;36.2783813477;
54;8;43.3512306213;52.2127838135;13;106.23420465;4;23.5;28.6854057312;11;36.4568536282;
55;8;42.3512306213;56.2414321899;13;106.344315529;4;23.5;27.5;12;36.5439035892;
56;8;42.3512306213;60.2705078125;14;106.311979771;4;23.5;27.5;12;36.6318233013;
57;8;42.3512306213;61.2988471985;15;106.296928287;4;23.5;27.5;13;36.7204678059;
58;8;40.3512306213;65.327507019;14;106.297650218;5;23.5;27.5;11;36.8096864223;
59;8;45.6656303406;69.2352523804;17;106.312774181;5;23.5;27.5;11;36.8993241787;
60;8;49.6695137024;68.6586456299;17;106.34105134;5;23.5;27.5;11;36.989222765;
61;8;50.0664901733;70.6820526123;18;106.381339908;5;23.5;27.5;11;37.079221487;
62;8;50.0707397461;72.7054367065;18;106.432598472;5;23.5;27.5;11;37.1691586971;
63;8;51.5150947571;71.7287597656;18;106.493866563;5;23.5;27.5;11;37.258872509;
64;8;50.0821723938;74.5132293701;19;109.667041421;5;23.5;27.5;11;37.348202467;
65;9;50.8763504028;72.1973114014;16;121.255132914;4;21.5;22.5;12;29.4369900227;
66;9;51.1823730469;71.2505340576;16;123.529486179;4;22.5;23.5;12;29.5750803947;
67;9;51.4500236511;73.2996139526;17;125.132013321;4;23.5;24.5;13;29.7142982483;
68;9;50.5360107422;77.4923095703;19;126.060091496;4;23.5;25.5;14;29.854523778;
69;10;50.6256256104;79.5611877441;19;126.40537107;4;23.5;26.5;14;29.9956384897;
70;11;49.6660842896;79.6976852417;17;126.741844654;3;23.5;27.5;14;30.1375253201;
71;11;47.6971588135;83.7269668579;17;127.069704056;3;23.5;27.5;15;30.4341945648;
72;11;48.1274757385;86.7855377197;20;127.385281801;3;23.5;27.5;15;31.7392261028;
73;11;46.1566963196;89.9128646851;20;127.596902132;3;24.7999992371;28.0;16;32.8320285082;
74;11;46.1765823364;93.1184921265;20;127.809628487;3;25.3745880127;28.3899993896;16;33.7464702129;
75;11;45.1965713501;95.2027587891;21;129.023010015;3;24.2123565674;29.6872596741;16;34.5177915096;
76;11;45.2166404724;98.287147522;23;129.336591601;3;25.3458442688;28.9097423553;16;35.0303558111;
77;12;45.2367324829;101.003807068;23;134.692980528;2;22.3999996185;24.0;14;30.0937047005;
78;12;45.3777084351;105.076583862;24;135.186928749;2;22.3999996185;24.0;15;30.2383022308;
79;12;45.402671814;109.149047852;24;135.690683007;2;22.3999996185;24.0;15;30.3896493912;
80;14;44.9248161316;112.929916382;21;136.203239918;2;22.3999996185;24.0;15;30.5476136208;
81;14;43.9758720398;114.101325989;22;136.723659635;2;20.3999996185;25.0;15;30.7119956017;
82;14;44.0224723816;117.114990234;21;137.251060963;2;19.3999996185;26.0;15;30.8825259209;
83;15;44.0724449158;119.629058838;25;137.784607887;2;18.3999996185;27.0;15;31.0588636398;
84;17;44.1250305176;121.663101196;21;156.382368803;1;15.3999996185;23.0;15;28.0;
85;17;47.1743545532;121.993385315;22;158.157569408;1;14.3999996185;24.0;15;28.0;
86;17;50.2261390686;123.080192566;22;160.846449852;1;13.3999996185;25.0;16;28.0;
87;17;53.6225128174;125.160797119;20;162.587115645;1;12.3999996185;26.0;15;28.0;
88;17;56.4782752991;127.235031128;20;164.213022709;1;12.0;27.0;14;28.0;
89;17;57.7538795471;129.302764893;22;166.762644172;1;12.0;28.0;12;28.0;
90;17;58.9069213867;138.79699707;25;168.303136587;1;12.0;29.0;13;28.0;
91;17;61.05311203;143.490600586;26;169.778947949;1;12.0;30.0;11;28.0;
92;17;62.3049964905;147.472213745;25;171.210144639;1;12.0;31.0;9;28.0;
93;17;64.4491348267;149.217651367;27;172.608124495;1;12.0;32.0;5;28.0;
94;18;65.5897598267;153.166992188;26;173.884698749;1;13.0;30.0;4;28.0;
95;19;67.7180938721;157.543884277;24;204.393787503;0;0;0;0;0;
