Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.3999996185;16.0;4;32.0;1;6.0;12.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;7.0;11.0;5;20.0;
3;1;11.3999996185;16.0;6;32.0;1;8.0;10.0;5;20.0;
4;1;11.3999996185;16.0;6;32.0;1;9.0;10.0;5;20.0;
5;1;12.3999996185;16.0;6;32.0;1;9.0;10.0;5;20.0;
6;1;13.3999996185;16.0;6;32.0;1;10.0;10.0;5;20.0;
7;2;14.6999998093;16.0;5;33.6399993896;1;11.0;10.0;5;20.0;
8;2;15.0920000076;16.3199996948;5;34.0;1;11.0;10.0;5;20.3999996185;
9;2;15.1999998093;16.5;5;35.6700015068;2;11.1199998856;10.3999996185;4;21.7264003754;
10;2;17.0979995728;17.3250007629;5;36.8509716988;2;11.2179203033;10.3632001877;4;22.0203716755;
11;2;19.0979995728;17.9053878784;5;37.6553350687;2;11.2971115112;10.4951858521;4;23.9627178907;
12;2;21.0979995728;18.2973766327;5;38.0811508894;2;11.8644580841;11.4407634735;4;25.6447143555;
13;2;22.1163444519;18.5;6;38.1018965244;2;13.8644580841;12.2551708221;5;27.0454421043;
14;2;23.1225681305;18.5;6;38.1228116751;2;15.8644580841;12.9279375076;5;28.1741642952;
15;2;24.1288433075;18.5;6;38.1438889503;2;16.8644580841;13.4636869431;5;29.0608041286;
16;2;25.1351661682;18.5;7;38.1651208401;2;17.8644580841;13.8773756027;5;29.7452727556;
17;3;25.4495372772;18.5;6;38.1864993572;2;18.8644580841;14.1889572144;5;30.2689313889;
18;3;25.4559497833;18.5;6;38.2080165148;2;19.8644580841;14.4191141129;4;30.4960762262;
19;3;25.4624061584;18.5;7;38.2296639681;2;20.8644580841;14.5;3;30.5634583235;
20;3;25.4688987732;18.5;7;38.2514331341;2;21.8644580841;14.5;3;30.6328217983;
21;3;25.4754295349;18.5;7;38.2733153105;2;22.7000007629;14.5;5;30.7041300535;
