Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;10.8880004883;14.720000267;4;29.4400005341;1;6.0;12.0;4;20.0;
2;1;10.8880004883;14.720000267;4;29.4400005341;1;7.0;11.0;4;20.0;
3;1;10.8880004883;14.720000267;4;29.4400005341;1;8.0;10.0;4;20.0;
4;1;10.8880004883;14.720000267;4;29.4400005341;1;9.0;10.0;4;20.0;
5;1;11.8880004883;14.720000267;4;29.4400005341;1;9.0;10.0;4;20.0;
6;1;12.8880004883;14.720000267;4;29.235200882;1;10.0;10.0;4;20.0;
7;2;14.0705604553;14.617600441;3;29.9675216675;2;11.0;10.1999998093;3;21.0;
8;2;13.9902563095;14.4837608337;3;29.7507542372;2;11.3000001907;10.0;3;21.3999996185;
9;2;13.9252262115;14.3633050919;4;30.3891408443;2;11.4200000763;10.1999998093;3;21.7264003754;
10;2;16.012260437;14.6578950882;3;30.8687247038;2;11.5179204941;10.3632001877;3;21.9903717041;
11;2;18.012260437;14.8721656799;4;30.9548887014;2;11.597111702;10.4951858521;3;23.0719120502;
12;2;20.012260437;14.8887996674;5;31.0096504688;2;11.9215736389;11.0209560394;3;23.9749414921;
13;2;21.0598716736;14.8887996674;5;31.0662847757;2;13.9215736389;11.4571752548;3;24.7131726742;
14;2;22.0768623352;14.8887996674;5;31.1247925758;2;15.9215736389;11.8107032776;3;25.3067810535;
15;2;23.0944137573;14.8887996674;6;31.1851685047;2;16.94962883;12.0916318893;3;25.7784451246;
16;2;23.3555526733;14.8887996674;6;31.247400403;2;17.9593238831;12.3113050461;4;26.1504684687;
17;2;23.3742218018;14.8887996674;6;31.3114690781;3;18.9691867828;12.4808797836;3;26.2221269608;
18;2;23.3934421539;14.8887996674;7;31.3773477077;3;19.9792118073;12.5;4;26.2560760975;
19;2;23.4132061005;14.8887996674;7;31.4450018406;3;20.989397049;12.5;4;26.2905418873;
20;2;23.4335021973;14.8887996674;7;31.5143890381;3;21.8871631622;12.5;4;26.3255085945;
21;2;23.4543170929;14.8887996674;7;31.5854586363;3;21.8976516724;12.5;4;26.3609591722;
