Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
76;4;20.9500007629;42.125;17;44.3311839104;5;24.6000003815;40.5011291504;18;41.522734642;
77;4;21.1932678223;43.125;18;44.3735535145;5;24.6000003815;42.622882843;19;42.0626052618;
78;4;21.2028007507;44.125;19;44.4171074629;5;24.6000003815;44.7478866577;19;42.6179015636;
79;4;21.212600708;45.125;19;44.461841464;5;23.6000003815;46.8759727478;21;43.187528491;
80;4;21.2226657867;45.125;19;44.5077478886;5;22.6000003815;49.0069580078;22;43.7702941895;
81;4;21.2329940796;45.125;19;44.5548160076;6;21.6000003815;51.1406211853;21;44.364928484;
82;4;21.2435836792;45.125;20;45.3999063969;6;20.6000003815;51.8896141052;21;44.9700998068;
83;4;21.2544326782;45.8421859741;21;47.7873830795;6;20.0;54.0384941101;22;45.584433198;
84;5;20.2716236115;48.4281539917;20;48.9797736406;6;20.0;55.4513587952;22;46.2065274715;
85;4;20.2895393372;23.595123291;20;26.324821949;7;20.0;56.6667518616;16;70.055434227;
86;4;21.5608501434;24.8049659729;21;26.8051052094;7;22.6286945343;54.8402442932;17;71.1020264626;
87;4;21.7636318207;25.9690628052;19;27.0253744125;7;24.0;55.9843940735;17;73.061845541;
88;4;21.7976474762;27.0;19;27.190089345;7;26.0;57.3473510742;17;73.8043012619;
89;4;21.8184547424;27.0;12;27.3611103296;7;28.0;58.5846366882;18;74.5070831776;
90;4;21.3999996185;27.0;13;27.538392067;7;29.0;59.8264579773;18;75.2123132944;
91;4;21.862159729;27.0;13;27.7218557596;7;30.9048480988;59.5642547607;19;75.9187138081;
92;4;21.885017395;27.0;13;27.911387682;7;31.9680404663;60.7083358765;19;76.6250103712;
93;4;21.9085121155;27.0;13;28.1068373919;7;33.0336074829;61.5165290833;18;77.3299263716;
94;4;21.9326171875;27.0;10;28.3080164194;8;33.0;62.695930481;17;78.0321781635;
95;4;21.9572906494;27.0;11;28.5146980286;8;34.5999984741;59.9590187073;18;78.7304748297;
96;4;21.9824981689;27.0;11;28.7266161442;8;33.5999984741;63.0773010254;18;79.4235179424;
97;4;22.0081939697;27.0;12;28.9434657097;8;34.5999984741;64.1954193115;18;80.1100028753;
98;4;22.0343265533;27.0;13;29.1649038792;8;33.5999984741;66.4100189209;19;80.788625598;
99;4;22.0608463287;27.0;13;29.390550375;8;34.5999984741;66.5862731934;19;81.4580936432;
100;4;22.0876960754;27.0;13;29.6199901104;9;33.5999984741;68.761100769;19;83.1171367168;
