Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;2;6.0;13.6999998093;3;18.0;1;9.0;10.0;4;20.0;
2;2;7.15000009537;12.3000001907;3;18.0674999952;2;10.0;10.0;4;21.0;
3;2;7.71012496948;11.3000001907;2;18.1388356686;2;11.0;10.0;4;21.0900000334;
4;2;7.72082567215;10.3000001907;2;18.2141259909;2;12.0;10.0;4;21.1871190071;
5;2;7.7321190834;9.30000019073;2;18.293479681;2;13.3561353683;10.0;4;21.2917383909;
6;2;8.84103298187;8.5;2;18.3769934177;2;14.3875217438;10.0;4;21.4042263031;
7;2;9.13482284546;8.5;2;18.4647493362;2;14.4212684631;10.0;4;21.9389723539;
8;2;9.15456867218;8.5;2;18.9114601612;2;14.5816917419;10.1999998093;4;22.4109756947;
9;2;9.25507926941;8.67000007629;2;19.3121117353;2;14.7232933044;10.3632001877;4;23.7114653587;
10;2;9.34522533417;8.81392192841;2;19.6729998589;2;15.1134395599;10.9097137451;4;24.8527286053;
11;2;9.42642593384;8.93486309052;2;20.7691317797;2;17.1134395599;11.3658018112;4;25.8476524353;
12;2;9.67305469513;9.39324569702;2;21.7543540001;2;19.1134395599;11.7372808456;4;26.7164058685;
13;2;9.89472961426;9.78903102875;2;22.6326544285;2;20.3405303955;12.0336990356;5;27.4822225571;
14;2;11.763504982;10.1240053177;3;23.4132072926;2;21.4307365417;12.2662630081;5;28.168181181;
15;2;13.763504982;10.4026165009;4;24.1082558632;2;22.5285224915;12.446267128;5;28.6269388199;
16;2;15.763504982;10.6309299469;5;24.7312479019;2;23.6339092255;12.5;5;29.0031633377;
17;2;16.9244213104;10.8157100677;5;25.2954318523;2;23.5458278656;13.5;5;29.4033532143;
18;2;17.984752655;10.9637317657;5;25.6502726078;2;24.5;13.8210058212;5;29.8259272575;
19;2;19.0482711792;11.0;5;25.9459347725;2;25.5;12.5;6;30.268661499;
20;2;19.8378353119;11.0;5;26.2538781166;2;24.5;13.5;6;30.7286863327;
21;2;18.9500007629;12.0;5;26.5727539062;2;25.5;12.5;6;31.2025241852;
22;2;18.9500007629;13.0;5;26.9009518623;3;26.3607578278;12.5;5;31.6861643791;
23;2;18.9500007629;13.4504756927;6;27.2366204262;3;26.5058498383;12.5;6;32.1751794815;
24;2;18.9500007629;13.6183099747;6;27.5777015686;4;24.5058498383;13.5;5;32.6648726463;
25;2;18.9500007629;13.7888507843;6;27.9219741821;4;25.5058498383;12.5;5;33.1504516602;
26;2;18.9500007629;13.9609870911;6;28.2671084404;4;26.5058498383;12.5;5;33.6272163391;
27;2;18.9500007629;14.1335544586;6;28.6107273102;4;24.5058498383;13.5;5;34.0907382965;
28;2;18.9500007629;14.3053636551;7;28.9504704475;4;25.5058498383;12.5;5;34.5370264053;
29;2;18.9500007629;14.4752349854;7;29.2840604782;4;24.5;13.5;5;35.9626617432;
30;2;16.9500007629;16.4752349854;7;29.6093621254;4;24.5;14.0;5;36.4048881531;
31;2;15.9500007629;18.4752349854;7;29.9244384766;4;25.5;14.5;5;36.8228478432;
32;2;14.9500007629;20.4752349854;7;30.2275924683;4;24.5;14.0405921936;6;37.2152168751;
33;2;14.0;22.40483284;7;30.5174016953;5;23.8370666504;13.5;5;37.581354022;
34;2;14.0;23.6656608582;7;30.7927350998;5;23.5;15.0835533142;5;37.9212321043;
35;2;14.0;24.9134616852;8;31.0527591705;5;23.8635520935;15.5;5;38.2353546619;
36;2;14.0;26.1474838257;8;31.2969341278;5;22.5;15.1288738251;5;38.524657011;
37;2;14.0;27.3672409058;8;31.5249938965;5;21.5;15.1524076462;5;38.7904045582;
38;2;14.0;28.5724945068;8;31.7369251251;5;20.9059104919;18.1524085999;5;40.034098506;
39;2;14.0;29.7632331848;9;31.9329366684;5;23.5;22.1524085999;5;40.3473880291;
40;2;14.0;30.9396438599;8;32.1134243011;5;26.5;26.1524085999;5;40.6491117477;
41;2;14.0;32.1020812988;8;32.2789382935;5;29.3074455261;29.1524085999;4;40.8486880064;
42;2;15.0;31.1020812988;9;32.4301481247;5;30.8670845032;31.5;4;41.0147824287;
43;2;15.0;30.1020812988;10;32.5678110123;5;32.30443573;32.5;4;42.1900755167;
44;2;16.0;30.1020812988;11;32.6927423477;5;33.8995437622;34.2624664307;6;42.4148446321;
45;2;17.0;29.6234664917;11;32.75;6;34.8962516785;35.3603363037;6;42.6505092382;
46;2;18.0;28.6749992371;11;32.75;6;34.9331283569;36.3961105347;6;42.8972548246;
47;2;18.9500007629;27.6749992371;11;32.75;6;35.3188667297;37.4171905518;7;43.1552009583;
48;2;18.9500007629;26.6749992371;12;32.75;6;35.5964279175;37.5;7;43.4243912697;
49;2;18.9500007629;25.6749992371;12;32.75;7;36.0273208618;37.5;7;43.7047815323;
50;2;18.9500007629;24.6749992371;12;32.75;8;34.4000015259;38.5;6;43.996229887;
51;2;18.9500007629;23.6749992371;12;32.75;8;35.8074264526;38.1524085999;6;44.2984864712;
52;2;18.9500007629;25.6749992371;13;32.75;8;34.8059082031;39.5;7;44.6111851931;
53;2;18.9500007629;27.6749992371;13;32.75;8;35.962638855;38.2011871338;7;44.9338365793;
54;2;18.9500007629;28.6749992371;13;32.75;8;35.3680419922;39.2264137268;8;45.2658245564;
55;2;18.9500007629;29.6749992371;13;32.75;9;36.5797462463;37.5;7;45.6064045429;
56;2;18.9500007629;30.6749992371;14;32.75;9;35.5805625916;38.5;7;45.9547054768;
57;2;18.9500007629;30.6749992371;14;32.75;9;36.6153526306;37.5;7;47.8197959661;
58;2;18.9500007629;30.6749992371;14;32.75;9;36.836730957;38.8486785889;7;50.4378814697;
59;2;18.9500007629;30.6749992371;14;32.75;9;38.2951583862;40.2836799622;7;51.903486371;
60;2;18.9500007629;30.6749992371;14;32.75;9;40.2530479431;40.6872596741;7;53.1959742308;
61;2;18.9500007629;30.6749992371;15;32.75;9;40.9587898254;41.9097442627;8;54.2012454271;
62;2;18.9500007629;30.6749992371;16;32.75;9;38.3920593262;45.0;8;55.0041458607;
63;2;18.9500007629;30.6749992371;16;32.75;9;38.0878372192;46.0;8;55.7860859632;
64;2;18.9500007629;30.6749992371;17;32.75;9;39.2420806885;45.665145874;8;56.4370545149;
65;2;18.9500007629;30.6749992371;18;32.75;10;41.647190094;46.7028579712;9;58.0449790955;
66;2;18.9500007629;30.6749992371;19;32.75;12;43.6681900024;46.0;7;58.713211894;
67;2;18.9500007629;30.6749992371;19;32.75;12;40.2180023193;50.0;7;59.3826010227;
68;2;18.9500007629;30.6749992371;19;32.75;12;40.2368888855;55.0;8;60.051213026;
69;3;18.9500007629;30.6749992371;19;32.75;12;41.2566871643;57.0;8;60.7172507048;
