Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;13.3000001907;4;17.0;2;9.19999980927;10.0;3;21.0;
2;1;7.0;12.3000001907;5;17.0;2;9.19999980927;10.0;3;21.0299999714;
3;1;7.55000019073;11.3000001907;5;17.0;2;9.20600032806;10.0;3;21.0605909824;
4;1;7.55000019073;10.3000001907;5;17.0;2;9.2121181488;10.0;3;21.091766119;
5;1;7.55000019073;9.30000019073;5;17.0;2;10.3275299072;10.0;3;21.1235172749;
6;1;8.55000019073;8.5;5;17.0;2;11.3370552063;10.0;3;21.1558350325;
7;1;8.82499980927;8.5;5;17.0;2;11.3467502594;10.0;3;21.6002668142;
8;1;8.82499980927;8.5;5;17.0;2;11.4800796509;10.1999998093;3;21.9722745419;
9;1;8.82499980927;8.5;5;17.3400001526;2;11.5916824341;10.3632001877;3;22.2830175161;
10;1;8.9015007019;8.67000007629;5;17.6278438568;2;11.6849050522;10.4951858521;3;23.3954073191;
11;1;8.96626472473;8.81392192841;5;17.869726181;2;12.0186223984;11.0209560394;3;24.3307359219;
12;1;9.02068901062;8.93486309052;5;18.786491394;2;14.0186223984;11.4571752548;3;25.1027135849;
13;1;9.22696018219;9.39324569702;6;19.5780620575;2;16.0186214447;11.8107032776;3;25.7315064669;
14;1;11.0206890106;9.78903102875;6;20.2480106354;2;17.0770454407;12.0916318893;3;26.2397767305;
15;1;12.0206890106;10.1240053177;6;20.8052330017;2;18.0977230072;12.3113050461;3;26.6498038769;
16;1;13.0206890106;10.4026165009;6;21.2618598938;2;19.1189861298;12.4808797836;4;26.7608320713;
17;1;14.0206890106;10.6309299469;6;21.6314201355;2;20.1408233643;12.5;4;26.8354767561;
18;1;15.0206890106;10.8157100677;6;21.9274635315;2;21.1632156372;12.5;4;26.9119156599;
19;1;16.0206890106;10.9637317657;6;22.0;2;22.0735740662;12.5;5;26.9900764227;
20;1;16.9500007629;11.0;7;22.0;3;22.0970230103;12.5;4;27.0698769093;
21;1;16.9500007629;11.0;7;22.0;3;22.1209640503;12.5;4;27.1512255669;
22;1;16.9500007629;11.0;7;22.0;3;22.1453666687;12.5;5;27.2340214252;
23;1;16.9500007629;11.0;7;22.0;3;22.1702060699;12.5;4;27.3181540966;
24;1;16.9500007629;11.0;7;22.0;3;22.1954460144;12.5;4;27.4035048485;
25;1;14.9500007629;12.0;8;22.0;3;22.2210521698;12.5;4;27.4899468422;
26;1;13.9500007629;13.0;8;22.0;3;22.2469844818;12.5;4;27.5773453712;
