Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;13.3000001907;4;17.0;1;9.0;10.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;9.0;10.0;5;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;9.0;10.0;5;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;9.0;10.0;5;20.0;
5;2;7.55000019073;9.69999980927;4;18.0;1;10.0;10.0;5;20.0;
6;2;8.7750005722;8.5;3;18.0900000334;1;11.0;10.0;5;20.0;
7;2;9.0702495575;8.5;3;18.1871190071;1;11.0;10.0;5;20.3999996185;
8;2;9.09210205078;8.5;2;18.2917383909;1;11.1199998856;10.1999998093;5;20.7264003754;
9;2;9.11564064026;8.5;2;18.7571438551;1;11.2179203033;10.3632001877;5;20.9903717041;
10;2;9.2203578949;8.67000007629;2;19.1807904243;1;11.2971115112;10.4951858521;5;22.0419120789;
11;2;9.31567764282;8.81392192841;2;19.5693804026;2;11.9125738144;11.0209560394;4;23.9143505096;
12;2;9.40311145782;8.93486309052;2;20.7122055292;2;12.1743059158;11.4571752548;4;24.6414065361;
13;2;9.66024589539;9.39324569702;3;21.7555496693;2;14.9125738144;11.8107032776;5;25.2234597206;
14;2;11.5106239319;9.78903102875;3;22.7047069073;2;16.9125728607;12.0916318893;5;25.6831918955;
15;2;13.5106239319;10.1240053177;3;23.5700800419;2;17.9307479858;12.3113050461;5;26.0429104567;
16;2;15.0206890106;11.4026165009;3;24.3649902344;2;18.9369182587;12.4808797836;5;26.1018965244;
17;2;16.0206890106;11.8721818924;3;25.1037259102;2;19.9431419373;12.5;5;26.1228116751;
18;2;17.0206890106;12.2046327591;3;25.8000462055;2;20.9494171143;12.5;5;26.1438889503;
19;2;18.0206890106;10.9637317657;3;26.3035011292;2;21.8431663513;12.5;6;26.1651208401;
