Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;13.3000001907;4;17.0;1;9.0;10.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;9.0;10.0;5;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;9.0;10.0;5;20.0;
4;1;7.55000019073;10.3000001907;5;17.0;1;9.0;10.0;5;20.0;
5;1;7.55000019073;9.30000019073;5;17.0;1;10.0;10.0;5;20.0;
6;1;8.55000019073;8.5;5;17.0;2;11.3000001907;10.0;4;21.0;
7;1;8.82499980927;8.5;5;17.0;2;11.0;10.0;4;21.4199995995;
8;1;8.82499980927;8.5;5;17.0;2;11.1199998856;10.1999998093;4;22.582596302;
9;1;8.82499980927;8.5;5;17.3400001526;2;11.462720871;10.7712001801;4;23.5632559061;
10;2;8.9015007019;9.06999969482;4;18.6278438568;2;11.7508029938;11.2513370514;4;25.281530261;
11;2;9.1912651062;8.81392192841;3;18.9022262096;2;12.2569313049;12.0948867798;4;26.718762517;
12;2;9.25300121307;8.93486309052;3;19.8625371456;2;14.2569313049;12.797627449;5;27.878485322;
13;2;9.46907043457;9.39324569702;4;20.6990214586;2;16.2569313049;13.3613300323;5;28.7871505022;
14;2;11.2729053497;9.78903102875;4;21.4152549505;2;17.2569313049;13.7992258072;5;29.4833587408;
15;2;13.2729053497;10.1240053177;4;22.0201330185;2;18.2569313049;14.1306209564;5;30.0087018013;
16;2;15.2729053497;10.4026165009;3;22.5257823467;2;19.2569313049;14.3763179779;5;30.2905315161;
17;2;16.3050708771;10.6309299469;3;22.9457235336;2;20.2569313049;14.5;5;30.3254981041;
18;2;17.0206890106;11.3414316177;3;23.2934938669;2;21.2569313049;14.5;6;30.3609485626;
19;2;18.3280448914;10.9637317657;3;23.4190865755;2;22.2569313049;14.5;6;30.3968646526;
