Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
104;10;52.6638450623;134.262039185;31;141.421899319;8;27.75;65.0;20;78.5050239563;
105;10;52.6651687622;136.275314331;31;141.436000109;8;28.75;68.0;20;79.8066670895;
106;10;51.6666564941;141.288513184;30;141.450789809;8;31.75;66.0;20;80.1627942324;
107;10;53.6682815552;140.30166626;30;141.46618104;8;30.75;70.0;20;80.5169148445;
108;10;53.6703224182;139.314743042;32;141.517806768;8;30.75;74.0;20;80.8533711433;
109;10;51.6750297546;144.349182129;33;141.570798397;8;32.75;71.0;20;81.1067928076;
110;10;53.6804351807;143.384094238;36;141.625036597;8;30.75;74.0;20;81.3689972162;
111;10;53.6862258911;142.419448853;37;141.680413961;8;30.75;76.0;20;81.6398499012;
112;10;51.6914291382;147.455184937;37;142.736819506;8;30.75;78.0;19;81.9191708565;
113;12;54.6971473694;147.491317749;34;143.854149342;8;30.75;80.0;17;82.2067327499;
