Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;10.8880004883;14.720000267;4;29.4400005341;1;6.0;12.6999998093;4;21.0;
2;1;10.8880004883;14.720000267;6;29.4400005341;1;7.0;11.6999998093;5;21.0;
3;1;10.8880004883;14.720000267;6;29.4400005341;1;8.0;10.6999998093;5;21.0;
4;1;10.8880004883;14.720000267;6;29.4400005341;1;8.14999961853;10.5;5;21.0;
5;1;11.8880004883;14.720000267;5;29.4400005341;2;8.14999961853;10.6999998093;4;22.0;
6;1;12.8880004883;14.720000267;4;29.4400005341;2;9.375;10.5;4;22.0900000334;
7;1;13.8319997787;14.720000267;4;30.0052490234;2;9.9702501297;10.5;4;22.1871190071;
8;1;14.0015745163;15.0026245117;4;30.3600006104;2;9.99210166931;10.5;3;22.7236096859;
9;1;14.1079998016;15.1800003052;4;31.7808494568;2;10.1128120422;10.7100000381;2;23.1884489059;
10;1;16.00157547;15.8904247284;4;32.8166351318;2;10.2174015045;10.8792181015;2;23.5668647289;
11;1;17.00157547;16.4083175659;4;33.5462684631;2;10.3025445938;11.0;2;25.3486820459;
12;1;18.00157547;16.7731342316;4;34.0400009155;2;10.703453064;11.7700004578;3;26.9087285995;
13;1;19.00157547;17.0200004578;4;34.0400009155;2;12.4187746048;12.4126424789;3;28.2558913231;
14;1;20.00157547;17.0200004578;5;34.0400009155;2;14.4187746048;12.9308347702;3;29.4172105789;
15;1;21.00157547;17.0200004578;6;34.0400009155;2;16.4187736511;13.3366470337;3;30.428994894;
16;1;22.00157547;17.0200004578;6;34.0400009155;2;17.6553955078;13.6469516754;3;31.3293325901;
17;1;22.2119998932;17.0200004578;7;34.0400009155;2;18.7531986237;13.879781723;3;32.049197197;
18;1;22.2119998932;17.0200004578;7;34.0400009155;2;19.8610706329;14.0;3;32.573600769;
19;1;22.2119998932;17.0200004578;8;34.0400009155;2;20.9790611267;14.0;3;33.1419348717;
20;1;22.2119998932;17.0200004578;8;34.0400009155;2;21.4569339752;14.0;3;33.7516689301;
21;1;22.2119998932;17.0200004578;9;34.0400009155;2;21.5941238403;14.0;3;34.3986358643;
22;1;22.2119998932;17.0200004578;9;34.0400009155;2;21.739692688;14.0;3;35.0769786835;
23;1;22.2119998932;17.0200004578;10;34.0400009155;2;21.8923187256;14.0;4;35.7792286873;
24;1;22.2119998932;17.0200004578;10;34.0400009155;2;22.0503253937;14.0;4;36.4965333939;
25;1;22.2119998932;17.0200004578;10;34.0400009155;2;22.2117195129;14.0;5;37.2190332413;
26;1;22.2119998932;17.0200004578;11;34.0400009155;2;22.3742828369;14.0;5;37.9363632202;
27;1;22.2119998932;17.0200004578;12;34.0400009155;2;22.5356807709;14.0;5;38.6382322311;
28;1;22.2119998932;17.0200004578;12;34.0400009155;2;22.6936016083;14.0;5;39.3150119781;
29;1;22.2119998932;17.0200004578;13;34.0400009155;2;22.8458766937;14.0;5;39.9582691193;
30;1;22.2119998932;17.0200004578;13;34.0400009155;2;20.9906101227;15.0;5;40.5611724854;
31;1;22.2119998932;17.0200004578;14;34.0400009155;3;21.1262626648;16.5;4;42.1187410355;
32;1;22.2119998932;17.0200004578;14;34.0400009155;3;21.2517166138;17.0;4;42.7879134417;
33;1;22.2119998932;17.0200004578;14;34.0400009155;3;20.6272792816;18.0;5;43.4312025309;
34;1;22.2119998932;17.0200004578;15;34.0400009155;3;19.7720184326;19.0;6;44.0518856049;
35;1;22.2119998932;17.0200004578;16;34.0400009155;3;19.6116752625;20.0;6;44.654701829;
36;1;22.2119998932;17.0200004578;16;34.0400009155;3;19.7473087311;21.0;7;45.2454574108;
37;1;22.2119998932;17.0200004578;17;34.0400009155;3;19.8802280426;22.0;7;45.8306019306;
38;1;22.2119998932;17.0200004578;16;34.0400009155;3;20.0118865967;23.0;7;46.4168126583;
39;1;22.2119998932;17.0200004578;16;34.0400009155;3;20.143781662;24.0;6;47.0105862617;
40;1;22.2119998932;18.0200004578;17;34.0400009155;3;20.277381897;25.0;7;47.544028759;
41;1;22.2119998932;19.0200004578;17;34.0400009155;3;20.3974075317;26.0;7;48.0209121704;
42;1;22.2119998932;20.0200004578;17;34.0400009155;3;20.5047054291;27.0;8;48.5427899361;
43;1;22.2119998932;21.0200004578;18;34.0400009155;3;21.622127533;25.0;7;49.1086950302;
44;1;22.2119998932;22.0200004578;17;34.0400009155;3;20.7494564056;26.0;7;49.7161855698;
45;1;22.2119998932;22.0200004578;17;34.0400009155;3;21.8861427307;26.0;7;50.3611893654;
46;1;22.2119998932;22.0200004578;18;34.0400009155;3;23.0312690735;27.0;6;51.0379443169;
47;1;22.2119998932;22.0200004578;18;34.0400009155;3;22.6000003815;28.0;6;51.7390680313;
48;1;22.2119998932;22.0200004578;19;34.0400009155;3;24.6000003815;29.0;6;52.4557781219;
49;1;22.2119998932;22.0200004578;20;34.0400009155;3;26.5025501251;30.0;6;53.1782588959;
50;1;22.2119998932;22.0200004578;20;34.0400009155;3;27.6651077271;29.0;8;53.8961582184;
