Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
57;4;28.2212905884;29.0053749084;16;46.0248718262;3;21.8999996185;25.0;12;44.0;
58;4;29.2212905884;30.9862117767;18;46.319203496;3;20.8999996185;26.0;12;44.0;
59;4;29.2212905884;32.9687957764;18;46.6128869057;3;19.8999996185;27.0;13;44.0;
60;4;29.2212905884;34.9530296326;17;46.9082516432;3;18.8999996185;28.0;13;44.0;
61;4;28.4601821899;36.9388122559;18;47.2033531666;3;17.8999996185;29.0;14;44.0;
62;4;27.5712909698;38.6667556763;20;47.3947836161;3;17.6000003815;30.0;16;44.0;
63;4;26.5712909698;39.7573013306;20;47.6072707176;3;17.6000003815;31.0;16;44.0;
64;4;26.3500003815;40.8572807312;20;49.3028359413;3;17.6000003815;32.0;16;44.0;
65;4;26.5052490234;41.957988739;20;51.6068148613;3;17.6000003815;33.0;17;45.0;
66;4;27.6447067261;44.0727081299;21;52.707051754;4;18.6000003815;35.0;16;45.0;
67;5;28.7695198059;46.2018890381;20;53.1729435921;4;19.6000003815;37.0;16;45.0;
68;5;28.7999992371;46.8764648438;20;53.6294136047;4;19.6000003815;39.0;16;45.0;
69;5;29.7999992371;46.8764648438;20;54.0911916494;4;19.6000003815;41.0;17;46.3399996758;
70;5;29.7999992371;47.8764648438;24;54.5820491314;4;18.6000003815;41.0;16;47.3984360695;
71;5;28.7999992371;50.538066864;24;55.100643158;4;20.6000003815;39.72813797;16;48.2272802591;
72;5;28.7999992371;52.5861358643;25;55.6449911594;4;19.6000003815;39.7424087524;17;48.6337803602;
73;6;28.7999992371;54.0251617432;24;57.2124632597;4;21.6000003815;37.7568054199;17;48.9085772038;
74;6;29.7999992371;56.2861976624;24;57.9831314087;5;21.0;37.7713279724;13;60.1228116751;
75;6;30.7999992371;59.4999237061;24;58.8013061285;5;22.0;39.7859687805;14;60.7038888931;
76;6;30.7999992371;62.7182006836;26;59.667265296;6;24.0;42.8007202148;15;61.2605845928;
77;7;31.7999992371;62.9390640259;25;60.5812901258;6;25.2526664734;45.8155860901;15;61.7898775339;
78;7;30.7999992371;66.160446167;28;61.5437114239;6;26.0;48.8305511475;15;62.2897588015;
79;7;30.7999992371;68.3802185059;28;62.5549070835;6;26.993391037;51.8456115723;17;62.7591998577;
80;7;31.7999992371;64.7611618042;29;63.6152226925;6;24.7948303223;54.5259094238;17;63.1980634928;
81;8;30.7999992371;64.8341293335;27;64.7247972488;6;23.8717060089;56.5788612366;16;63.6069768667;
