Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.3999996185;16.0;4;32.0;2;6.0;12.8999996185;3;22.0;
2;1;11.3999996185;16.0;6;32.0;2;7.15000009537;11.6999998093;3;22.0900000334;
3;1;11.3999996185;16.0;6;32.0;2;8.16349983215;10.6999998093;3;22.1871190071;
4;1;11.3999996185;16.0;6;32.0;2;8.32806777954;10.5;3;22.2917383909;
5;1;12.3999996185;16.0;5;32.0;2;8.34376049042;10.5;3;22.4042263031;
6;1;13.3999996185;16.0;5;32.0;2;9.46595096588;10.5;3;22.5249304771;
7;1;14.3999996185;16.0;5;32.6399993896;2;10.0681095123;10.5;3;22.6541694403;
8;1;14.7919998169;16.3199996948;4;33.0;2;10.0971889496;10.5;3;23.2287653685;
9;1;14.8999996185;16.5;4;34.6500015259;2;10.2264719009;10.7100000381;3;23.7334493399;
10;1;16.7919998169;17.3250007629;4;35.8107757568;2;10.3400268555;10.8792181015;3;24.1532578468;
11;1;17.7919998169;17.9053878784;4;36.5947532654;2;10.4344825745;11.0;3;26.0129473209;
12;1;18.7919998169;18.2973766327;4;37.0;2;10.8529129028;11.7700004578;3;27.6574776173;
13;1;19.7919998169;18.5;5;37.0;2;12.5872430801;12.4126424789;3;29.0951218605;
14;1;20.7919998169;18.5;5;37.0;2;14.5872430801;12.9308347702;3;30.3518810272;
15;1;21.7919998169;18.5;6;37.0;2;16.5872421265;13.3366470337;4;31.4625301361;
16;1;22.7919998169;18.5;6;37.0;3;17.8879413605;13.6469516754;3;32.4630823135;
17;1;23.1000003815;18.5;6;37.0;3;19.0082912445;13.879781723;3;33.2818861008;
18;1;23.1000003815;18.5;7;37.0;3;20.138425827;14.0;3;33.9008235931;
