Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
7;1;12.0;10.0;6;20.0;1;9.5;10.0;5;20.0;
8;1;13.0;10.0;6;20.3999996185;1;9.5;10.0;5;20.3999996185;
9;1;14.0;10.1999998093;6;20.7264003754;1;9.59000015259;10.1999998093;5;20.7264003754;
10;1;14.3268795013;10.3632001877;6;21.8194274902;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;14.8187427521;11.2097139359;5;23.7316036224;2;9.72283363342;10.6951856613;4;23.0419120789;
12;2;15.6792221069;11.3658018112;5;24.5045616627;2;10.184431076;11.0209560394;5;24.004350543;
13;2;18.268743515;11.7372808456;5;25.1279890537;2;11.9680833817;11.4571752548;5;24.8085255623;
14;2;20.268743515;12.0336990356;5;25.6242921352;2;13.9680833817;11.8107032776;5;25.4750021696;
15;2;21.3100376129;12.2662630081;5;26.0160515308;2;15.9680833817;12.0916318893;5;26.0268363953;
16;2;22.3243255615;12.446267128;5;26.1558350325;2;17.0387840271;12.3113050461;5;26.4866900444;
17;2;23.3388690948;12.5;4;26.1887089014;2;18.0659427643;12.4808797836;5;26.6541694403;
18;2;24.3536624908;12.5;5;26.2221269608;2;19.0950222015;12.5;5;26.7922235727;
