Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;4;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;4;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.0;4;20.0;1;8.0;10.0;5;20.0;
5;1;10.0;10.0;4;20.0;1;8.0;10.0;5;20.0;
6;1;11.0;10.0;3;20.0;1;9.0;10.0;5;20.0;
7;1;12.0;10.0;3;20.0;1;9.5;10.0;5;20.0;
8;1;13.0;10.0;3;20.3999996185;1;9.5;10.0;5;20.3999996185;
9;1;14.0;10.1999998093;3;20.7264003754;1;9.59000015259;10.1999998093;5;20.7264003754;
10;1;14.3268795013;10.3632001877;3;21.8194274902;2;9.66343975067;10.5631999969;4;21.9903717041;
11;1;14.8187427521;10.9097137451;3;22.7316036224;2;9.94783401489;10.4951858521;4;23.1719120741;
12;1;15.2292222977;11.3658018112;3;23.4745616913;2;10.2136802673;11.0209560394;5;24.1897815466;
13;1;16.8187427521;11.7372808456;3;24.0673980713;2;12.0098056793;11.4571752548;5;25.0591306686;
14;1;17.8187427521;12.0336990356;4;24.5325260162;2;14.0098056793;11.8107032776;5;25.8015987873;
15;1;18.8187427521;12.2662630081;4;24.892534256;2;16.0098056793;12.0916318893;5;26.441321969;
16;1;19.8187427521;12.446267128;5;25.0;2;17.1320438385;12.3113050461;5;27.0020139217;
17;1;20.8187427521;12.5;5;25.0;2;18.1818904877;12.4808797836;4;27.2842636108;
18;1;21.8187427521;12.5;6;25.0;2;19.2367935181;12.5;4;27.5518820286;
19;1;22.8187427521;12.5;7;25.0;2;20.1991729736;12.5;5;27.8440244198;
20;1;23.25;12.5;7;25.0;2;20.2649059296;12.5;5;28.1613030434;
21;1;23.25;12.5;7;25.0;2;20.3362922668;12.5;5;28.5039470196;
22;1;23.25;12.5;8;25.0;2;20.4133872986;12.5;5;28.871723175;
23;1;23.25;12.5;9;25.0;2;20.496137619;12.5;6;29.263862133;
24;1;23.25;12.5;9;25.0;2;20.5843696594;12.5;6;29.6789975166;
25;1;23.25;12.5;9;25.0;2;20.6777744293;12.5;6;30.1151270866;
26;1;21.25;13.5;9;25.0;2;20.7759037018;12.5;7;30.5695996284;
27;1;20.25;14.5;9;25.0;2;20.8781604767;12.5;7;31.0391392708;
28;1;19.25;15.5;9;25.0;2;20.9838066101;12.5;7;31.5199065208;
29;1;18.25;16.5;9;25.0;2;21.0919799805;12.5;6;32.007601738;
30;1;17.25;17.5;9;25.0;2;21.2017097473;12.5;6;32.4976010323;
31;1;16.25;18.5;10;25.0;3;19.625;13.5;5;32.9851250648;
32;1;15.25;19.5;10;25.0;3;20.625;12.5;5;33.465420723;
33;1;14.25;20.5;10;25.0;3;19.625;13.5;5;33.9339466095;
34;1;13.25;21.5;10;25.0;3;20.625;12.5;5;34.3865451813;
35;1;12.25;22.5;10;25.0;3;21.625;12.5;5;34.8195896149;
36;1;12.0;23.5;10;25.0;3;21.8344078064;12.5;5;35.2300891876;
37;1;12.0;24.5;11;25.0;3;21.9267692566;12.5;5;35.6157541275;
38;1;12.0;25.5;10;25.0;3;19.9267692566;13.5;5;35.9750175476;
39;2;13.0;27.2000007629;10;26.0;3;20.9267692566;12.5;5;37.307009697;
40;2;14.0;27.5;10;26.0499999523;3;20.625;14.0;5;37.7015064955;
