Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
19;2;25.3994865417;12.5;4;26.3255085945;1;17.625;12.5;5;25.0;
20;2;25.8464794159;12.5;4;26.3609591722;1;17.625;12.5;5;25.0;
21;2;25.8624305725;12.5;4;26.3968753815;1;17.625;12.5;7;25.0;
22;2;25.8785934448;12.5;5;26.4332377911;1;17.625;12.5;7;25.0;
23;3;25.8949565887;12.5;5;26.4700255394;1;17.625;12.5;7;25.0;
24;3;25.9115104675;12.5;5;26.5072168112;1;17.625;12.5;8;25.0;
25;3;23.9282474518;13.5;5;26.5447884798;1;17.625;12.5;8;25.0;
26;3;22.9451541901;14.5;5;26.5827163458;1;17.625;12.5;8;25.0;
27;3;21.962223053;15.5;5;26.6209751368;1;17.625;12.5;8;25.0;
28;3;20.9794387817;16.5;5;26.6595385075;1;17.625;12.5;8;25.0;
29;3;19.9967918396;17.5;5;26.6983793974;1;17.625;12.5;8;25.0;
30;3;19.0142707825;18.5;5;26.7374696732;1;15.625;13.5;8;25.0;
31;3;18.0318603516;19.5;6;26.7767804861;1;14.625;14.5;8;25.0;
32;3;17.0495510101;20.5;6;26.8162822723;1;13.625;15.5;8;25.0;
33;3;16.0673274994;21.5;7;26.8559447527;1;12.625;16.5;8;25.0;
34;3;15.0851745605;22.5;7;26.8957372904;1;12.0;17.5;8;25.0;
35;3;14.8530817032;23.5;8;26.9356285334;1;12.0;18.5;8;25.0;
36;3;14.8710327148;24.5;8;26.9755871296;1;12.0;19.5;9;25.0;
37;3;14.8890142441;25.5;8;27.015581131;1;12.0;20.5;9;25.0;
38;3;14.9070110321;26.5;8;27.0555787086;1;12.0;21.5;9;25.0;
39;3;14.9250106812;27.5;8;27.0955479145;1;12.0;22.5;9;25.0;
40;3;14.9429969788;28.5;10;27.135456562;1;12.0;23.5;9;25.0;
41;3;14.9609556198;29.5;10;27.17527318;1;12.0;24.5;10;25.0;
42;3;15.9788722992;27.5;10;27.2149660587;1;13.0;22.5;10;25.0;
43;3;14.9967346191;28.5;12;27.2545039654;1;12.0;23.5;10;25.0;
44;3;16.0145263672;27.5;12;27.293856144;1;12.0;24.5;11;25.0;
45;3;16.0;27.5;12;27.3329925537;1;13.0;22.5;10;25.0;
46;3;18.0;27.5;14;27.3718836308;1;12.0;23.5;11;25.0;
47;3;19.0673484802;27.5;18;27.4105007648;1;12.0;24.5;11;25.0;
48;4;19.0;27.5;13;37.4488155842;2;13.0;22.5;11;33.0;
49;4;21.0;28.5;13;37.886800766;2;15.0;22.5;11;33.2399997711;
50;4;24.0;27.5;13;38.2988312244;2;17.0;22.5;12;33.467423439;
51;4;24.0;28.5;13;38.683619976;2;18.0;22.5;12;33.6818675995;
52;4;26.0;27.5;13;39.0405611992;3;20.0;23.0;12;34.8831243515;
53;4;26.0;28.5;13;39.3696625233;3;19.0;24.5;11;35.2011688948;
54;4;28.0;28.5;13;39.6714553833;3;19.0;23.5;11;35.5215677023;
55;4;28.4519100189;29.5;15;39.9468996525;3;19.0;23.5;11;35.8460254669;
56;4;27.25;31.5;14;40.1972825527;3;18.0;23.5;11;36.1763880253;
57;4;28.25;31.5;12;40.4241216183;4;19.0;24.5;10;36.5145870447;
58;5;27.25;33.5;11;40.6290795803;4;20.0;25.5;10;36.8625762463;
59;5;27.25;35.4669342041;11;40.8138921261;4;21.0;27.5;10;37.2222604752;
60;5;27.25;36.4903411865;11;40.8762321472;4;21.625;29.5;10;37.5518820286;
