Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;2;6.0;14.3000001907;3;21.0;1;6.0;12.0;4;20.0;
2;2;7.30000019073;13.0;3;21.0299999714;1;7.0;11.0;5;20.0;
3;2;8.30900001526;12.0;3;21.0605909824;1;8.0;10.0;6;20.0;
4;2;9.31817722321;11.0;3;21.091766119;2;8.0;10.1999998093;5;21.0;
5;2;10.3275299072;10.0;3;21.1235172749;2;8.14999961853;10.0;5;21.0299999714;
6;2;11.5055828094;10.0;3;21.1558350325;2;9.23174953461;10.0;5;21.0605909824;
7;2;12.5201253891;10.0;3;21.1887089014;2;9.73863315582;10.0;5;21.091766119;
8;2;13.5349187851;10.0;3;21.6340136528;2;9.74564743042;10.0;5;21.534434557;
9;2;14.5553064346;10.1999998093;3;22.0068871975;2;9.84524822235;10.1999998093;5;21.9046876431;
10;2;14.9030990601;10.3632001877;3;23.1603471041;2;9.92855453491;10.3632001877;5;22.2136896849;
11;2;15.4221563339;10.9097137451;3;24.1349977255;2;9.9980802536;10.4951858521;5;23.3236640692;
12;2;15.8607492447;11.3658018112;3;24.9424642324;2;10.2478246689;11.0209560394;5;24.2565786839;
13;2;18.4502696991;11.7372808456;3;25.601827383;2;10.4577302933;11.4571752548;5;25.0261526108;
14;2;20.4502696991;12.0336990356;3;26.1354763508;2;12.4577302933;11.8107032776;5;25.6525614262;
15;2;21.5400695801;12.2662630081;4;26.565967083;2;14.4577312469;12.0916318893;5;26.1584771872;
16;3;22.5717868805;12.446267128;4;26.7458350658;2;15.5012989044;12.3113050461;5;26.5661897659;
17;3;23.6043682098;12.5;4;26.8201057911;2;16.5167255402;12.4808797836;5;26.6749540567;
18;3;24.6377906799;12.5;4;26.8961843252;2;17.5325946808;12.5;5;26.7473965883;
19;3;25.6720256805;12.5;4;26.9740002155;2;18.5488929749;12.5;6;26.8217064142;
20;3;26.138299942;12.5;4;27.0534734726;2;19.565612793;12.5;6;26.8978226185;
21;3;26.1740627289;12.5;4;27.1345143318;2;20.0520095825;12.5;5;26.9756746292;
22;3;26.2105312347;12.5;4;27.2170236111;2;19.625;13.0927028656;5;27.0551822186;
23;3;26.2476615906;12.5;4;27.3008930683;2;19.625;13.1165542603;5;27.1362555027;
24;3;26.285402298;12.5;4;27.38600564;2;20.1056575775;12.5;6;27.2187950611;
25;3;25.25;13.5;4;27.4722356796;4;20.1242294312;12.5;4;27.3026921749;
26;3;26.25;12.5;4;27.559450388;4;20.1431064606;12.5;4;27.3878297806;
27;3;25.25;13.5;4;27.6475095749;4;20.1622619629;12.5;4;27.4740822315;
28;3;25.25;14.3532562256;4;27.7362670898;4;20.1816692352;12.5;4;27.5613162518;
29;3;25.25;14.4153871536;4;27.825571537;4;19.625;13.2683944702;4;27.6493918896;
30;3;24.25;13.5;5;27.9152672291;4;20.221113205;12.5;4;27.7381625175;
31;3;24.561870575;15.1999998093;4;29.0051953793;4;19.625;13.5;4;27.8274769783;
32;3;24.6023368835;15.5;4;29.1251950264;4;19.625;13.9137382507;4;27.9171793461;
33;3;24.106338501;16.5;4;29.2456953526;4;20.2813644409;12.5;4;28.0071108341;
34;3;23.1605625153;17.5;4;29.3665277958;4;20.3015995026;12.5;4;28.0971102715;
35;3;22.2149372101;18.5;3;29.4875240326;4;20.321849823;12.5;5;28.1870160103;
36;3;21.2693862915;19.5;3;29.6085168123;4;20.3420791626;12.5;5;28.2766661644;
37;3;20.3238334656;20.5;5;29.7293413877;4;19.625;13.5;5;28.3659007549;
38;3;19.3782043457;21.5;6;29.8498365879;4;19.625;14.1829500198;5;28.4545619488;
39;4;18.7999572754;21.5;5;29.9698455334;4;20.4022769928;12.5;6;28.5424957275;
40;4;20.25;22.5;7;30.0892167091;4;19.625;13.5;6;28.6295526028;
41;4;20.25;23.5;7;30.2078046799;4;20.4416503906;12.5;6;28.7155892849;
42;4;21.8464794159;25.5;7;30.3254708052;4;20.4610080719;12.5;6;28.8004686832;
43;4;23.25;27.5;9;30.4420843124;4;19.625;13.5;6;29.8840610981;
44;4;23.25;29.4778137207;9;30.5575220585;4;21.4989128113;13.0;6;30.0962454081;
45;4;24.8949565887;29.5;9;30.6716694832;4;19.625;15.0649995804;7;30.333640337;
46;4;25.25;31.4411506653;10;30.7844213247;4;18.625;17.14336586;8;30.5891327858;
47;4;27.25;29.4962024689;9;30.8956805468;4;20.8825550079;20.14336586;8;30.8645237684;
48;4;29.207901001;28.5813522339;9;31.0053595304;4;20.625;23.14336586;9;31.1616355181;
49;4;29.2401885986;28.6079025269;11;31.1133791208;4;22.5877285004;26.14336586;9;31.4822580814;
50;4;27.25;29.6346817017;10;31.2196695805;4;23.0835094452;27.14336586;8;31.8280787468;
51;4;28.9967918396;27.5;11;31.3241704702;4;22.6204338074;28.14336586;10;32.2005972862;
52;4;29.25;28.5;11;31.4268288612;6;23.2451343536;27.5;6;52.601026535;
53;4;29.3602104187;28.7162284851;11;31.5276001692;6;24.3352298737;28.5;7;54.2301802635;
