Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;4;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;4;20.0;1;8.0;10.0;6;20.0;
4;1;9.0;11.0;4;20.0;1;8.0;10.0;6;20.0;
5;1;10.0;10.0;4;20.0;1;8.0;10.0;6;20.0;
6;1;11.0;10.0;4;20.0;1;9.0;10.0;6;20.0;
7;1;12.0;10.0;4;20.0;1;9.5;10.0;6;20.0;
8;1;13.0;10.0;4;20.3999996185;1;9.5;10.0;6;20.3999996185;
9;1;14.0;10.1999998093;4;20.7264003754;1;9.59000015259;10.1999998093;6;20.7264003754;
10;2;14.3268795013;10.6632003784;3;22.8194274902;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;15.2687425613;10.9097137451;2;23.7616035938;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;15.6927223206;11.3658018112;2;24.5351526737;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;18.2822418213;11.7372808456;2;25.1591641903;1;10.1557292938;11.4571752548;5;23.6214065552;
14;2;20.2822418213;12.0336990356;2;25.6560432911;1;10.3148164749;11.8107032776;5;24.1832637787;
15;2;21.3243255615;12.2662630081;3;26.0483692884;1;11.3148164749;12.0916318893;5;24.6226100922;
16;3;22.3388690948;12.446267128;2;26.1887089014;1;12.3148164749;12.3113050461;5;24.9617595673;
17;3;22.8187427521;12.5;2;26.2221269608;1;12.6163959503;12.4808797836;5;25.0;
18;3;24.3687000275;12.5;2;26.2560760975;1;14.3148164749;12.5;5;25.0;
19;3;25.3839759827;12.5;2;26.2905418873;1;15.3148164749;12.5;6;25.0;
20;3;25.8307437897;12.5;2;26.3255085945;1;16.3148155212;12.5;6;25.0;
21;3;25.8464794159;12.5;3;26.3609591722;1;17.3148155212;12.5;6;25.0;
22;3;25.8624305725;12.5;3;26.3968753815;1;17.625;12.5;6;25.0;
23;3;25.8785934448;12.5;3;26.4332377911;1;17.625;12.5;6;25.0;
24;4;25.8949565887;12.5;2;26.4700255394;1;17.625;12.5;6;25.0;
25;4;23.25;13.5;2;26.5072168112;1;17.625;12.5;7;25.0;
26;4;24.25;13.5;2;26.5447884798;1;17.625;12.5;7;25.0;
27;4;25.25;13.5813522339;3;26.5827163458;1;17.625;12.5;7;25.0;
28;5;25.25;13.6079015732;2;26.6209751368;1;17.625;12.5;7;25.0;
29;5;25.25;13.6346826553;2;26.6595385075;1;17.625;12.5;7;25.0;
30;5;23.9967918396;13.5;2;26.6983793974;1;17.625;12.5;7;25.0;
31;5;23.0142707825;14.5;2;26.7374696732;1;17.625;12.5;7;25.0;
32;5;23.25;13.5;2;26.7767804861;1;17.625;12.5;7;25.0;
33;5;22.0495510101;13.5;2;26.8162822723;1;17.625;12.5;7;25.0;
34;5;22.25;13.5;2;27.8559447527;1;17.625;12.5;7;25.0;
35;5;22.0851745605;13.5;2;27.9457372427;1;17.625;12.5;7;25.0;
36;5;22.1030807495;14.5;2;28.0376034975;1;17.625;12.5;7;25.0;
37;5;22.25;14.2713823318;2;28.1315370798;1;17.625;12.5;8;25.0;
38;5;23.25;14.6920757294;2;28.2275258303;1;17.625;12.5;8;25.0;
39;5;24.795375824;17.6920776367;2;29.3255519867;1;17.625;12.5;8;25.0;
40;5;27.7464981079;21.6920776367;2;29.4755911827;1;17.625;12.5;8;25.0;
