Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;1;11.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
7;1;12.0;10.0;6;20.0;1;9.5;10.0;5;20.0;
8;1;13.0;10.0;6;20.3999996185;1;9.5;10.0;5;20.3999996185;
9;1;14.0;10.1999998093;6;20.7264003754;1;9.59000015259;10.1999998093;5;20.7264003754;
10;1;14.3268795013;10.3632001877;6;21.8194274902;1;9.66343975067;10.3632001877;4;20.9903717041;
11;1;14.8187427521;10.9097137451;6;22.7316036224;2;9.72283363342;10.6951856613;3;23.0419120789;
12;1;15.2292222977;11.3658018112;5;23.4745616913;2;10.184431076;11.0209560394;4;24.0443505049;
13;1;16.8187427521;11.7372808456;5;24.0673980713;2;11.9770832062;11.4571752548;4;24.8968375921;
14;1;17.8187427521;12.0336990356;5;24.5325260162;2;13.9770832062;11.8107032776;4;25.6209878922;
15;1;18.8187427521;12.2662630081;5;24.892534256;2;15.9770832062;12.0916318893;4;26.2409451008;
16;1;19.8187427521;12.446267128;5;25.0;2;17.0869598389;12.3113050461;4;26.7804714441;
17;1;20.8187427521;12.5;5;25.0;2;18.1320438385;12.4808797836;4;27.0402543545;
18;1;21.8187427521;12.5;4;25.0;2;19.1818904877;12.5;4;27.2842636108;
19;1;22.8187427521;12.5;3;25.0;2;20.1389598846;12.5;5;27.5518820286;
