Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;2;6.0;12.1999998093;3;21.0;
2;1;7.0;13.0;6;20.0;2;7.15000009537;11.0;3;21.0599999428;
3;1;8.0;12.0;6;20.0;2;8.15900039673;10.0;2;21.1229639053;
4;1;9.0;11.0;6;20.0;2;8.16844463348;10.0;2;21.1889609098;
5;2;10.0;10.3000001907;5;21.0;2;8.17834377289;10.0;2;21.2580518723;
6;2;11.4499998093;10.0;5;21.1200000048;2;9.2830619812;10.0;2;21.3302885294;
7;2;12.5039997101;10.0;5;21.2530560493;2;9.7993144989;10.0;2;21.4057120085;
8;2;13.5638751984;10.0;5;21.8127820492;2;9.81628513336;10.0;2;21.8984082937;
9;2;14.6357517242;10.1999998093;4;22.3170127869;2;9.92714214325;10.1999998093;2;22.3222295046;
10;2;15.0426549911;10.3632001877;4;23.6710497141;2;10.0225009918;10.3632001877;2;22.688400507;
11;2;15.6519727707;10.9097137451;4;24.8822329044;2;10.1048898697;10.4951858521;2;23.8809107542;
12;2;16.1970062256;11.3658018112;4;25.9660522938;2;10.3732051849;11.0209560394;2;24.9034298658;
13;2;18.7865257263;11.7372808456;3;26.945281744;2;12.1703767776;11.4571752548;2;25.7698295116;
14;2;20.7865257263;12.0336990356;3;27.8456065655;2;14.1703767776;11.8107032776;2;26.500371933;
15;2;22.3096294403;12.2662630081;2;28.692204237;2;16.170375824;12.0916318893;4;27.1177392006;
16;2;23.5285949707;12.446267128;2;29.3392357826;2;17.284236908;12.3113050461;5;27.6441450119;
17;2;24.7713985443;12.5;1;29.9320087433;2;18.3263702393;12.4808797836;5;27.878672123;
18;2;26.0381469727;12.5;2;30.576523304;2;19.3705348969;12.5;6;28.0836718082;
19;2;27.3281784058;12.5;2;31.2693214417;2;20.3188266754;12.5;5;28.2969486713;
20;2;28.0711936951;12.5;2;32.004755497;2;20.3668136597;12.5;5;28.5179448128;
21;2;28.4021396637;12.5;2;32.7749452591;2;20.4165382385;12.5;5;28.7459800243;
22;2;28.7487258911;12.5;2;33.569937706;2;20.4678459167;12.5;6;28.9802544117;
23;2;29.1064720154;12.5;2;34.3780879974;2;20.5205574036;12.5;5;29.2198557854;
24;2;27.1064720154;13.5;2;35.1866588593;2;20.5744667053;12.5;4;29.4637694359;
25;2;26.1064720154;14.5;3;35.9825773239;2;20.6293487549;12.5;5;29.7108941078;
26;2;25.1064720154;13.5;3;36.7532711029;2;20.6849517822;12.5;5;29.9600582123;
27;2;25.1064720154;14.5;3;37.4874658585;2;20.7410125732;12.5;5;30.2100424767;
28;2;25.1064720154;15.5;3;38.1758413315;2;20.7972602844;12.5;5;30.4596014023;
29;2;24.1064720154;14.5;3;38.8114652634;2;20.8534107208;12.5;5;30.7074890137;
30;2;24.1064720154;14.5;3;39.38996315;2;19.625;13.5;5;30.952483654;
