Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;2;6.0;14.5;3;21.0;1;6.0;12.0;4;20.0;
2;2;7.30000019073;13.0;2;21.0399999619;1;7.0;11.0;5;20.0;
3;2;8.31200027466;12.0;2;21.0811839104;1;8.0;10.0;6;20.0;
4;2;9.32435512543;11.0;2;21.1235535145;1;8.0;10.0;6;20.0;
5;2;10.3370656967;10.0;2;21.1671074629;1;8.0;10.0;6;20.0;
6;2;11.5251979828;10.0;2;21.211841464;1;9.0;10.0;6;20.0;
7;2;12.5453290939;10.0;2;21.2577478886;1;9.5;10.0;6;20.0;
8;2;13.5659866333;10.0;2;21.7173930407;1;9.5;10.0;6;20.3999996185;
9;2;14.5928268433;10.1999998093;2;22.1054821014;1;9.59000015259;10.1999998093;6;20.7264003754;
10;2;14.9474658966;10.3632001877;2;23.2898170948;1;9.66343975067;10.3632001877;6;20.9903717041;
11;2;15.4804182053;10.9097137451;2;24.298003912;2;9.72283363342;10.6951856613;5;23.0419120789;
12;2;15.9341020584;11.3658018112;2;25.1417379379;2;10.184431076;11.0209560394;5;24.004350543;
13;2;18.5236225128;12.5708684921;2;25.8401536942;2;10.4009790421;11.4571752548;5;24.8085255623;
14;2;19.8187427521;12.9200773239;2;26.4156755209;2;10.5819187164;11.8107032776;5;25.4750021696;
15;2;20.8187427521;13.2078380585;3;26.8908731937;2;12.5819187164;12.0916318893;5;26.0268363953;
16;3;21.8187427521;13.4454364777;3;27.118272543;2;14.5819187164;12.3113050461;5;26.4866900444;
17;3;22.8187427521;13.5591363907;3;27.2428636551;2;14.9595050812;12.4808797836;5;26.6541694403;
18;3;23.8187427521;13.8457183838;3;27.3719882965;2;16.6870040894;12.5;5;26.7922235727;
19;3;24.8187427521;13.9231929779;4;27.5054841042;2;17.7180671692;12.5;6;26.9393253326;
20;3;25.25;14.0032901764;5;27.6431484222;2;18.7511634827;12.5;6;27.0956480503;
21;3;25.25;14.0858888626;6;27.7847380638;2;19.7863368988;12.5;6;27.261295557;
22;3;25.25;14.1708431244;6;27.9299695492;2;20.1337909698;12.5;5;27.4362905025;
23;3;25.25;14.257982254;6;28.0785198212;2;20.1731643677;12.5;5;27.6205644608;
24;3;25.25;14.347111702;7;28.2300286293;2;20.2146263123;12.5;6;27.8139474392;
25;3;24.25;13.5;7;28.3840999603;3;20.2581386566;12.5;5;28.016159296;
26;3;23.7728443146;14.5;7;28.5403065681;3;20.3036365509;12.5;5;28.2268030643;
27;3;22.8431377411;15.5;7;28.6981933117;3;19.625;13.4680404663;5;28.445360899;
28;3;21.9141864777;16.5;7;28.8572824001;3;19.625;13.5336084366;5;28.6711919308;
29;3;20.9857769012;17.5;7;29.0170788765;3;20.4510192871;12.5;5;28.9035346508;
30;3;20.0576858521;18.5;7;29.1770758629;3;20.5032958984;12.5;5;29.141512394;
31;3;19.1296844482;19.5;7;29.3367624283;3;20.5568408966;12.5;5;29.3841423988;
32;3;18.201543808;20.5;8;29.4956283569;3;20.6114311218;12.5;5;29.6303496361;
33;3;17.2730331421;21.5;8;29.6531720161;3;19.625;13.5;5;29.8789830208;
34;3;16.3439273834;22.5;8;29.8089056015;3;19.625;14.5;6;30.1288366318;
35;3;16.1640071869;23.5;8;29.9623622894;3;20.625;12.5;6;30.3786706924;
36;3;16.2330627441;24.5;8;30.1131010056;3;19.625;13.5;6;30.6272368431;
