Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;10.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;2;11.0;10.3000001907;5;21.0;1;9.0;10.0;5;20.0;
7;2;12.4499998093;10.0;5;21.0599999428;1;9.5;10.0;5;20.0;
8;2;13.4770002365;10.0;5;21.5335636139;1;9.5;10.0;5;20.3999996185;
9;2;14.5101041794;10.1999998093;5;21.9377998114;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;14.8720092773;10.3632001877;5;23.1372920275;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;15.411781311;10.9097137451;5;24.1638869047;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;15.873749733;11.3658018112;5;25.029558897;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;18.4632701874;11.7372808456;5;25.7537147999;1;10.1557292938;11.4571752548;5;23.6214065552;
14;2;20.4632701874;12.0336990356;5;26.3590377569;1;10.3148164749;11.8107032776;5;24.1832637787;
15;2;21.6406726837;12.2662630081;5;26.8683357239;1;11.3148164749;12.0916318893;5;24.6226100922;
16;2;22.7078533173;12.446267128;5;27.1343436241;1;12.3148164749;12.3113050461;5;24.9617595673;
17;2;23.7791976929;12.5;5;27.3022236824;1;12.6163959503;12.4808797836;5;25.0;
18;2;24.8547439575;12.5;6;27.4794437885;1;14.3148164749;12.5;5;25.0;
