Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;11.0;10.0;4;20.0;1;11.8999996185;8.625;4;17.25;
2;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
3;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
4;1;11.0;10.0;5;20.0;1;11.8999996185;8.625;5;17.25;
5;1;12.0;10.0;5;20.0;2;13.5;8.625;3;18.25;
6;1;13.0;10.0;5;20.0;2;14.5;8.625;3;18.3250000477;
7;1;14.0;10.0;5;20.3999996185;2;15.5450000763;8.625;3;18.7605681419;
8;1;14.1800003052;10.1999998093;4;20.7264003754;2;16.2563400269;8.79749965668;3;19.1489084959;
9;1;14.3268795013;10.3632001877;4;21.8194274902;2;16.4893455505;8.94309806824;3;20.0586935282;
10;1;14.8187427521;10.9097137451;4;22.7316036224;2;17.0352153778;9.3333568573;3;20.8682775497;
11;2;16.8187427521;11.3658018112;3;24.4745616913;2;19.0352153778;9.6677980423;3;21.5845614672;
12;2;18.8187427521;11.7372808456;3;25.1573981047;2;21.0352153778;9.94955635071;2;22.2177865505;
13;2;20.3092422485;12.0336990356;4;25.7196450233;2;22.3105487823;10.1834592819;2;22.7799050808;
14;2;21.3529472351;12.2662630081;4;26.1842726469;2;23.4177036285;10.3752222061;2;23.2832708359;
15;2;22.4000244141;12.446267128;4;26.4042263031;2;24.5330238342;10.5308046341;3;23.6777949333;
16;2;23.4506454468;12.5;4;26.5249304771;2;25.656703949;10.625;3;23.8980493546;
17;2;24.5049610138;12.5;4;26.6541694403;2;26.7888565063;10.625;3;24.1324534416;
18;2;25.563117981;12.5;4;26.7922235727;2;27.9295005798;10.625;3;24.3808503151;
19;2;26.0565013885;12.5;5;26.9393253326;2;28.6285095215;10.625;3;24.6428759098;
20;2;26.1226959229;12.5;4;27.0956480503;2;28.7857246399;10.625;3;24.9179406166;
21;2;26.1930408478;12.5;3;27.261295557;2;28.9507637024;10.625;4;25.2052159309;
22;2;26.2675819397;12.5;3;27.4362905025;2;29.1231307983;10.625;4;25.5036282539;
23;2;26.3463306427;12.5;3;27.6205644608;2;29.3021774292;10.625;4;25.8118619919;
24;2;26.4292545319;12.5;3;27.8139474392;3;29.4871177673;10.625;3;26.128370285;
