Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;2;9.0;10.1999998093;3;21.0;1;8.0;10.0;5;20.0;
6;2;10.3000001907;10.0;3;21.0900000334;1;9.0;10.0;5;20.0;
7;2;11.3269996643;10.0;3;21.1871190071;1;9.5;10.0;5;20.0;
8;2;11.3561353683;10.0;3;21.7036092281;1;9.5;10.0;5;20.3999996185;
9;2;11.5110826492;10.1999998093;3;22.1564130783;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;11.6469240189;10.3632001877;3;22.557236433;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;11.7671709061;10.4951858521;3;23.8035871983;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;12.141076088;11.0209560394;3;24.8916251659;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;14.141076088;11.4571752548;4;25.8364036083;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;16.1410751343;11.8107032776;4;26.6592981815;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;17.3553848267;12.0916318893;4;27.3839819431;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;18.440984726;12.3113050461;4;28.0334718227;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;19.5340881348;12.4808797836;4;28.407397747;1;15.7228336334;12.4808797836;5;25.0;
18;2;20.6347923279;12.5;4;28.7683298588;1;16.7228336334;12.5;5;25.0;
19;2;20.6125736237;13.5;4;29.1538929939;1;17.625;12.5;5;25.0;
20;2;22.5;12.5;5;29.562889576;1;17.625;12.5;6;25.0;
