Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;4;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;4;20.0;1;8.0;11.0;6;20.0;
5;1;9.0;10.0;4;20.0;1;8.0;10.0;6;20.0;
6;1;10.0;10.0;3;20.0;1;9.0;10.0;6;20.0;
7;2;11.0;10.1999998093;2;21.0;1;9.5;10.0;6;20.0;
8;2;11.3000001907;10.0;2;21.4399995804;1;9.5;10.0;5;20.3999996185;
9;2;11.4320001602;10.1999998093;2;21.8075842857;2;9.59000015259;10.5;4;21.7264003754;
10;2;11.5422754288;10.3632001877;1;22.1139252186;2;9.88844013214;10.3632001877;4;21.9903717041;
11;2;11.6341772079;10.4951858521;1;23.2202551365;2;9.94783401489;10.4951858521;4;23.0819120407;
12;2;11.9660768509;11.0209560394;1;24.1495091915;2;10.1934309006;11.0209560394;4;23.99553442;
13;2;13.9660768509;11.4571752548;2;24.9154186249;2;11.9660997391;11.4571752548;4;24.7449600697;
14;2;15.9660768509;11.8107032776;2;25.5381718874;2;13.9660997391;11.8107032776;4;25.3503712416;
15;2;17.0190467834;12.0916318893;1;26.0404549837;2;15.9660997391;12.0916318893;3;25.8344515562;
16;2;18.0379276276;12.3113050461;1;26.4445723295;2;16.9954986572;12.3113050461;3;26.2195074558;
17;2;19.0574169159;12.4808797836;1;26.5497941971;2;18.0058269501;12.4808797836;3;26.3048160076;
18;2;20.0775108337;12.5;1;26.6187632084;2;19.0164165497;12.5;4;26.3530313969;
19;2;21.0982017517;12.5;1;26.6896851063;2;19.9294319153;12.5;4;26.4023760557;
20;2;22.0069046021;12.5;2;26.7625159025;2;19.9405345917;12.5;4;26.4528282881;
