Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;5;20.0;1;8.0;11.0;6;20.0;
5;1;9.0;10.0;5;20.0;1;8.0;10.0;6;20.0;
6;1;10.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
7;1;11.0;10.0;5;20.0;1;9.5;10.0;6;20.0;
8;1;11.0;10.0;5;20.3999996185;1;9.5;10.0;6;20.3999996185;
9;1;11.1199998856;10.1999998093;5;20.7264003754;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;11.2179203033;10.5631999969;3;21.9903717041;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;11.597111702;10.4951858521;3;23.2119120359;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;11.9635734558;11.0209560394;4;24.2812614441;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;14.6481113434;11.4571752548;4;25.2156770229;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;16.6481113434;11.8107032776;4;26.0390859842;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;17.8538589478;12.0916318893;4;26.7780394554;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;18.9437408447;12.3113050461;4;27.458707571;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;20.0461959839;12.4808797836;4;27.8840510845;1;15.7228336334;12.4808797836;5;25.0;
18;2;21.1623268127;12.5;4;28.3200027943;1;16.7228336334;12.5;6;25.0;
19;2;22.2931118011;12.5;4;28.8073790073;1;17.625;12.5;6;25.0;
20;2;22.6422138214;12.5;4;29.3477458954;1;17.625;12.5;6;25.0;
