Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;6;20.0;1;8.0;12.0;6;20.0;
4;1;9.0;10.0;6;20.0;1;8.0;11.0;6;20.0;
5;1;9.0;10.0;6;20.0;1;8.0;10.0;6;20.0;
6;1;10.0;10.0;5;20.0;1;9.0;10.0;6;20.0;
7;1;11.0;10.0;5;20.0;1;9.5;10.0;6;20.0;
8;1;11.0;10.0;5;20.3999996185;1;9.5;10.0;6;20.3999996185;
9;1;11.1199998856;10.1999998093;5;20.7264003754;1;9.59000015259;10.1999998093;6;20.7264003754;
10;1;11.2179203033;10.3632001877;4;20.9903717041;1;9.66343975067;10.3632001877;6;20.9903717041;
11;1;11.2971115112;10.4951858521;4;22.0419120789;1;9.72283363342;10.4951858521;6;22.0419120789;
12;2;11.6125736237;11.2209558487;3;23.9143505096;2;9.95943069458;11.3209562302;5;23.9143505096;
13;2;13.6125736237;11.4571752548;3;24.6714065075;2;11.9478340149;11.4571752548;5;24.6514065266;
14;2;15.6125736237;11.8107032776;3;25.2852387428;2;13.9478340149;11.8107032776;5;25.2438547611;
15;2;16.5855712891;12.0916318893;3;25.7785600424;2;15.9478340149;12.0916318893;5;25.7143762112;
16;2;16.7335681915;12.3113050461;3;26.1737042665;2;16.9684810638;12.3113050461;5;26.0852768421;
17;2;16.8521099091;12.4808797836;3;26.269973278;2;17.9756240845;12.4808797836;5;26.1558350325;
18;2;18.7677764893;12.5;3;26.3300433159;2;18.9828968048;12.5;6;26.1887089014;
19;2;19.7857971191;12.5;4;26.3921557665;2;19.8924598694;12.5;6;26.2221269608;
20;2;20.8044300079;12.5;5;26.4563041925;2;19.8999786377;12.5;6;26.2560760975;
